InitialSign,TotalCount,FrameCount,DistinctRemainders,DistinctFillers,SiteCount,DominantFrame,DominantFrameShare,RoleLead
403,1,1,0,1,1,<START>|390,1.0,LOW_EVIDENCE_INITIAL
412,1,1,0,1,1,<START>|741,1.0,LOW_EVIDENCE_INITIAL
425,1,1,0,1,1,820|<END>,1.0,LOW_EVIDENCE_INITIAL
505,1,1,0,1,1,<START>|001,1.0,LOW_EVIDENCE_INITIAL
506,1,1,0,1,1,002|<END>,1.0,LOW_EVIDENCE_INITIAL
545,1,1,0,1,1,<START>|741,1.0,LOW_EVIDENCE_INITIAL
611,1,1,0,1,1,820|<END>,1.0,LOW_EVIDENCE_INITIAL
615,1,1,0,1,1,<START>|001,1.0,LOW_EVIDENCE_INITIAL
679,1,1,0,1,1,060|<END>,1.0,LOW_EVIDENCE_INITIAL
685,1,1,0,1,1,001|<END>,1.0,LOW_EVIDENCE_INITIAL
694,1,1,0,1,1,<START>|001,1.0,LOW_EVIDENCE_INITIAL
697,1,1,0,1,1,031|<END>,1.0,LOW_EVIDENCE_INITIAL
707,1,1,0,1,1,<START>|390,1.0,LOW_EVIDENCE_INITIAL
709,1,1,0,1,1,<START>|741,1.0,LOW_EVIDENCE_INITIAL
719,1,1,0,1,1,001|<END>,1.0,LOW_EVIDENCE_INITIAL
743,1,1,0,1,1,<START>|233,1.0,LOW_EVIDENCE_INITIAL
746,1,1,0,1,1,<START>|001,1.0,LOW_EVIDENCE_INITIAL
776,1,1,0,1,1,<START>|233,1.0,LOW_EVIDENCE_INITIAL
794,1,1,0,1,1,<START>|741,1.0,LOW_EVIDENCE_INITIAL
856,1,1,0,1,1,<START>|001,1.0,LOW_EVIDENCE_INITIAL
859,1,1,0,1,1,<START>|741,1.0,LOW_EVIDENCE_INITIAL
871,1,1,0,1,1,<START>|390,1.0,LOW_EVIDENCE_INITIAL
897,1,1,0,1,1,<START>|520,1.0,LOW_EVIDENCE_INITIAL
899,1,1,0,1,1,<START>|001,1.0,LOW_EVIDENCE_INITIAL
910,1,1,0,1,1,<START>|741,1.0,LOW_EVIDENCE_INITIAL
924,1,1,0,1,1,<START>|001,1.0,LOW_EVIDENCE_INITIAL
925,1,1,0,1,1,<START>|741,1.0,LOW_EVIDENCE_INITIAL
953,1,1,0,1,1,817|<END>,1.0,LOW_EVIDENCE_INITIAL
