terminal,count,top_openers,top_sites,top_icons
125,15,740:7; 700:3; 390:1; 520:1; 368:1,Mohenjo-daro:8; Harappa:5; Kalibangan:1; Lohumjo-daro:1,Unknown:4; Bull1:W:4; Bull1:S:2; Bull1:X:1; Buff:1
104,14,090:7; 405:1; 527:1; 390:1; 400:1,Mohenjo-daro:9; Harappa:3; Dholavira:1; Kalibangan:1,Cros:7; Unknown:4; Bull1:W:1; Bull1:S:1; -:1
171,13,740:4; 415:3; 400:3; 035:2; 820:1,Harappa:7; Mohenjo-daro:5; Unknown:1,Unknown:8; Bull1:W:2; Bult:1; Mult:1; Zebu:1
491,13,400:3; 317:2; 740:2; 390:2; 032:1,Harappa:9; Mohenjo-daro:2; Kalibangan:1; Lothal:1,Unknown:8; Gavi:1; Bull1:I:1; Gaur:1; Bull1:J:1
630,13,740:11; 845:1; 550:1,Mohenjo-daro:11; Kalibangan:1; Dholavira:1,Xcrs:6; -:2; Bull1:J:1; Unknown:1; Bull1:L:1
717,13,740:4; 400:3; 390:1; 090:1; 409:1,Harappa:6; Mohenjo-daro:5; Chanhu-daro:1; Kalibangan:1,Unknown:5; Bull1:W:3; Bull1:J:1; Fish:1; Anth:1
495,11,400:3; 740:2; 151:1; 520:1; 776:1,Harappa:4; Mohenjo-daro:3; Chanhu-daro:1; Dholavira:1; Kalibangan:1,Unknown:4; Othr:2; Bull1:I:1; Bull1:S:1; Phyt:1
905,10,617:6; 405:1; 130:1; 032:1; 041:1,Mohenjo-daro:9; Harappa:1,Othr:5; Unknown:3; Bull1:W:1; -:1
175,9,400:4; 520:2; 740:2; 705:1,Harappa:5; Mohenjo-daro:3; Dholavira:1,Unknown:4; Scene:1; Bull1:J:1; Bull1:I:1; Bull1:S:1
831,9,400:2; 161:1; 892:1; 585:1; 617:1,Mohenjo-daro:5; Harappa:4,Unknown:5; Bull1:J:2; Bull1:I:1; Othr:1
853,9,090:3; 520:2; 298:1; 740:1; 892:1,Mohenjo-daro:8; Unknown:1,Bull1:J:2; Bull1:W:2; Rhin:1; Elep:1; Gaur:1
137,8,400:7; 137:1,Harappa:8,Unknown:5; Mult:2; Fish:1
605,8,400:6; 865:1; 740:1,Harappa:6; Mohenjo-daro:2,Gavi:6; Bull1:S:1; Bull1:1
510,7,697:2; 740:2; 156:1; 255:1; 520:1,Harappa:2; Mohenjo-daro:2; Allahdino:1; Lothal:1; Bhirrana:1,Bull1:3; Unknown:2; -:1; Bull1:II:1
745,7,700:3; 031:2; 595:1; 400:1,Harappa:4; Mohenjo-daro:3,Bull1:W:3; Unknown:2; -:1; Bull1:1
877,7,740:3; 400:2; 156:1; 032:1,Mohenjo-daro:6; Harappa:1,Unknown:3; Gaur:2; Bull1:W:2
097,6,400:3; 151:2; 161:1,Mohenjo-daro:4; Harappa:2,Unknown:2; Bull1:2; Bull1:I:1; Bull1:L:1
632,6,375:1; 706:1; 565:1; 740:1; 090:1,Mohenjo-daro:5; Chanhu-daro:1,Bull1:W:2; Unknown:2; Buff:1; Bull1:1
792,6,740:3; 090:2; 158:1,Harappa:3; Mohenjo-daro:3,Unknown:5; Bull1:J:1
072,5,236:1; 090:1; 407:1; 400:1; 740:1,Harappa:2; Mohenjo-daro:2; Banawali:1,Bull1:W:2; Htgr:1; Bull1:I:1; Mult:1
190,5,527:2; 390:1; 269:1; 160:1,Mohenjo-daro:4; Qala'at al-Bahrain:1,Gaur:2; Bull1:W:1; Bull1:1; Bull1:J:1
382,5,400:2; 016:1; 740:1; 382:1,Harappa:4; Lakhanjo-daro:1,Unknown:3; -:1; Swas:1
821,5,740:4; 090:1,Mohenjo-daro:3; Banawali:1; Harappa:1,Bull1:L:2; Bull1:O:1; Scene:1; Bull1:J:1
838,5,740:3; 390:2,Mohenjo-daro:4; Gharo Bhiro:1,Unknown:5
484,4,740:4,Harappa:4,Unknown:3; Bull1:W:1
906,4,055:1; 590:1; 740:1; 520:1,Mohenjo-daro:3; Kalibangan:1,Gaur:1; Unknown:1; Bull1:L:1; Bull1:1
921,4,520:2; 740:1; 354:1,Harappa:2; Mohenjo-daro:2,Bull1:W:3; Bull1:L:1
243,3,400:1; 790:1; 151:1,Mohenjo-daro:3,Gaur:1; Bull1:1; Bull1:S:1
554,3,740:2; 400:1,Harappa:3,Unknown:3
