StemSign,StemRole,Post240Class,StemScore,TotalCount,OP240Count,BareCount,TextCount,TopForms,TopFrame,TopFrameShare,Frames,Sites,Symbols,SemanticFrames,ValidationScore,ValidationStatuses,Examples
388,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.110,4,0,4,3,388:1; 388-740:1; 388-140-850:1; 388-032-151:1,002|<END>,0.750,002|<END>:3; 002|740:1,Mohenjo-daro:3; Dholavira:1,Bull1:X:2; Bull1:I:1,PrimeEntitySealFormula:2; LowEvidenceSequence:1; TerminalFormula:1,0.000,,M-1830; M-1055; -
440,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.110,4,0,4,2,440-760:2; 440-760-740:2,002|740,0.500,002|740:2; 002|<END>:2,Mohenjo-daro:4,Bull1:S:2; Bull1:2,PrimeEntitySealFormula:4,0.000,,M-114; M-646
540,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.110,4,0,4,2,540:2; 540-740:2,002|740,0.500,002|740:2; 002|<END>:2,Harappa:2; Mohenjo-daro:2,Bull1:W:2; Gaur:2,PrimeEntitySealFormula:4,0.000,,H-1667; M-1088
605,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.110,4,0,4,2,605-760:2; 605-760-740:2,002|740,0.500,002|740:2; 002|<END>:2,Lothal:2; Mohenjo-daro:2,Bull1:W:2,PrimeEntitySealFormula:4,0.000,,L-112; M-1704
900,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.110,4,0,4,3,900:1; 900-590-390-151:1; 900-067:1; 900-067-740:1,002|<END>,0.750,002|<END>:3; 002|740:1,Dholavira:2; Harappa:1; Mohenjo-daro:1,Bull1:J:1,PrimeEntitySealFormula:2; InitialClassifierFormula:1; ClassifierSlotTerminalFormula:1,0.000,,H-658; M-834; -
636,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.094,3,3,0,2,240-636:1; 240-636-740:1; 240-636-255-817:1,002|<END>,0.667,002|<END>:2; 002|740:1,Chanhu-daro:2; Mohenjo-daro:1,Bull1:J:1,PrimeEntitySealFormula:2; InitialClassifierFormula:1,0.000,,C-78; M-141
070,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.083,3,0,3,3,070-003-900-032-405:1; 070-520:1; 070-003:1,002|<END>,1.000,002|<END>:3,Harappa:1; Lothal:1; Mohenjo-daro:1,Bull1:W:1,LowEvidenceSequence:1; TerminalFormula:1; InitialClassifierFormula:1,0.000,,H-141; L-138; M-658
382,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.083,3,0,3,2,382-760-382:1; 382:1; 382-740:1,002|<END>,0.667,002|<END>:2; 002|740:1,Harappa:3,Mult:1,PrimeEntityAdministrativeFormula:2; InitialClassifierFormula:1,0.000,,H-1967; H-285
480,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.083,3,0,3,2,480-520:1; 480-520-740:1; 480-032:1,002|<END>,0.667,002|<END>:2; 002|740:1,Mohenjo-daro:2; Nausharo:1,,PrimeEntitySealFormula:2; LowEvidenceSequence:1,0.000,,M-1263; Ns-79
554,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.083,3,0,3,3,554-526:3,002|<END>,1.000,002|<END>:3,Harappa:2; Nausharo:1,Bull1:J:1,InitialClassifierFormula:2; LowEvidenceSequence:1,0.000,,H-1146; H-833; Ns-55
637,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.062,2,2,0,1,240-637:1; 240-637-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:S:2,PrimeEntitySealFormula:2,0.000,,-
