Frame,Left,Right,Filler,FillerLength,Count,TextCount,SiteCount,RegionCount,TypeCount,FirstSign,FinalSign,StemMinusFinal,RestAfterInitial,DominantSite,DominantSiteShare,DominantRegion,DominantRegionShare,DominantType,DominantTypeShare,DominantSymbol,DominantSymbolShare,SealPct,CompletePct,Examples
002|<END>,002,<END>,032-382-520,3,1,1,1,1,1,032,520,032-382,382-520,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,2236.1/M-1677/Mohenjo-daro
002|<END>,002,<END>,032-384-740,3,1,1,1,1,1,032,740,032-384,384-740,Harappa,1.0,Inter-Riverine,1.0,SEAL:R,1.0,,0.0,1.0,1.0,1181.1/H-140/Harappa
002|<END>,002,<END>,032-394,2,1,1,1,1,1,032,394,032,394,Desalpur,1.0,Gujarat/Kutch,1.0,TAG,1.0,,0.0,0.0,1.0,125.1/Dlp-3/Desalpur
002|<END>,002,<END>,032-590-390-740,4,1,1,1,1,1,032,740,032-590-390,590-390-740,Lothal,1.0,Gujarat/Kutch,1.0,TAG,1.0,,0.0,0.0,0.0,2118.2/L-198/Lothal
002|<END>,002,<END>,032-832-032,3,1,1,1,1,1,032,032,032-832,832-032,Lothal,1.0,Gujarat/Kutch,1.0,SEAL:S,1.0,,0.0,1.0,0.0,1993.1/L-15/Lothal
002|<END>,002,<END>,032-904-740,3,1,1,1,1,1,032,740,032-904,904-740,Harappa,1.0,Inter-Riverine,1.0,SEAL:S,1.0,Bull1:U,1.0,1.0,0.0,3922.1/H-1037/Harappa
002|<END>,002,<END>,032-921-072-760-740,5,1,1,1,1,1,032,740,032-921-072-760,921-072-760-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,2229.1/M-1737/Mohenjo-daro
002|<END>,002,<END>,033-520,2,1,1,1,1,1,033,520,033,520,Kalibangan,1.0,Inter-Riverine,1.0,TAG:L,1.0,Elep,1.0,0.0,1.0,1940.1/K-85/Kalibangan
002|<END>,002,<END>,033-808,2,1,1,1,1,1,033,808,033,808,Mohenjo-daro,1.0,Lower Indus,1.0,POT:T:g,1.0,,0.0,0.0,0.0,2202.1/M-2005/Mohenjo-daro
002|<END>,002,<END>,034,1,1,1,1,1,1,034,034,,,Harappa,1.0,Inter-Riverine,1.0,POT:T:s,1.0,,0.0,0.0,0.0,1030.1/H-1739/Harappa
002|<END>,002,<END>,034-390,2,1,1,1,1,1,034,390,034,390,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,,0.0,1.0,1.0,2833.1/M-315/Mohenjo-daro
002|<END>,002,<END>,035-405,2,1,1,1,1,1,035,405,035,405,Harappa,1.0,Inter-Riverine,1.0,TAB:B,1.0,Bult,1.0,0.0,1.0,409.2/H-1942/Harappa
002|<END>,002,<END>,042-740,2,1,1,1,1,1,042,740,042,740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,2261.1/M-1721/Mohenjo-daro
002|<END>,002,<END>,048,1,1,1,1,1,1,048,048,,,Lothal,1.0,Gujarat/Kutch,1.0,SEAL:R,1.0,,0.0,1.0,1.0,2038.1/L-84/Lothal
002|<END>,002,<END>,049,1,1,1,1,1,1,049,049,,,Kanmer,1.0,Gujarat/Kutch,1.0,TAG,1.0,,0.0,0.0,0.0,5420.1/-/Kanmer
002|<END>,002,<END>,049-233-520,3,1,1,1,1,1,049,520,049-233,233-520,Harappa,1.0,Inter-Riverine,1.0,TAB:B,1.0,Gaur,1.0,0.0,1.0,1004.1/H-1966/Harappa
002|<END>,002,<END>,049-760-740,3,1,1,1,1,1,049,740,049-760,760-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,2296.1/M-1711/Mohenjo-daro
002|<END>,002,<END>,055-740,2,1,1,1,1,1,055,740,055,740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:R,1.0,,0.0,1.0,1.0,3580.1/M-1273/Mohenjo-daro
002|<END>,002,<END>,061,1,1,1,1,1,1,061,061,,,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,0.0,3257.1/M-845/Mohenjo-daro
002|<END>,002,<END>,061-142-400-740,4,1,1,1,1,1,061,740,061-142-400,142-400-740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1:I,1.0,1.0,1.0,2297.1/M-1772/Mohenjo-daro
