AnchorTemplate,Count,SiteCount,TypeCount,Examples
SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,36,7,3,731.1/H-1670/Harappa; 939.1/H-1705/Harappa; 1091.1/H-31/Harappa; 1120.1/H-61/Harappa; 1148.1/H-92/Harappa; 1174.1/H-133/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,34,6,6,132.1/-/Dholavira; 374.1/H-1893/Harappa; 600.1/H-2005/Harappa; 943.1/H-1667/Harappa; 1141.1/H-85/Harappa; 1144.1/H-88/Harappa
SIGN LEADING_FORMULA_MARKER SIGN,32,5,8,113.1/C-30/Chanhu-daro; 228.2/-/Harappa; 262.1/H-1196/Harappa; 373.2/H-1924/Harappa; 414.2/H-1915/Harappa; 630.1/H-2207/Harappa
LEADING_FORMULA_MARKER SIGN SIGN,31,8,10,174.1/H-1394/Harappa; 402.1/H-2015/Harappa; 412.1/H-2014/Harappa; 472.1/H-2084/Harappa; 552.1/H-1767/Harappa; 594.1/H-2022/Harappa
SIGN LEADING_FORMULA_MARKER,30,7,11,43.1/B-25/Banawali; 165.1/-/Harappa; 176.1/H-1085/Harappa; 355.1/-/Harappa; 591.1/M-1659/Mohenjo-daro; 625.1/H-1745/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN,30,6,7,409.2/H-1942/Harappa; 682.2/H-1146/Harappa; 787.1/H-1983/Harappa; 789.1/H-1785/Harappa; 897.2/H-2089/Harappa; 1078.1/H-18/Harappa
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,29,4,6,311.1/H-1192/Harappa; 494.1/H-741/Harappa; 668.1/H-1672/Harappa; 749.2/H-2183/Harappa; 923.2/H-1945/Harappa; 1021.1/H-1774/Harappa
LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER,29,1,2,466.2/H-1882/Harappa; 693.2/H-2238/Harappa; 769.1/H-2239/Harappa; 794.2/H-2237/Harappa; 832.1/H-2229/Harappa; 838.2/H-2190/Harappa
NAME_LIKE_BLOCK[4] TERMINAL_TITLE_OR_SUFFIX,29,1,1,1277.1/H-252/Harappa; 1278.1/H-253/Harappa; 1279.1/H-254/Harappa; 1280.1/H-255/Harappa; 1281.1/H-256/Harappa; 1282.1/H-257/Harappa
NAME_LIKE_BLOCK[4] NAME_LIKE_BLOCK[3],28,1,1,2287.2/M-2054/Mohenjo-daro; 3006.1/M-534/Mohenjo-daro; 3007.1/M-535/Mohenjo-daro; 3008.1/M-536/Mohenjo-daro; 3009.1/M-537/Mohenjo-daro; 3010.1/M-538/Mohenjo-daro
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,27,3,3,321.1/-/Unknown; 677.1/H-2024/Harappa; 800.1/H-1935/Harappa; 807.1/H-1934/Harappa; 842.1/H-2026/Harappa; 880.1/H-2028/Harappa
