AnchorTemplate,Count,SiteCount,TypeCount,Examples
SIGN SIGN CLOSING_FORMULA_MARKER,6,4,4,1668.2/H-777/Harappa; 1921.1/K-60/Kalibangan; 1998.1/L-20/Lothal; 2122.1/L-202/Lothal; 2454.1/M-1831/Mohenjo-daro; 2610.1/M-83/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER,5,2,3,364.1/-/Harappa; 2387.1/M-1904/Mohenjo-daro; 2419.1/M-2039/Mohenjo-daro; 3805.1/M-1581/Mohenjo-daro; 5472.1/H-1377/Harappa
SIGN INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX,5,2,3,453.2/H-1909/Harappa; 454.1/H-1778/Harappa; 1363.1/H-343/Harappa; 2471.1/M-1903/Mohenjo-daro; 2675.1/M-148/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] SIGN SIGN,5,3,2,491.2/H-2127/Harappa; 589.2/H-2128/Harappa; 1145.1/H-89/Harappa; 3452.1/M-1078/Mohenjo-daro; 4159.1/-/Dholavira
SIGN SIGN CROSS_SITE_NAME_ANCHOR[2],5,2,2,510.2/H-1916/Harappa; 1123.1/H-64/Harappa; 2684.1/M-158/Mohenjo-daro; 3281.1/M-872/Mohenjo-daro; 3984.1/M-1727/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN SIGN,5,3,2,605.1/H-2265/Harappa; 2010.1/L-37/Lothal; 2286.1/M-1712/Mohenjo-daro; 2756.1/M-232/Mohenjo-daro; 2777.1/M-254/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,5,3,3,688.1/H-1684/Harappa; 2370.2/M-2118/Mohenjo-daro; 3583.1/M-1276/Mohenjo-daro; 3619.1/M-1314/Mohenjo-daro; 4161.1/-/Dholavira
SIGN INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,5,1,1,801.2/H-2173/Harappa; 862.2/H-2070/Harappa; 1051.1/H-1182/Harappa; 1052.1/-/Harappa; 1782.1/H-900/Harappa
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,5,2,3,811.1/H-1978/Harappa; 1221.1/H-188/Harappa; 1324.2/H-302/Harappa; 3355.1/M-960/Mohenjo-daro; 3559.1/M-1224/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN,5,2,3,1186.1/H-145/Harappa; 2428.1/M-1738/Mohenjo-daro; 2455.1/M-1747/Mohenjo-daro; 3083.1/M-633/Mohenjo-daro; 3799.1/M-1575/Mohenjo-daro
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,5,3,3,1460.1/H-473/Harappa; 1513.1/H-558/Harappa; 2857.1/M-361/Mohenjo-daro; 3325.1/M-929 /Mohenjo-daro; 4235.1/-/Dholavira
CROSS_SITE_NAME_ANCHOR[3] SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,5,3,2,2005.1/L-28/Lothal; 2640.1/M-113/Mohenjo-daro; 2921.1/M-427/Mohenjo-daro; 3178.1/M-755/Mohenjo-daro; 3869.1/Rgr-1/Rakhigarhi
SIGN SIGN SIGN CLOSING_FORMULA_MARKER,5,2,3,2087.1/L-145/Lothal; 2116.1/L-196/Lothal; 2429.1/M-1731/Mohenjo-daro; 3310.1/M-909/Mohenjo-daro; 3661.1/M-1362/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN CLOSING_FORMULA_MARKER SIGN,5,1,1,2220.1/M-1675/Mohenjo-daro; 2409.1/M-1911/Mohenjo-daro; 2604.1/M-77/Mohenjo-daro; 2834.1/M-316/Mohenjo-daro; 3226.1/M-813/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,5,1,2,2475.1/M-1841/Mohenjo-daro; 2639.1/M-112/Mohenjo-daro; 2660.1/M-133/Mohenjo-daro; 2850.1/M-354/Mohenjo-daro; 2861.1/M-365/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,5,2,1,2627.1/M-100/Mohenjo-daro; 2783.1/M-260/Mohenjo-daro; 3247.1/M-835/Mohenjo-daro; 3339.1/M-944/Mohenjo-daro; 3853.1/Ns-5/Nausharo
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,4,4,2,11.1/Ad-6/Allahdino; 532.2/H-2069/Harappa; 1992.1/L-14/Lothal; 2568.1/M-40/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN,4,4,3,18.1/-/Bakkar Buthi; 62.1/C-65/Chanhu-daro; 1786.2/H-904/Harappa; 3073.1/M-621/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,4,3,2,20.1/Blk-2/Bala-kot; 394.2/H-1987/Harappa; 1139.1/H-82/Harappa; 2833.1/M-315/Mohenjo-daro
SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,4,3,3,66.1/C-69/Chanhu-daro; 2053.1/L-101/Lothal; 2081.1/L-139/Lothal; 4198.1/-/Dholavira
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER,4,4,3,106.1/C-18/Chanhu-daro; 1566.1/H-651/Harappa; 1887.1/K-12/Kalibangan; 2028.1/L-62/Lothal
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,4,3,2,143.1/-/Dholavira; 145.1/Dlv-1/Dholavira; 3521.1/M-1161/Mohenjo-daro; 3896.1/-/Unknown
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,4,2,3,303.1/H-1043/Harappa; 1024.2/H-1851/Harappa; 2617.1/M-90/Mohenjo-daro; 3611.1/M-1306/Mohenjo-daro
SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,4,3,2,320.1/H-1506/Harappa; 2431.1/M-1673/Mohenjo-daro; 2721.1/M-196/Mohenjo-daro; 5355.1/Ns-53/Nausharo
LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,4,1,2,371.2/H-1771/Harappa; 383.2/H-1773/Harappa; 400.2/H-1772/Harappa; 1105.1/H-46/Harappa
NAME_LIKE_BLOCK[3] SIGN,4,2,2,1060.1/H-1050/Harappa; 2719.1/M-194/Mohenjo-daro; 3130.1/M-703/Mohenjo-daro; 3586.1/M-1280/Mohenjo-daro
SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,4,2,1,1062.1/H-1/Harappa; 2535.1/M-6/Mohenjo-daro; 2544.1/M-16/Mohenjo-daro; 3501.1/M-1134/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,4,2,3,1178.1/H-137/Harappa; 2695.1/M-170/Mohenjo-daro; 3459.1/M-1085/Mohenjo-daro; 3711.1/M-1426/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] SIGN,4,2,2,1502.1/H-531/Harappa; 2343.1/M-1790/Mohenjo-daro; 3266.1/M-854/Mohenjo-daro; 3659.1/M-1360/Mohenjo-daro
TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,4,4,2,1563.1/H-648/Harappa; 2130.1/L-212/Lothal; 3642.1/M-1337/Mohenjo-daro; 4307.1/-/Dholavira
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,4,3,2,1897.1/K-23/Kalibangan; 2012.1/L-39/Lothal; 3490.1/M-1119/Mohenjo-daro; 3580.1/M-1273/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN NAME_LIKE_BLOCK[2],4,2,2,1943.1/K-88/Kalibangan; 2679.1/M-152/Mohenjo-daro; 3197.1/M-783/Mohenjo-daro; 3308.1/M-903/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN,4,2,1,1990.1/L-11/Lothal; 2417.1/M-1728/Mohenjo-daro; 2582.1/M-54/Mohenjo-daro; 2781.1/M-258/Mohenjo-daro
NAME_LIKE_BLOCK[2] TERMINAL_TITLE_OR_SUFFIX,4,1,2,2320.1/M-1803/Mohenjo-daro; 2522.1/-/Mohenjo-daro; 2992.2/M-516/Mohenjo-daro; 2993.2/M-517/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,4,1,1,2345.1/M-1804/Mohenjo-daro; 2427.1/M-1768/Mohenjo-daro; 2689.1/M-163/Mohenjo-daro; 3326.1/M-931/Mohenjo-daro
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,4,1,3,2555.1/M-27/Mohenjo-daro; 2862.1/M-366/Mohenjo-daro; 2972.1/M-490/Mohenjo-daro; 2973.1/M-491/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,4,2,2,2558.1/M-30/Mohenjo-daro; 2801.1/M-280/Mohenjo-daro; 3578.1/M-1271/Mohenjo-daro; 3891.1/-/Unknown
NAME_LIKE_BLOCK[3] TERMINAL_TITLE_OR_SUFFIX SIGN,4,1,1,3001.1/M-527/Mohenjo-daro; 3002.1/M-528/Mohenjo-daro; 3003.1/M-529/Mohenjo-daro; 3004.1/M-530/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,3,2,2,91.1/C-3/Chanhu-daro; 2694.1/M-169/Mohenjo-daro; 3573.1/M-1266/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,3,3,2,92.1/C-4/Chanhu-daro; 2037.1/L-83/Lothal; 2607.1/M-80/Mohenjo-daro
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,3,2,1,93.1/C-5/Chanhu-daro; 2638.1/M-111/Mohenjo-daro; 3301.1/M-896/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN CROSS_SITE_NAME_ANCHOR[2],3,2,2,136.1/-/Dholavira; 4260.1/-/Dholavira; 5455.1/-/Khirsara
INITIAL_TITLE_OR_CLASSIFIER NAME_LIKE_BLOCK[3],3,2,2,258.2/H-1121/Harappa; 2397.1/M-1927/Mohenjo-daro; 3217.1/M-803/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,3,2,1,292.1/H-1032/Harappa; 1121.1/H-62/Harappa; 3479.1/M-1108/Mohenjo-daro
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,3,2,2,319.1/H-1077/Harappa; 3245.1/M-833/Mohenjo-daro; 3342.1/M-947/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,3,3,2,537.1/H-1692/Harappa; 2489.1/-/Dholavira; 2929.1/M-437/Mohenjo-daro
TERMINAL_TITLE_OR_SUFFIX SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,3,1,1,581.1/H-1990/Harappa; 687.1/H-1989/Harappa; 689.1/H-1988/Harappa
SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,3,2,2,649.2/H-1823/Harappa; 2956.2/M-471/Mohenjo-daro; 3840.1/M-1650/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,3,3,2,744.2/H-1993/Harappa; 2599.1/M-71/Mohenjo-daro; 4237.1/-/Dholavira
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN LEADING_FORMULA_MARKER SIGN,3,2,2,805.1/H-1788/Harappa; 1195.1/H-154/Harappa; 2443.1/M-1957/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,3,1,1,917.2/H-1933/Harappa; 1244.1/H-213/Harappa; 1245.1/H-214/Harappa
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN LEADING_FORMULA_MARKER SIGN,3,1,2,1087.1/H-27/Harappa; 1184.1/H-143/Harappa; 1199.1/H-158/Harappa
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,3,2,2,1099.1/H-40/Harappa; 2470.1/M-1972/Mohenjo-daro; 3085.1/M-636/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],3,3,1,1296.1/H-272/Harappa; 1989.1/L-10/Lothal; 3081.1/M-631/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,3,1,1,1323.2/H-301/Harappa; 1787.2/H-905/Harappa; 1864.2/H-988/Harappa
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN,3,2,2,1403.1/H-390/Harappa; 1690.1/H-799/Harappa; 3360.1/M-967/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN,3,2,1,1455.1/H-467/Harappa; 3198.1/M-784/Mohenjo-daro; 3237.1/M-824/Mohenjo-daro
LEADING_FORMULA_MARKER CROSS_SITE_NAME_ANCHOR[3],3,2,1,1510.1/H-550/Harappa; 2662.1/M-135/Mohenjo-daro; 3176.1/M-753/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER,3,3,3,1594.2/H-688/Harappa; 3686.1/M-1392/Mohenjo-daro; 5341.1/K-427/Kalibangan
LEADING_FORMULA_MARKER SIGN CLOSING_FORMULA_MARKER,3,2,2,1964.1/K-120/Kalibangan; 3309.1/M-907/Mohenjo-daro; 3470.1/M-1098/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] SIGN TERMINAL_TITLE_OR_SUFFIX,3,2,1,1999.1/L-21/Lothal; 2840.1/M-322/Mohenjo-daro; 3475.1/M-1104/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,3,1,1,2283.1/M-1746/Mohenjo-daro; 2606.1/M-79/Mohenjo-daro; 2724.1/M-199/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN CROSS_SITE_NAME_ANCHOR[3],3,1,1,2299.1/M-1708/Mohenjo-daro; 3195.1/M-781/Mohenjo-daro; 3505.1/M-1138/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN,3,2,2,2480.1/M-1985/Mohenjo-daro; 2867.1/M-371/Mohenjo-daro; 5232.1/-/Janabiyah
SIGN SIGN NAME_LIKE_BLOCK[2],3,1,2,2484.1/M-1720/Mohenjo-daro; 3041.1/M-571/Mohenjo-daro; 3132.1/M-705/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN CLOSING_FORMULA_MARKER,3,1,1,2509.1/M-1833/Mohenjo-daro; 3101.1/M-662/Mohenjo-daro; 3315.1/M-918/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN,3,1,1,2523.1/-/Mohenjo-daro; 3776.1/M-1523/Mohenjo-daro; 3777.1/M-1524/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,3,1,1,2737.1/M-213/Mohenjo-daro; 2838.1/M-320/Mohenjo-daro; 3361.1/M-968/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN,3,2,2,2766.1/M-243/Mohenjo-daro; 3594.1/M-1289/Mohenjo-daro; 5579.1/-/Dholavira
SIGN LEADING_FORMULA_MARKER CROSS_SITE_NAME_ANCHOR[3],3,2,1,2836.2/M-318/Mohenjo-daro; 3991.1/M-1823/Mohenjo-daro; 4210.1/-/Dholavira
LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,3,1,1,3015.1/M-543/Mohenjo-daro; 3016.1/M-544/Mohenjo-daro; 3017.1/M-545/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,3,2,2,3196.1/M-782/Mohenjo-daro; 3502.1/M-1135/Mohenjo-daro; 4191.1/-/Dholavira
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN LEADING_FORMULA_MARKER SIGN,3,1,1,3742.1/M-1476/Mohenjo-daro; 3745.1/M-1479/Mohenjo-daro; 3746.1/M-1480/Mohenjo-daro
SIGN SIGN CLOSING_FORMULA_MARKER SIGN,2,2,1,7.1/Ad-2/Allahdino; 3885.1/-/Tello
SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,2,2,1,19.1/Blk-1/Bala-kot; 2009.1/L-36/Lothal
NAME_LIKE_BLOCK[3] SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,2,1,1,71.1/C-53/Chanhu-daro; 74.1/C-58/Chanhu-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,2,2,2,121.1/C-40/Chanhu-daro; 2226.1/M-1692/Mohenjo-daro
CLOSING_FORMULA_MARKER CLOSING_FORMULA_MARKER,2,2,1,154.1/-/Farmana; 1499.1/Rjd-1/Rodji
INITIAL_TITLE_OR_CLASSIFIER SIGN NAME_LIKE_BLOCK[3],2,2,1,246.1/H-1045/Harappa; 3090.1/M-646/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,2,1,1,370.1/H-2016/Harappa; 1700.1/H-811/Harappa
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN LEADING_FORMULA_MARKER CROSS_SITE_NAME_ANCHOR[3],2,2,2,402.2/H-2015/Harappa; 3561.1/M-1226/Mohenjo-daro
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,2,1,1,569.2/H-1922/Harappa; 1273.1/H-248/Harappa
TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SIGN,2,2,1,606.1/H-2334/Harappa; 5364.1/Ns-63/Nausharo
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,2,2,1,626.1/H-1662/Harappa; 2696.1/M-171/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] SIGN,2,1,2,681.2/H-2090/Harappa; 705.1/H-2264/Harappa
LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,2,2,2,784.2/H-1871/Harappa; 4226.1/-/Dholavira
CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,2,2,2,906.2/H-2083/Harappa; 3907.1/M-1669/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER,2,2,2,1068.1/H-7/Harappa; 5229.1/-/Saar
SIGN SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,2,2,1,1071.1/H-10/Harappa; 3540.1/M-1189/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,2,1,1,1079.1/H-19/Harappa; 1113.1/H-54/Harappa
SIGN LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,2,2,2,1085.1/H-25/Harappa; 2977.1/M-500/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,2,2,1,1119.1/H-60/Harappa; 3276.1/M-865/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,2,2,1,1129.1/H-70/Harappa; 2355.1/M-1838/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,2,1,2,1133.1/H-75/Harappa; 1705.1/H-816/Harappa
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,2,1,1134.1/H-76/Harappa; 3249.1/M-837/Mohenjo-daro
SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[2],2,2,1,1147.1/H-91/Harappa; 2545.1/M-17/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,2,1196.1/H-155/Harappa; 1436.1/H-446/Harappa
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX,2,2,2,1270.1/H-245/Harappa; 3428.1/M-1053/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,2,2,2,1318.1/H-296/Harappa; 2294.1/M-1917/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN NAME_LIKE_BLOCK[2],2,1,2,1346.1/H-324/Harappa; 1387.1/H-368/Harappa
LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,2,2,2,1422.1/H-420/Harappa; 3615.1/M-1310/Mohenjo-daro
SIGN NAME_LIKE_BLOCK[3],2,2,1,1534.1/H-589/Harappa; 3560.1/M-1225/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,2,1,1,1540.1/H-597/Harappa; 1540.2/H-597/Harappa
LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,2,1,1,1599.1/H-694/Harappa; 1600.1/H-695/Harappa
SIGN SIGN CLOSING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,2,2,1665.1/H-773/Harappa; 3335.1/-/Unknown
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX,2,2,2,1703.1/H-814/Harappa; 5574.1/-/Unknown
INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX,2,2,2,1709.1/H-820/Harappa; 5369.1/Ns-68/Nausharo
LEADING_FORMULA_MARKER SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,2,1,1,1741.1/H-857/Harappa; 3967.1/H-1107/Harappa
CLOSING_FORMULA_MARKER SIGN,2,2,2,1777.1/H-895/Harappa; 1907.1/K-39/Kalibangan
SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,2,2,1,1884.1/K-9/Kalibangan; 2631.1/M-104/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN,2,1,1,1968.1/Krs-1/Khirsara; 4895.1/-/Khirsara
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,2,1,1981.1/Lh-1/Lohumjo-daro; 2580.1/M-52/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,2,1,2017.1/L-46/Lothal; 2389.1/M-1681/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER SIGN,2,2,2,2044.1/L-90/Lothal; 3343.1/M-948/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[2],2,2,2,2046.1/L-92/Lothal; 3228.1/M-815/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],2,1,1,2178.1/M-1696/Mohenjo-daro; 3278.1/M-868/Mohenjo-daro
LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN,2,1,2,2185.1/M-1751/Mohenjo-daro; 2905.1/M-409/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,2,1,1,2213.1/M-235/Mohenjo-daro; 2313.1/M-1763/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN,2,1,1,2221.1/M-1892/Mohenjo-daro; 2533.1/M-4/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,1,2224.1/M-1676/Mohenjo-daro; 2577.1/M-49/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,1,2233.1/M-1744/Mohenjo-daro; 3227.1/M-814/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,2,2,1,2240.1/M-1674/Mohenjo-daro; 5216.1/-/Gola Dhoro (Bagasra)
LEADING_FORMULA_MARKER SIGN CROSS_SITE_NAME_ANCHOR[3],2,1,2,2245.1/M-1890/Mohenjo-daro; 3576.1/M-1269/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN LEADING_FORMULA_MARKER,2,1,1,2257.1/M-656/Mohenjo-daro; 3099.1/M-658/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,1,2285.1/M-1760/Mohenjo-daro; 2293.1/M-808/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN CLOSING_FORMULA_MARKER,2,2,1,2291.1/M-1889/Mohenjo-daro; 5465.1/-/Unknown
CROSS_SITE_NAME_ANCHOR[3] SIGN SIGN SIGN,2,2,2,2339.1/M-1757/Mohenjo-daro; 5560.1/-/Rakhigarhi
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,2,1,2,2357.1/M-1928/Mohenjo-daro; 3122.1/M-686/Mohenjo-daro
NAME_LIKE_BLOCK[3] SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,2,1,1,2359.1/M-1693/Mohenjo-daro; 2493.1/M-709/Mohenjo-daro
