"Path","Bytes","Pages","Role","UsefulPages"
"references/pdfs/fuls/Fuls_2022_Corpus_of_Indus_Inscriptions.pdf","1828930","35","ICIT corpus and high-number sign-list reference","PDF page 21: 205 embedded sign images for ICIT 703-958"
"references/pdfs/fuls/Fuls_2023_Catalog_of_Indus_Signs_SearchInside.pdf","9814734","35","Supplementary catalog sample","PDF pages 18, 21, and 35: partial sign-list and catalog visuals"
"references/pdfs/mahadevan/Mahadevan_1977_The_Indus_Script_Texts_Concordance_and_Tables.pdf","36288883","842","M77 concordance and sign-list reference","Sign tables and concordance sections"
"references/pdfs/cisi/Joshi_Parpola_1987_CISI_Vol1_Collections_in_India.pdf","30639470","862","Photographic artifact corpus, India collections","Future ICIT/CISI artifact-image linking"
