Unit,TextId,CISI,Site,Type,Symbol,SemanticFrame,ClauseType,Frame,SkeletonReading,TokenSkeleton,StructuralParse,ConstraintTier
176,2017.1,L-46,Lothal,SEAL,Gaur,PrimeEntitySealFormula,seal/entity formula,002|740,ENTITY_STEM,392 861 002 [ENTITY_STEM:176] 740 233 388 527,392:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[388-527],B
176,2654.1,M-127,Mohenjo-daro,SEAL,Bull,TerminalFormula,object or closing formula,<START>|741,ENTITY_STEM,[ENTITY_STEM:176] 741 220 740 565,PRODUCTIVE_SLOT(<START>_741)[176] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[220-740-565],B
176,2543.1,M-15,Mohenjo-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,ENTITY_STEM,861 002 [ENTITY_STEM:176] 740 090,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER,B
176,2323.1,M-1755,Mohenjo-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,ENTITY_STEM,861 002 [ENTITY_STEM:176] 740,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX,B
176,2263.1,M-963,Mohenjo-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,ENTITY_STEM,817 002 [ENTITY_STEM:176] 740,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX,B
235-222,3896.1,-,Unknown,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,820 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:235-222] 740,820:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX,C
235-222,71.1,C-53,Chanhu-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:235-222] 740 031 032,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],C
235-222,74.1,C-58,Chanhu-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM:235-222] 740 031 032,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],C
235-840-032,3925.1,H-1048,Harappa,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM + SUBTYPE_OR_SECOND_STEM,817 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM + SUBTYPE_OR_SECOND_STEM:235-840-032] 740,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-840-032] | 740:TERMINAL_TITLE_OR_SUFFIX,C
235-840-032,3513.1,M-1152,Mohenjo-daro,SEAL,Elephant,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + ENTITY_STEM + SUBTYPE_OR_SECOND_STEM,861 002 [QUALIFIER_TITLE_PREFIX + ENTITY_STEM + SUBTYPE_OR_SECOND_STEM:235-840-032] 740,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-840-032] | 740:TERMINAL_TITLE_OR_SUFFIX,C
