Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,TextCount,TopRegion,TopSite,TopSymbol,TopType,TopMaterial,Frames,SemanticFrames,ExampleTexts
361,R127,InitialFiller,AffixOrFormulaAnchor,0.53,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:2,SEAL:2,Unknown:1; Steatite:1,<START>|741:2,TerminalFormula:1; LowEvidenceSequence:1,M-648@Mohenjo-daro/Bull; M-139@Mohenjo-daro/Bull
482,R16,PreTerminalFiller,AffixOrFormulaAnchor,0.53,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:1; Gaur:1,SEAL:2,Steatite:2,060|740:2,TerminalFormula:2,M-23@Mohenjo-daro/Bull; M-234@Mohenjo-daro/Gaur
240-904-740,A02-R19-T01,TerminalFiller,AffixOrFormulaAnchor,0.519,1,1,Gujarat/Kutch:1,Lothal:1,Unknown:1,SEAL:1,Shell:1,235|<END>:1,TerminalFormula:1,L-111@Lothal/Unknown
240-923-740,A02-R26-T01,TerminalFiller,AffixOrFormulaAnchor,0.518,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-405@Mohenjo-daro/Unknown
176-100-740,R02-A15-T01,TerminalFiller,AffixOrFormulaAnchor,0.512,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-1881@Mohenjo-daro/Gaur
700,R138,InitialFiller,AffixOrFormulaAnchor,0.512,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,H-519@Harappa/Bull
215,R182,TerminalFiller,AffixOrFormulaAnchor,0.51,1,1,Lower Indus:1,Mohenjo-daro:1,Buff:1,SEAL:1,Steatite:1,001|<END>:1,InitialClassifierFormula:1,M-268@Mohenjo-daro/Buff
003-423,M05-R220,TerminalFiller,AffixOrFormulaAnchor,0.507,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,TAB:1,Copper:1,001|<END>:1,TerminalFormula:1,M-525@Mohenjo-daro/Gaur
320-920-740,R37-M04-T01,TerminalFiller,AffixOrFormulaAnchor,0.507,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,H-46@Harappa/Bull
692,R18,InitialFiller,AffixOrFormulaAnchor,0.502,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:2,SEAL:2,Steatite:2,<START>|001:1; <START>|390:1,LowEvidenceSequence:2,M-1683@Mohenjo-daro/Bull; M-70@Mohenjo-daro/Bull
003-390,M05-M02,TerminalFiller,AffixOrFormulaAnchor,0.482,1,1,Lower Indus:1,Mohenjo-daro:1,Gavial:1,SEAL:1,Steatite:1,060|<END>:1,LowEvidenceSequence:1,M-292@Mohenjo-daro/Gavial
004-405,R28-R01,TerminalFiller,AffixOrFormulaAnchor,0.478,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,001|<END>:1,LowEvidenceSequence:1,M-386@Mohenjo-daro/Unknown
031-002,M03-A01,InitialFiller,AffixOrFormulaAnchor,0.478,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,InitialClassifierFormula:1,M-141@Mohenjo-daro/Bull
