Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,TextCount,TopRegion,TopSite,TopSymbol,TopType,TopMaterial,Frames,SemanticFrames,ExampleTexts
501-405-002,R03-R01-A01,InitialFiller,ControlOrLowPriority,0.457,29,29,Inter-Riverine:29,Harappa:29,Bull:29,TAB:29,Unknown:28; Clay:1,<START>|240:29,TerminalFormula:29,H-252@Harappa/Bull; H-253@Harappa/Bull; H-254@Harappa/Bull; H-255@Harappa/Bull; H-256@Harappa/Bull; H-257@Harappa/Bull; H-258@Harappa/Bull; H-259@Harappa/Bull
240-455-740,A02-R44-T01,TerminalFiller,ControlOrLowPriority,0.456,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-1096@Mohenjo-daro/Gaur
877,R81,PreTerminalFiller,ControlOrLowPriority,0.456,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,032|740:1,ClassifierSlotTerminalFormula:1,M-355@Mohenjo-daro/Unknown
236,R86,TerminalFiller,ControlOrLowPriority,0.452,1,1,Lower Indus:1,Mohenjo-daro:1,Bull2:1,SEAL:1,Steatite:1,002|<END>:1,LowEvidenceSequence:1,M-232@Mohenjo-daro/Bull2
235-240,M01-A02,PrimeEntityFiller,PrimeEntityContextNeeded,0.447,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-24@Mohenjo-daro/Bull
861-002-590,C02-A01-A08,InitialFiller,ControlOrLowPriority,0.447,1,1,Gujarat/Kutch:1,Dholavira:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,InitialClassifierFormula:1,-@Dholavira/Bull
741-592,A03-R97,TerminalFiller,ControlOrLowPriority,0.441,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:2,SEAL:2,Steatite:2,060|<END>:2,LowEvidenceSequence:2,M-1790@Mohenjo-daro/Bull; M-854@Mohenjo-daro/Bull
869,R293,TerminalFiller,ControlOrLowPriority,0.417,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Steatite:1,060|<END>:1,InitialClassifierFormula:1,H-2089@Harappa/Unknown
032-070-590-390,A07-R20-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,0.408,2,2,Inter-Riverine:2,Harappa:2,Bull:2,SEAL:2,Steatite:2,002|740:2,PrimeEntitySealFormula:2,H-597@Harappa/Bull; H-597@Harappa/Bull
233-235-503,A04-M01-R39,PrimeEntityFiller,PrimeEntityContextNeeded,0.4,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-246@Mohenjo-daro/Gaur
240-923-101,A02-R26-R106,PrimeEntityFiller,PrimeEntityContextNeeded,0.4,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-7@Mohenjo-daro/Bull
803-233-032-861,A12-A04-A07-C02,PrimeEntityFiller,PrimeEntityContextNeeded,0.4,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,M-1346@Mohenjo-daro/Unknown
233-001-760,A04-A05-A16,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,M-1670@Mohenjo-daro/Bull
233-240-100,A04-A02-A15,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-79@Mohenjo-daro/Bull
233-335,A04-R121,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Lower Indus:1,Mohenjo-daro:1,Zebu:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-1115@Mohenjo-daro/Zebu
233-705-033-388-443,A04-A13-A11-R33-R89,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,H-137@Harappa/Unknown
233-803,A04-A12,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Lower Indus:1,Jhukar:1,Bull:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,Jk-2@Jhukar/Bull
240-495-615,A02-R93-R98,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-1726@Mohenjo-daro/Bull
240-519-760,A02-R233-A16,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-1753@Mohenjo-daro/Bull
240-637,A02-R253,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,-@Mohenjo-daro/Bull
240-643,A02-R255,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-51@Harappa/Bull
240-806,A02-M06,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Gujarat/Kutch:1,Lothal:1,Unknown:1,SEAL:1,Agate:1,002|740:1,PrimeEntitySealFormula:1,L-83@Lothal/Unknown
240-923,A02-R26,PrimeEntityFiller,PrimeEntityContextNeeded,0.398,1,1,Lower Indus:1,Mohenjo-daro:1,Tigr:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-1166@Mohenjo-daro/Tigr
003-220,M05-A09,PrimeEntityFiller,PrimeEntityContextNeeded,0.396,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-68@Harappa/Bull
031-220-235,M03-A09-M01,PrimeEntityFiller,PrimeEntityContextNeeded,0.396,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-129@Harappa/Unknown
240-740-017-585,A02-T01-R17-R24,PrimeEntityFiller,PrimeEntityContextNeeded,0.396,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-644@Mohenjo-daro/Bull
240-220-717,A02-A09-R41,PrimeEntityFiller,PrimeEntityContextNeeded,0.395,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-651@Mohenjo-daro/Bull
350-543,R11-R134,PrimeEntityFiller,PrimeEntityContextNeeded,0.395,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-235@Mohenjo-daro/Gaur
104-645-590-235,R30-R25-A08-M01,InitialFiller,ControlOrLowPriority,0.394,7,7,Lower Indus:7,Mohenjo-daro:7,Cros:7,TAB:7,Unknown:5; Faience:2,<START>|240:7,TerminalFormula:7,M-2026@Mohenjo-daro/Cros; M-464@Mohenjo-daro/Cros; M-465@Mohenjo-daro/Cros; M-466@Mohenjo-daro/Cros; M-467@Mohenjo-daro/Cros; M-1415@Mohenjo-daro/Cros; M-1416@Mohenjo-daro/Cros
032-692-362,A07-R18-R208,PrimeEntityFiller,PrimeEntityContextNeeded,0.393,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-21@Mohenjo-daro/Bull
175-720,R68-R140,PrimeEntityFiller,PrimeEntityContextNeeded,0.393,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-1267@Mohenjo-daro/Unknown
233-100,A04-A15,PrimeEntityFiller,PrimeEntityContextNeeded,0.393,1,1,Gujarat/Kutch:1,Lothal:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,L-4@Lothal/Bull
233-440,A04-R38,PrimeEntityFiller,PrimeEntityContextNeeded,0.393,1,1,Lower Indus:1,Mohenjo-daro:1,Zebu:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,M-1894@Mohenjo-daro/Zebu
233-590-390,A04-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,0.393,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-12@Mohenjo-daro/Bull
240-772,A02-R99,PrimeEntityFiller,PrimeEntityContextNeeded,0.393,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-958@Mohenjo-daro/Bull
798-240-176,A14-A02-R02,PrimeEntityFiller,PrimeEntityContextNeeded,0.391,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,M-629@Mohenjo-daro/Bull
806-240-017-575,M06-A02-R17-R22,PrimeEntityFiller,PrimeEntityContextNeeded,0.391,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-393@Mohenjo-daro/Unknown
233-382-923-032,A04-R71-R26-A07,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-33@Mohenjo-daro/Bull
233-560,A04-R242,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-628@Mohenjo-daro/Bull
233-565,A04-R73,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-107@Mohenjo-daro/Bull
233-717,A04-R41,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-655@Mohenjo-daro/Bull
240-017-585,A02-R17-R24,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-272@Harappa/Bull
240-033-033-760,A02-A11-A11-A16,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-1670@Harappa/Bull
240-639,A02-R254,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,H-598@Harappa/Bull
240-832-255-070-760,A02-R42-R07-R20-A16,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-1676@Mohenjo-daro/Bull
240-845-032,A02-R62-A07,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-1766@Mohenjo-daro/Bull
706-033-590-405,R09-A11-A08-R01,PrimeEntityFiller,PrimeEntityContextNeeded,0.39,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-8@Harappa/Bull
240-717,A02-R41,PrimeEntityFiller,PrimeEntityContextNeeded,0.388,1,1,Lower Indus:1,Mohenjo-daro:1,Rhinoceros:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,M-1136@Mohenjo-daro/Rhinoceros
003-140-100,M05-M07-A15,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-1810@Mohenjo-daro/Bull
003-140-705-255,M05-M07-A13-R07,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-72@Mohenjo-daro/Bull
003-220-590-405,M05-A09-A08-R01,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-134@Harappa/Unknown
031-013-840,M03-R63-R10,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-90@Mohenjo-daro/Bull
032-220-235-510-460,A07-A09-M01-R231-R91,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-723@Mohenjo-daro/Bull
156-773,T06-R60,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-780@Mohenjo-daro/Bull
168,R108,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-101@Mohenjo-daro/Bull
221,R185,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,C-6@Chanhu-daro/Bull
235-100,M01-A15,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Gujarat/Kutch:1,Dholavira:1,Unknown:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,-@Dholavira/Unknown
235-220-125-590-390,M01-A09-R05-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Central Asia:1,Gonur Depe:1,Elephant:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,-@Gonur Depe/Elephant
235-233-240-636,M01-A04-A02-R48,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-41@Mohenjo-daro/Bull
235-380,M01-R129,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-42@Harappa/Bull
235-590-405,M01-A08-R01,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,H-389@Harappa/Bull
235-770,M01-R273,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-478@Harappa/Bull
798-240-235-388,A14-A02-M01-R33,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,M-793@Mohenjo-daro/Bull
798-320-920-017-575,A14-R37-M04-R17-R22,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-1051@Harappa/Bull
803-003-900,A12-M05-R06,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-384@Mohenjo-daro/Unknown
805-233-003-793,R282-A04-M05-R278,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Unknown:1,002|740:1,PrimeEntitySealFormula:1,M-391@Mohenjo-daro/Unknown
806-231-773,M06-R21-R60,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-135@Harappa/Unknown
806-233-320-920,M06-A04-R37-M04,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,H-22@Harappa/Bull
806-235-240-055,M06-M01-A02-R23,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-29@Mohenjo-daro/Bull
806-236-503-006-752,M06-R86-R39-R147-R59,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-678@Mohenjo-daro/Bull
806-590-405,M06-A08-R01,PrimeEntityFiller,PrimeEntityContextNeeded,0.387,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,SEAL:1,Steatite:1,002|740:1,PrimeEntitySealFormula:1,M-1306@Mohenjo-daro/Unknown
233-222-740,A04-R31-T01,TerminalFiller,ControlOrLowPriority,0.378,5,5,Lower Indus:5,Mohenjo-daro:5,Other:3; Rhinoceros:2,TAB:5,Copper:5,235|<END>:5,TerminalFormula:4; ClassifierSlotTerminalFormula:1,M-572@Mohenjo-daro/Other; M-574@Mohenjo-daro/Other; M-1521@Mohenjo-daro/Rhinoceros; M-1522@Mohenjo-daro/Rhinoceros; M-573@Mohenjo-daro/Other
920-060-745-235,M04-A06-R77-M01,InitialFiller,ControlOrLowPriority,0.378,2,2,Inter-Riverine:1; Lower Indus:1,Harappa:1; Mohenjo-daro:1,Bull:2,SEAL:2,Steatite:2,<START>|240:2,TerminalFormula:2,H-39@Harappa/Bull; M-671@Mohenjo-daro/Bull
590-003-900-002,A08-M05-R06-A01,InitialFiller,ControlOrLowPriority,0.375,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:2,SEAL:2,Faience:1; Steatite:1,<START>|240:2,PrimeEntitySealFormula:2,M-979@Mohenjo-daro/Bull; M-958@Mohenjo-daro/Bull
171-032-031,R67-A07-M03,InitialFiller,ControlOrLowPriority,0.367,4,4,Inter-Riverine:4,Harappa:4,Unknown:3; Bull/uncertain:1,TAB:4,Steatite:4,<START>|240:4,TerminalFormula:4,H-301@Harappa/Unknown; H-905@Harappa/Unknown; H-988@Harappa/Bull/uncertain; H-2192@Harappa/Unknown
072-520,R83-T02,TerminalFiller,ControlOrLowPriority,0.36,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,233|<END>:1,PrimeEntitySealFormula:1,M-1681@Mohenjo-daro/Bull
031-861-002,M03-C02-A01,InitialFiller,ControlOrLowPriority,0.358,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,PrimeEntitySealFormula:1,M-706@Mohenjo-daro/Bull
140-920-944-002,M07-M04-R302-A01,InitialFiller,ControlOrLowPriority,0.358,1,1,Lower Indus:1,Mohenjo-daro:1,Elephant:1,SEAL:1,Steatite:1,<START>|240:1,PrimeEntitySealFormula:1,M-280@Mohenjo-daro/Elephant
808-002,R101-A01,InitialFiller,ControlOrLowPriority,0.358,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,PrimeEntitySealFormula:1,M-833@Mohenjo-daro/Bull
195-125,R178-R05,InitialFiller,ControlOrLowPriority,0.356,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,PrimeEntitySealFormula:1,M-735@Mohenjo-daro/Bull
240-636-740-400,A02-R48-T01-T03,TerminalFiller,ControlOrLowPriority,0.356,3,3,Inter-Riverine:3,Harappa:3,Unknown:2; Bull/uncertain:1,TAB:3,Steatite:3,031|<END>:3,TerminalFormula:3,H-301@Harappa/Unknown; H-905@Harappa/Unknown; H-988@Harappa/Bull/uncertain
370-090-817-002,R210-A10-C03-A01,InitialFiller,ControlOrLowPriority,0.356,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,PrimeEntitySealFormula:1,M-644@Mohenjo-daro/Bull
740-061-409,T01-R29-R215,TerminalFiller,ControlOrLowPriority,0.356,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,SEAL:1,Steatite:1,235|<END>:1,PrimeEntitySealFormula:1,H-129@Harappa/Unknown
346,R124,InitialFiller,ControlOrLowPriority,0.355,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|390:1,PrimeEntitySealFormula:1,M-213@Mohenjo-daro/Bull
031-368-413-002,M03-R04-R217-A01,InitialFiller,ControlOrLowPriority,0.353,1,1,Lower Indus:1,Mohenjo-daro:1,Zebu:1,SEAL:1,Unknown:1,<START>|233:1,PrimeEntitySealFormula:1,M-1894@Mohenjo-daro/Zebu
031-575-002,M03-R22-A01,InitialFiller,ControlOrLowPriority,0.353,1,1,Gujarat/Kutch:1,Lothal:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,PrimeEntitySealFormula:1,L-4@Lothal/Bull
350,R11,TerminalFiller,ControlOrLowPriority,0.353,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,001|<END>:1,PrimeEntitySealFormula:1,M-21@Mohenjo-daro/Bull
371-892-202-368-002,R211-R36-R111-R04-A01,InitialFiller,ControlOrLowPriority,0.353,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,PrimeEntitySealFormula:1,M-12@Mohenjo-daro/Bull
503-702-002,R39-R139-A01,InitialFiller,ControlOrLowPriority,0.352,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,PrimeEntitySealFormula:1,H-408@Harappa/Bull
033-810-892-269-002,A11-R285-R36-R53-A01,InitialFiller,ControlOrLowPriority,0.35,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,PrimeEntitySealFormula:1,M-1766@Mohenjo-daro/Bull
112-002,R165-A01,InitialFiller,ControlOrLowPriority,0.35,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,PrimeEntitySealFormula:1,M-33@Mohenjo-daro/Bull
260-940-002,R114-R301-A01,InitialFiller,ControlOrLowPriority,0.35,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,PrimeEntitySealFormula:1,M-107@Mohenjo-daro/Bull
564-690-291-002,R96-R08-R198-A01,InitialFiller,ControlOrLowPriority,0.35,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,PrimeEntitySealFormula:1,M-628@Mohenjo-daro/Bull
689-880-220-002,R262-R296-A09-A01,InitialFiller,ControlOrLowPriority,0.35,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|233:1,PrimeEntitySealFormula:1,M-655@Mohenjo-daro/Bull
777-255-435-002,R274-R07-R14-A01,InitialFiller,ControlOrLowPriority,0.35,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Unknown:1,<START>|240:1,PrimeEntitySealFormula:1,H-598@Harappa/Bull
803-504-595-002,A12-R45-R46-A01,InitialFiller,ControlOrLowPriority,0.35,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,PrimeEntitySealFormula:1,M-1676@Mohenjo-daro/Bull
824-002,R286-A01,InitialFiller,ControlOrLowPriority,0.35,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,PrimeEntitySealFormula:1,H-1670@Harappa/Bull
904-032-305-002,R19-A07-R200-A01,InitialFiller,ControlOrLowPriority,0.35,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,PrimeEntitySealFormula:1,H-272@Harappa/Bull
255-435-690-740-900,R07-R14-R08-T01-R06,InitialFiller,ControlOrLowPriority,0.339,2,2,Lower Indus:2,Mohenjo-daro:2,Gaur:1; Buff:1,TAB:2,Copper:2,<START>|001:2,TerminalFormula:2,M-525@Mohenjo-daro/Gaur; M-1475@Mohenjo-daro/Buff
390-817,M02-C03,PrimeEntityFiller,PrimeEntityContextNeeded,0.337,1,1,Inter-Riverine:1,Kalibangan:1,Gavial:1,TAB:1,Terracotta:1,002|740:1,PrimeEntityAdministrativeFormula:1,K-78@Kalibangan/Gavial
263-368-032-220,R115-R04-A07-A09,InitialFiller,ControlOrLowPriority,0.332,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,NameLikeTerminalFormula:1,M-631@Mohenjo-daro/Bull
278-220-958-741-838,R193-A09-R306-A03-R61,InitialFiller,ControlOrLowPriority,0.332,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|240:1,NameLikeTerminalFormula:1,M-1690@Mohenjo-daro/Bull
233-555-527-400,A04-R40-T04-T03,TerminalFiller,ControlOrLowPriority,0.33,1,1,Lower Indus:1,Mohenjo-daro:1,Tigr:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-1917@Mohenjo-daro/Tigr
235-350-460-798-740,M01-R11-R91-A14-T01,TerminalFiller,ControlOrLowPriority,0.33,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,M-51@Mohenjo-daro/Bull
240-740-151-031-032,A02-T01-T05-M03-A07,TerminalFiller,ControlOrLowPriority,0.33,1,1,Lower Indus:1,Chanhu-daro:1,Bull:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,C-70@Chanhu-daro/Bull
740-803,T01-A12,InitialFiller,ControlOrLowPriority,0.33,1,1,Gujarat/Kutch:1,Surkotada:1,Unknown:1,SEAL:1,Unknown:1,<START>|390:1,TerminalFormula:1,Sktd-2@Surkotada/Unknown
240-055-151,A02-R23-T05,TerminalFiller,ControlOrLowPriority,0.328,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-1885@Mohenjo-daro/Gaur
