Probe,Side,Unit,TextId,CISI,Frame,TargetFrame,Site,Type,Symbol,Material,SemanticFrame,ReadingTokens,StructuralParse
240-176 :: 520,Neighbor,520,3122.1,M-686,235|<END>,002|<END>,Mohenjo-daro,SEAL,Unknown,Steatite,TerminalFormula,806-235-520,PRODUCTIVE_SLOT(<START>_520)[806-235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-176 :: 520,Neighbor,520,4232.1,-,235|<END>,002|<END>,Dholavira,SEAL,Bull,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-176 :: 520,Neighbor,520,5269.1,Rhd-1,031|<END>,002|<END>,Rahman-deri,SEAL,MISC,Bone,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
240-176 :: 520,Neighbor,520,5421.1,-,031|<END>,002|<END>,Kanmer,SEAL,Ass,Steatite,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
240-176 :: 520,Neighbor,520,2262.1,M-1827,233|<END>,002|<END>,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-176 :: 520,Neighbor,520,2426.1,M-1836,233|<END>,002|<END>,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-176 :: 520,Neighbor,520,1802.2,H-922,031|<END>,002|<END>,Harappa,TAB,Unknown,Steatite,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
240-176 :: 520,Neighbor,520,1803.2,H-923,031|<END>,002|<END>,Harappa,TAB,Unknown,Steatite,TerminalFormula,031-520,PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520]
240-176 :: 520,Neighbor,520,2969.1,M-486,235|<END>,002|<END>,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-176 :: 520,Neighbor,520,2970.1,M-487,235|<END>,002|<END>,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-176 :: 520,Neighbor,520,613.1,-,235|<END>,002|<END>,Harappa,POT,Unknown,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-176 :: 520,Neighbor,520,26.1,-,001|<END>,002|<END>,Banawali,SEAL,Goat:3,Steatite,TerminalFormula,001-520,PRODUCTIVE_SLOT(<START>_520)[001] | PRODUCTIVE_SLOT(001_<END>)[520]
240-176 :: 520,Neighbor,520,5441.1,-,001|<END>,002|<END>,Banawali,SEAL,Scene,Steatite,TerminalFormula,001-520,PRODUCTIVE_SLOT(<START>_520)[001] | PRODUCTIVE_SLOT(001_<END>)[520]
240-176 :: 520,Neighbor,520,4216.1,-,235|<END>,002|<END>,Dholavira,SEAL,Unknown,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-176 :: 520,Neighbor,520,920.1,H-1678,233|<END>,002|<END>,Harappa,SEAL,Bull,Steatite,TerminalFormula,032-220-240-233-520,PRODUCTIVE_SLOT(<START>_520)[032-220-240-233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-176 :: 520,Neighbor,520,1274.2,H-249,233|<END>,002|<END>,Harappa,TAB,Unknown,Faience,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-176 :: 520,Neighbor,520,5456.1,-,235|<END>,002|<END>,Tarkhanewala-dera,TAG,Bull,Clay,TerminalFormula,032-220-235-520,PRODUCTIVE_SLOT(<START>_520)[032-220-235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-176 :: 520,Neighbor,520,3518.1,M-1157,233|<END>,002|<END>,Mohenjo-daro,SEAL,Elephant,Steatite,TerminalFormula,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-176 :: 520,Neighbor,520,297.1,H-874,233|<END>,002|<END>,Harappa,TAB,Unknown,Clay,TerminalFormula,240-233-520,PRODUCTIVE_SLOT(<START>_520)[240-233] | PRODUCTIVE_SLOT(233_<END>)[520]
240-176 :: 520,Neighbor,520,4156.1,-,002|<END>,002|<END>,Dholavira,TAG,Bull,Clay,ClassifierSlotTerminalFormula,820-002-520,PRODUCTIVE_SLOT(<START>_520)[820-002] | PRODUCTIVE_SLOT(002_<END>)[520]
240-176 :: 520,Neighbor,520,4314.1,-,002|<END>,002|<END>,Dholavira,TAG,Bull,-,ClassifierSlotTerminalFormula,820-002-520,PRODUCTIVE_SLOT(<START>_520)[820-002] | PRODUCTIVE_SLOT(002_<END>)[520]
240-740-090 :: 820,Neighbor,820,3276.1,M-865,<START>|001,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,820-001-235-240-740-090,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[235-240-740-090]
240-740-090 :: 820,Neighbor,820,1086.1,H-26,<START>|001,<START>|001,Harappa,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,820-001-798-240-231-388-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[798-240-231-388-740]
240-740-090 :: 820,Neighbor,820,1415.1,H-411,<START>|001,<START>|001,Harappa,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,820-001-240-440-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[240-440-740]
240-740-090 :: 820,Neighbor,820,2683.1,M-157,<START>|001,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,820-001-798-233-790-900-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[798-233-790-900-740]
240-740-090 :: 820,Neighbor,820,2868.1,M-372,<START>|001,<START>|001,Mohenjo-daro,SEAL,Unknown,Steatite,ClassifierSlotTerminalFormula,820-001-176-605-338-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[176-605-338-740]
240-740-090 :: 820,Neighbor,820,3571.1,M-1264,<START>|001,<START>|001,Mohenjo-daro,SEAL,Unknown,Steatite,ClassifierSlotTerminalFormula,820-001-456-100-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[456-100-740]
240-740-090 :: 820,Neighbor,820,2321.1,M-1762,<START>|001,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,InitialClassifierFormula,820-001-202-645,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[202-645]
240-740-090 :: 820,Neighbor,820,2730.1,M-205,<START>|001,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,InitialClassifierFormula,820-001-904-832,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[904-832]
240-740-090 :: 820,Neighbor,820,2853.1,M-357,<START>|001,<START>|001,Mohenjo-daro,SEAL,Unknown,Steatite,ClassifierSlotTerminalFormula,820-001-806-240-472-806-100-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | 806:LEADING_FORMULA_MARKER | 240:SLOT_INITIAL_MODIFIER | 472:SIGN | 806:LEADING_FORMULA_MARKER | 100:SLOT_FINAL_MODIFIER | 740:TERMINAL_TITLE_OR_SUFFIX
240-740-090 :: 820,Neighbor,820,897.2,H-2089,<START>|001,<START>|001,Harappa,TAB,Unknown,Steatite,InitialClassifierFormula,820-001-060-869,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | 060:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(060_<END>)[869]
240-482 :: 590,Neighbor,590,3361.1,M-968,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,590-390-741-923-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[923-740]
240-482 :: 590,Neighbor,590,1133.1,H-75,<START>|390,<START>|390,Harappa,SEAL,Bull,Steatite,TerminalFormula,590-390-740-400,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX | 400:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 590,Neighbor,590,3390.1,M-998,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,InitialClassifierFormula,590-390-820,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 820:INITIAL_TITLE_OR_CLASSIFIER
240-482 :: 590,Neighbor,590,3924.1,H-1046,<START>|390,<START>|390,Harappa,SEAL,Bull,-,TerminalFormula,590-390-151,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 151:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 590,Neighbor,590,6.1,Ad-1,<START>|390,<START>|390,Allahdino,SEAL,Bull,Steatite,TerminalFormula,590-390-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 590,Neighbor,590,90.1,C-2,<START>|390,<START>|390,Chanhu-daro,SEAL,Bull,Steatite,TerminalFormula,590-390-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX
176 :: 061,Anchor,176,2017.1,L-46,002|740,002|740,Lothal,SEAL,Gaur,Steatite,PrimeEntitySealFormula,392-861-002-176-740-233-388-527,392:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[388-527]
176 :: 061,Anchor,176,2654.1,M-127,<START>|741,002|740,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,176-741-220-740-565,PRODUCTIVE_SLOT(<START>_741)[176] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[220-740-565]
176 :: 061,Anchor,176,2263.1,M-963,002|740,002|740,Mohenjo-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,817-002-176-740,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX
176 :: 061,Anchor,176,2323.1,M-1755,002|740,002|740,Mohenjo-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,861-002-176-740,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX
176 :: 061,Anchor,176,2543.1,M-15,002|740,002|740,Mohenjo-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,861-002-176-740-090,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER
176 :: 061,Neighbor,061,3134.1,M-708,002|740,002|740,Mohenjo-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,140-390-002-061-740,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[061] | 740:TERMINAL_TITLE_OR_SUFFIX
240-740-090 :: 590,Neighbor,590,3361.1,M-968,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,590-390-741-923-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[923-740]
240-740-090 :: 590,Neighbor,590,1133.1,H-75,<START>|390,<START>|390,Harappa,SEAL,Bull,Steatite,TerminalFormula,590-390-740-400,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX | 400:TERMINAL_TITLE_OR_SUFFIX
240-740-090 :: 590,Neighbor,590,3390.1,M-998,<START>|390,<START>|390,Mohenjo-daro,SEAL,Bull,Steatite,InitialClassifierFormula,590-390-820,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 820:INITIAL_TITLE_OR_CLASSIFIER
240-740-090 :: 590,Neighbor,590,3924.1,H-1046,<START>|390,<START>|390,Harappa,SEAL,Bull,-,TerminalFormula,590-390-151,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 151:TERMINAL_TITLE_OR_SUFFIX
240-740-090 :: 590,Neighbor,590,6.1,Ad-1,<START>|390,<START>|390,Allahdino,SEAL,Bull,Steatite,TerminalFormula,590-390-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX
240-740-090 :: 590,Neighbor,590,90.1,C-2,<START>|390,<START>|390,Chanhu-daro,SEAL,Bull,Steatite,TerminalFormula,590-390-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Anchor,240-482,2801.1,M-280,002|740,002|740,Mohenjo-daro,SEAL,Elephant,Steatite,PrimeEntitySealFormula,140-920-944-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[140-920-944-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Anchor,240-482,1695.1,H-806,002|740,002|740,Harappa,TAB,Unknown,Clay,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Anchor,240-482,1696.1,H-807,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Anchor,240-482,1697.1,H-808,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Anchor,240-482,3970.1,H-1130,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Anchor,240-482,3971.1,H-1131,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Anchor,240-482,729.2,H-2010,002|740,002|740,Harappa,TAB,Bull,Faience,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Anchor,240-482,937.2,H-2011,002|740,002|740,Harappa,TAB,Bull,Clay,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Neighbor,240-904,1602.1,H-697,002|740,002|740,Harappa,TAB,Bull2,Clay,PrimeEntityAdministrativeFormula,817-002-240-904-740,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-904] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Neighbor,240-904,280.1,-,002|740,002|740,Harappa,TAB,Bull2,Clay,PrimeEntityAdministrativeFormula,817-002-240-904-740,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-904] | 740:TERMINAL_TITLE_OR_SUFFIX
240-482 :: 240-904,Neighbor,240-904,3959.1,H-1100,002|740,002|740,Harappa,TAB,Bull2,-,PrimeEntityAdministrativeFormula,817-002-240-904-740,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-904] | 740:TERMINAL_TITLE_OR_SUFFIX
140 :: 820,Anchor,140,3485.1,M-1114,002|740,<START>|001,Mohenjo-daro,SEAL,Zebu,Steatite,PrimeEntitySealFormula,920-060-741-002-140-740,PRODUCTIVE_SLOT(<START>_741)[920-060] | 741:SLOT_INITIAL_MODIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[140] | 740:TERMINAL_TITLE_OR_SUFFIX
140 :: 820,Anchor,140,3134.1,M-708,<START>|390,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,PrimeEntitySealFormula,140-390-002-061-740,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[061] | 740:TERMINAL_TITLE_OR_SUFFIX
140 :: 820,Anchor,140,2579.1,M-51,<START>|390,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,TerminalFormula,140-390-741-235-350-460-798-740,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[235-350-460-798-740]
140 :: 820,Anchor,140,371.2,H-1771,<START>|001,<START>|001,Harappa,TAB,Goat:4,Faience,TerminalFormula,140-001-031-740,PRODUCTIVE_SLOT(<START>_001)[140] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[031-740]
140 :: 820,Anchor,140,383.2,H-1773,<START>|001,<START>|001,Harappa,TAB,Goat:4,Faience,TerminalFormula,140-001-031-740,PRODUCTIVE_SLOT(<START>_001)[140] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[031-740]
140 :: 820,Anchor,140,400.2,H-1772,<START>|001,<START>|001,Harappa,TAB,Goat:4,Faience,TerminalFormula,140-001-031-740,PRODUCTIVE_SLOT(<START>_001)[140] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[031-740]
140 :: 820,Anchor,140,775.1,H-1666,<START>|741,<START>|001,Harappa,SEAL,Bull,Steatite,LowEvidenceSequence,140-741-097-161,PRODUCTIVE_SLOT(<START>_741)[140] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[097-161]
140 :: 820,Neighbor,820,3276.1,M-865,<START>|001,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,820-001-235-240-740-090,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[235-240-740-090]
140 :: 820,Neighbor,820,1086.1,H-26,<START>|001,<START>|001,Harappa,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,820-001-798-240-231-388-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[798-240-231-388-740]
140 :: 820,Neighbor,820,1415.1,H-411,<START>|001,<START>|001,Harappa,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,820-001-240-440-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[240-440-740]
140 :: 820,Neighbor,820,2683.1,M-157,<START>|001,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,ClassifierSlotTerminalFormula,820-001-798-233-790-900-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[798-233-790-900-740]
140 :: 820,Neighbor,820,2868.1,M-372,<START>|001,<START>|001,Mohenjo-daro,SEAL,Unknown,Steatite,ClassifierSlotTerminalFormula,820-001-176-605-338-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[176-605-338-740]
140 :: 820,Neighbor,820,3571.1,M-1264,<START>|001,<START>|001,Mohenjo-daro,SEAL,Unknown,Steatite,ClassifierSlotTerminalFormula,820-001-456-100-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[456-100-740]
140 :: 820,Neighbor,820,2321.1,M-1762,<START>|001,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,InitialClassifierFormula,820-001-202-645,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[202-645]
140 :: 820,Neighbor,820,2730.1,M-205,<START>|001,<START>|001,Mohenjo-daro,SEAL,Bull,Steatite,InitialClassifierFormula,820-001-904-832,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[904-832]
140 :: 820,Neighbor,820,2853.1,M-357,<START>|001,<START>|001,Mohenjo-daro,SEAL,Unknown,Steatite,ClassifierSlotTerminalFormula,820-001-806-240-472-806-100-740,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | 806:LEADING_FORMULA_MARKER | 240:SLOT_INITIAL_MODIFIER | 472:SIGN | 806:LEADING_FORMULA_MARKER | 100:SLOT_FINAL_MODIFIER | 740:TERMINAL_TITLE_OR_SUFFIX
140 :: 820,Neighbor,820,897.2,H-2089,<START>|001,<START>|001,Harappa,TAB,Unknown,Steatite,InitialClassifierFormula,820-001-060-869,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | 060:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(060_<END>)[869]
240-176 :: 240-482,Anchor,240-176,2809.1,M-289,002|740,002|740,Mohenjo-daro,SEAL,Tigr,Steatite,PrimeEntitySealFormula,817-002-240-176-740,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-176] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176 :: 240-482,Anchor,240-176,1413.1,H-408,002|740,002|740,Harappa,SEAL,Bull,Steatite,PrimeEntitySealFormula,503-702-002-240-176-740,PRODUCTIVE_SLOT(<START>_240)[503-702-002] | PRIME_ENTITY_SLOT(002_740)[240-176] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176 :: 240-482,Neighbor,240-482,2801.1,M-280,002|740,002|740,Mohenjo-daro,SEAL,Elephant,Steatite,PrimeEntitySealFormula,140-920-944-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[140-920-944-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176 :: 240-482,Neighbor,240-482,1695.1,H-806,002|740,002|740,Harappa,TAB,Unknown,Clay,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176 :: 240-482,Neighbor,240-482,1696.1,H-807,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176 :: 240-482,Neighbor,240-482,1697.1,H-808,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176 :: 240-482,Neighbor,240-482,3970.1,H-1130,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176 :: 240-482,Neighbor,240-482,3971.1,H-1131,002|740,002|740,Harappa,TAB,Unknown,-,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176 :: 240-482,Neighbor,240-482,729.2,H-2010,002|740,002|740,Harappa,TAB,Bull,Faience,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
240-176 :: 240-482,Neighbor,240-482,937.2,H-2011,002|740,002|740,Harappa,TAB,Bull,Clay,PrimeEntityAdministrativeFormula,861-002-240-482-740,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-482] | 740:TERMINAL_TITLE_OR_SUFFIX
590-390 :: 003,Neighbor,003,3022.1,M-550,<START>|233,<START>|390,Mohenjo-daro,TAB,Comp,Copper,TerminalFormula,003-233-100-740,PRODUCTIVE_SLOT(<START>_233)[003] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[100-740]
590-390 :: 003,Neighbor,003,3548.1,M-1197,<START>|001,<START>|390,Mohenjo-daro,SEAL,Unknown,-,LowEvidenceSequence,003-001-435,PRODUCTIVE_SLOT(<START>_001)[003] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[435]
590-390 :: 003,Neighbor,003,1539.1,H-596,<START>|390,<START>|390,Harappa,SEAL,Unknown,Faience,LowEvidenceSequence,003-390,PRODUCTIVE_SLOT(<START>_390)[003] | 390:CLOSING_FORMULA_MARKER
