Unit,AbstractUnit,Role,TestClass,Dimension,Category,Count,UnitOccurrences,BaselineCount,Expected,Lift,Log2Lift,AssociationScore,Strength
817-002-003,C03-A01-M05,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,3,3,36,0.178,16.861,4.076,0.82,Strong
233-705-033-585-407,A04-A13-A11-R24-R12,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,3,3,57,0.282,10.649,3.413,0.818,Strong
235-222,M01-R31,PrimeEntityFiller,StrongOnomasticAnchor,SemanticFrame,PrimeEntitySealFormula,3,3,104,0.514,5.837,2.545,0.814,Strong
240-415-100,A02-R13-A15,PrimeEntityFiller,PrimeEntityContextNeeded,SemanticFrame,PrimeEntitySealFormula,3,3,104,0.514,5.837,2.545,0.814,Strong
590-390,A08-M02,PrimeEntityFiller,StrongOnomasticAnchor,SemanticFrame,PrimeEntitySealFormula,3,3,104,0.514,5.837,2.545,0.814,Strong
171-032-031,R67-A07-M03,InitialFiller,ControlOrLowPriority,Site,Harappa,4,4,174,1.147,3.489,1.803,0.811,Strong
176,R02,PrimeEntityFiller,StrongOnomasticAnchor,SemanticFrame,PrimeEntitySealFormula,4,5,104,0.857,4.669,2.223,0.808,Strong
520,T02,TerminalFiller,CrossFramePhoneticAnchor,Material,Clay,6,21,28,0.969,6.194,2.631,0.8,Strong
171-032-031,R67-A07-M03,InitialFiller,ControlOrLowPriority,Region,Inter-Riverine,4,4,185,1.219,3.281,1.714,0.8,Strong
031-740,M03-T01,TerminalFiller,AffixOrFormulaAnchor,Type,TAB,3,3,116,0.573,5.233,2.388,0.8,Strong
233-705-033-585-407,A04-A13-A11-R24-R12,TerminalFiller,ControlOrLowPriority,Type,TAB,3,3,116,0.573,5.233,2.388,0.8,Strong
240-636-740-400,A02-R48-T01-T03,TerminalFiller,ControlOrLowPriority,Type,TAB,3,3,116,0.573,5.233,2.388,0.8,Strong
240-904,A02-R19,PrimeEntityFiller,PrimeEntityContextNeeded,Type,TAB,3,3,116,0.573,5.233,2.388,0.8,Strong
851,R102,InitialFiller,ControlOrLowPriority,Type,TAB,3,3,116,0.573,5.233,2.388,0.8,Strong
817-002,C03-A01,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,PrimeEntitySealFormula,9,16,104,2.741,3.283,1.715,0.79,Strong
048-740,R43-T01,TerminalFiller,AffixOrFormulaAnchor,Type,TAB,4,5,116,0.956,4.186,2.066,0.788,Strong
920-060,M04-A06,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,LowEvidenceSequence,12,33,57,3.099,3.872,1.953,0.761,Strong
861-002,C02-A01,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,PrimeEntitySealFormula,9,18,104,3.084,2.918,1.545,0.753,Strong
384-740,R27-T01,TerminalFiller,AffixOrFormulaAnchor,Material,Copper,3,4,17,0.112,26.779,4.743,0.752,Strong
520-400,T02-T03,TerminalFiller,ControlOrLowPriority,Material,Faience,3,4,30,0.198,15.175,3.924,0.75,Strong
233,A04,InitialFiller,CrossFramePhoneticAnchor,Material,Faience,4,10,30,0.494,8.093,3.017,0.734,Strong
031-740,M03-T01,TerminalFiller,AffixOrFormulaAnchor,Site,Harappa,3,3,174,0.86,3.489,1.803,0.729,Strong
240-636-740-400,A02-R48-T01-T03,TerminalFiller,ControlOrLowPriority,Site,Harappa,3,3,174,0.86,3.489,1.803,0.729,Strong
240-904,A02-R19,PrimeEntityFiller,PrimeEntityContextNeeded,Site,Harappa,3,3,174,0.86,3.489,1.803,0.729,Strong
851,R102,InitialFiller,ControlOrLowPriority,Site,Harappa,3,3,174,0.86,3.489,1.803,0.729,Strong
031-740,M03-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Inter-Riverine,3,3,185,0.914,3.281,1.714,0.718,Strong
240-636-740-400,A02-R48-T01-T03,TerminalFiller,ControlOrLowPriority,Region,Inter-Riverine,3,3,185,0.914,3.281,1.714,0.718,Strong
240-904,A02-R19,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Inter-Riverine,3,3,185,0.914,3.281,1.714,0.718,Strong
851,R102,InitialFiller,ControlOrLowPriority,Region,Inter-Riverine,3,3,185,0.914,3.281,1.714,0.718,Strong
048-740,R43-T01,TerminalFiller,AffixOrFormulaAnchor,Site,Harappa,4,5,174,1.433,2.791,1.481,0.713,Strong
233-222-740,A04-R31-T01,TerminalFiller,ControlOrLowPriority,Symbol,Other,3,5,6,0.049,60.7,5.924,0.711,Strong
048-740,R43-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Inter-Riverine,4,5,185,1.524,2.625,1.392,0.701,Strong
235,M01,InitialFiller,CrossFramePhoneticAnchor,Material,Clay,5,28,28,1.292,3.871,1.953,0.683,Strong
806-235,M06-M01,InitialFiller,AffixOrFormulaAnchor,Material,Copper,3,6,17,0.168,17.853,4.158,0.681,Strong
384-740,R27-T01,TerminalFiller,AffixOrFormulaAnchor,Type,TAB,3,4,116,0.764,3.925,1.973,0.68,Strong
520-400,T02-T03,TerminalFiller,ControlOrLowPriority,Type,TAB,3,4,116,0.764,3.925,1.973,0.68,Strong
235,M01,InitialFiller,CrossFramePhoneticAnchor,Type,TAB,11,28,116,5.351,2.056,1.04,0.666,Strong
