Unit,AbstractUnit,Role,TestClass,Dimension,Category,Count,UnitOccurrences,BaselineCount,Expected,Lift,Log2Lift,AssociationScore,Strength
233-235-705-033-520,A04-M01-A13-A11-T02,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
233-550-527,A04-R15-T04,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
233-550-527,A04-R15-T04,TerminalFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
233-705-033-740-400,A04-A13-A11-T01-T03,TerminalFiller,ControlOrLowPriority,Material,Faience,1,1,30,0.049,20.233,4.339,0.647,Exploratory
233-803-740,A04-A12-T01,TerminalFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
234-760-740,R186-A16-T01,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
234-760-740,R186-A16-T01,TerminalFiller,ControlOrLowPriority,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
235-100,M01-A15,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
235-100,M01-A15,PrimeEntityFiller,PrimeEntityContextNeeded,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
235-233-055-555-527,M01-A04-R23-R40-T04,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
235-240-100-740,M01-A02-A15-T01,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
235-482-740-406-742,M01-R16-T01-R54-R76,TerminalFiller,ControlOrLowPriority,Material,Clay,1,1,28,0.046,21.679,4.438,0.647,Exploratory
235-555-527,M01-R40-T04,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
235-555-527,M01-R40-T04,TerminalFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
240-055-151,A02-R23-T05,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
240-232-140-615-590,A02-R113-M07-R98-A08,TerminalFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
240-233,A02-A04,InitialFiller,ControlOrLowPriority,Material,Clay,1,1,28,0.046,21.679,4.438,0.647,Exploratory
240-350-504,A02-R11-R45,TerminalFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
240-415-100-740-090,A02-R13-A15-T01-A10,TerminalFiller,AffixOrFormulaAnchor,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
240-416-840-740,A02-R34-R10-T01,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
240-416-840-740,A02-R34-R10-T01,TerminalFiller,ControlOrLowPriority,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
240-455-740,A02-R44-T01,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
240-495-070-520,A02-R93-R20-T02,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
240-636,A02-R48,PrimeEntityFiller,PrimeEntityContextNeeded,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
240-636-255-817,A02-R48-R07-C03,TerminalFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
240-705-033-520,A02-A13-A11-T02,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
240-705-033-803,A02-A13-A11-A12,InitialFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
240-740-151-031-032,A02-T01-T05-M03-A07,TerminalFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
240-798-740,A02-A14-T01,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
240-798-740,A02-A14-T01,TerminalFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
240-806,A02-M06,PrimeEntityFiller,PrimeEntityContextNeeded,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
240-806,A02-M06,PrimeEntityFiller,PrimeEntityContextNeeded,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
240-904-740,A02-R19-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
240-904-740,A02-R19-T01,TerminalFiller,AffixOrFormulaAnchor,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
243-150,R69-R85,InitialFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
268-760-740,R192-A16-T01,TerminalFiller,ControlOrLowPriority,Material,Faience,1,1,30,0.049,20.233,4.339,0.647,Exploratory
324-920-740,R120-M04-T01,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
350-543,R11-R134,PrimeEntityFiller,PrimeEntityContextNeeded,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
368,R04,TerminalFiller,AffixOrFormulaAnchor,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
388-032-151,R33-A07-T05,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
388-032-151,R33-A07-T05,TerminalFiller,ControlOrLowPriority,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
388-527,R33-T04,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
388-527,R33-T04,TerminalFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
388-527,R33-T04,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
415-100-820-595,R13-A15-C01-R46,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
415-100-820-595,R13-A15-C01-R46,TerminalFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
443-740-550-527,R89-T01-R15-T04,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
443-740-550-527,R89-T01-R15-T04,TerminalFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
456,R90,InitialFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
456,R90,InitialFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
463-820-390,R92-C01-M02,TerminalFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
467-550,R130-R15,InitialFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
480,R72,InitialFiller,ControlOrLowPriority,Material,Clay,1,1,28,0.046,21.679,4.438,0.647,Exploratory
518-831,R133-R78,InitialFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
544-690-817-002-590,R135-R08-C03-A01-A08,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
554-527,R240-T04,TerminalFiller,AffixOrFormulaAnchor,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
564-803-090-520,R96-A12-A10-T02,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
564-803-090-520,R96-A12-A10-T02,TerminalFiller,ControlOrLowPriority,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
579-250-741,R136-R52-A03,InitialFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
590-740,A08-T01,InitialFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
590-740,A08-T01,InitialFiller,ControlOrLowPriority,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
617,R57,InitialFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
626-605-250,R250-R137-R52,TerminalFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
634-840-032-384,R251-R10-A07-R27,PreTerminalFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
635-706-760-595-820,R252-R09-A16-R46-C01,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
645-286,R25-R196,TerminalFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
683-572,R257-R74,InitialFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
692-031,R18-M03,InitialFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
692-031,R18-M03,InitialFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
692-031,R18-M03,InitialFiller,ControlOrLowPriority,Material,Clay,1,1,28,0.046,21.679,4.438,0.647,Exploratory
706-033-760-740,R09-A11-A16-T01,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
716-032-031,R267-A07-M03,InitialFiller,ControlOrLowPriority,Material,Faience,1,1,30,0.049,20.233,4.339,0.647,Exploratory
717-740,R41-T01,TerminalFiller,ControlOrLowPriority,Material,Clay,1,1,28,0.046,21.679,4.438,0.647,Exploratory
720-405-065-060,R140-R01-R103-A06,InitialFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
720-405-065-060,R140-R01-R103-A06,InitialFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
740-031-590-390-161,T01-M03-A08-M02-R107,TerminalFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
740-090,T01-A10,TerminalFiller,AffixOrFormulaAnchor,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
740-090,T01-A10,TerminalFiller,AffixOrFormulaAnchor,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
740-090,T01-A10,TerminalFiller,AffixOrFormulaAnchor,Material,Clay,1,1,28,0.046,21.679,4.438,0.647,Exploratory
740-740,T01-T01,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
740-803,T01-A12,InitialFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
741-003-429,A03-M05-R223,TerminalFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
741-005-368,A03-R49-R04,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
741-005-368,A03-R49-R04,TerminalFiller,ControlOrLowPriority,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
741-005-368-705-167,A03-R49-R04-A13-R175,TerminalFiller,ControlOrLowPriority,Material,Clay,1,1,28,0.046,21.679,4.438,0.647,Exploratory
741-017-390,A03-R17-M02,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
741-031-017-575-740,A03-M03-R17-R22-T01,TerminalFiller,ControlOrLowPriority,Material,Clay,1,1,28,0.046,21.679,4.438,0.647,Exploratory
741-142-156,A03-R50-T06,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
741-142-156,A03-R50-T06,TerminalFiller,ControlOrLowPriority,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
741-235-231-740-741,A03-M01-R21-T01-A03,TerminalFiller,ControlOrLowPriority,Material,Faience,1,1,30,0.049,20.233,4.339,0.647,Exploratory
741-415-100-740,A03-R13-A15-T01,TerminalFiller,ControlOrLowPriority,Material,Clay,1,1,28,0.046,21.679,4.438,0.647,Exploratory
741-530,A03-R56,InitialFiller,ControlOrLowPriority,Material,Faience,1,1,30,0.049,20.233,4.339,0.647,Exploratory
741-590-406-740,A03-A08-R54-T01,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
741-590-406-740,A03-A08-R54-T01,TerminalFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
741-821-740,A03-R142-T01,TerminalFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
741-821-740,A03-R142-T01,TerminalFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
741-821-740,A03-R142-T01,TerminalFiller,ControlOrLowPriority,Material,Faience,1,1,30,0.049,20.233,4.339,0.647,Exploratory
798-740,A14-T01,TerminalFiller,AffixOrFormulaAnchor,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
798-740,A14-T01,TerminalFiller,AffixOrFormulaAnchor,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
803-798,A12-A14,PrimeEntityFiller,PrimeEntityContextNeeded,Material,Faience,1,1,30,0.049,20.233,4.339,0.647,Exploratory
804,R281,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
817-013,C03-R63,InitialFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
817-368,C03-R04,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
817-368-003,C03-R04-M05,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
820-002-803-322-920,C01-A01-A12-R119-M04,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
820-090-480,C01-A10-R72,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
820-125-390-002-004,C01-R05-M02-A01-R28,InitialFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
820-125-390-002-004,C01-R05-M02-A01-R28,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
831,R78,InitialFiller,AffixOrFormulaAnchor,Material,Copper,1,1,17,0.028,35.706,5.158,0.647,Exploratory
832,R42,TerminalFiller,AffixOrFormulaAnchor,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
832,R42,TerminalFiller,AffixOrFormulaAnchor,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
840-032-740-090,R10-A07-T01-A10,TerminalFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
850,R80,InitialFiller,ControlOrLowPriority,Material,Faience,1,1,30,0.049,20.233,4.339,0.647,Exploratory
850-315,R80-R117,InitialFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
850-315,R80-R117,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
861-002-590,C02-A01-A08,InitialFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
861-002-590,C02-A01-A08,InitialFiller,ControlOrLowPriority,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
861-002-590,C02-A01-A08,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
861-002-806-240-844,C02-A01-M06-A02-R287,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
861-002-900-590,C02-A01-R06-A08,InitialFiller,ControlOrLowPriority,Material,Faience,1,1,30,0.049,20.233,4.339,0.647,Exploratory
861-368-480-003,C02-R04-R72-M05,InitialFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
861-368-480-003,C02-R04-R72-M05,InitialFiller,ControlOrLowPriority,Site,Lothal,1,1,18,0.03,33.722,5.076,0.647,Exploratory
861-368-480-003,C02-R04-R72-M05,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
869,R293,TerminalFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
892-647,R36-R256,InitialFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
892-798,R36-A14,InitialFiller,ControlOrLowPriority,Region,Gujarat/Kutch,1,1,45,0.074,13.489,3.754,0.647,Exploratory
892-798,R36-A14,InitialFiller,ControlOrLowPriority,Site,Dholavira,1,1,21,0.035,28.905,4.853,0.647,Exploratory
904-832,R19-R42,TerminalFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,1,1,36,0.059,16.861,4.076,0.647,Exploratory
920-400-740,M04-T03-T01,TerminalFiller,ControlOrLowPriority,Site,Chanhu-daro,1,1,20,0.033,30.35,4.924,0.647,Exploratory
924,R300,InitialFiller,ControlOrLowPriority,Symbol,Gaur,1,1,27,0.044,22.481,4.491,0.647,Exploratory
001-003-422,A05-M05-R219,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
003-003,M05-M05,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
003-390,M05-M02,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
003-427,M05-R222,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
004-405,R28-R01,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
004-900-154,R28-R06-R51,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
015-140,R149-M07,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
031-157,M03-R172,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
031-592-031-032-842,M03-R97-M03-A07-R79,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
031-705-033-368,M03-A13-A11-R04,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
032-226,A07-R112,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
032-226-685-865,A07-R112-R259-R292,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
033,A11,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
055-220-091,R23-A09-R65,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
070-003-900-032-405,R20-M05-R06-A07-R01,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
091-032,R65-A07,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
093-031,R159-M03,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
097-161,R160-R107,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
125-920-700-326-090,R05-M04-R138-R204-A10,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
139,R170,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
140-920-055,M07-M04-R23,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
150-416,R85-R34,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
231,R21,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
233-550,A04-R15,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
233-705-033-031-046,A04-A13-A11-M03-R153,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
236,R86,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
236-832-033,R86-R42-A11,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
240-232-140-615-590,A02-R113-M07-R98-A08,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
250-542,R52-R237,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
272-033-744,R87-A11-R269,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
309-165,R116-R66,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
374-920,R88-M04,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
402,R214,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
458,R225,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
467-806-155,R130-M06-R171,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
503,R39,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
575,R22,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
575-031-002-003,R22-M03-A01-M05,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
586-561-745,R245-R243-R77,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
692-031,R18-M03,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
692-440-920,R18-R38-M04,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
707,R265,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
720-405-065-060,R140-R01-R103-A06,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
741-002-140-269-036,A03-A01-M07-R53-R151,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
741-003-429,A03-M05-R223,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
741-005-368,A03-R49-R04,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
741-005-368-705-167,A03-R49-R04-A13-R175,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
741-017-390,A03-R17-M02,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
741-240-232,A03-A02-R113,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
741-240-350-504,A03-A02-R11-R45,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
804,R281,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
840-390,R10-M02,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
845-407,R62-R12,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
924,R300,InitialFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,1,1,57,0.094,10.649,3.413,0.646,Exploratory
