LeftSign,RightSign,LeftVariable,RightVariable,AnchorCount,AnchorUnits
032,220,A07,A09,1,032-220
235,222,M01,R31,1,235-222
235,840,M01,R10,1,235-840-032
240,176,A02,R02,1,240-176
240,482,A02,R16,1,240-482
240,740,A02,T01,1,240-740-090
590,390,A08,M02,1,590-390
740,090,T01,A10,1,240-740-090
820,060,C01,A06,1,820-060
840,032,R10,A07,1,235-840-032
