Frame,Left,Right,Count,DistinctFillers,TopFiller,TopFillerShare,FillerEntropy,SiteCount,RegionCount,TypeCount,SealPct,CompletePct,NameSlotScore,Examples
585|<END>,585,<END>,54,13,740,0.463,0.7038,6,5,7,0.4815,0.8333,0.7889,1064.1/H-3/Harappa; 1177.1/H-136/Harappa; 1293.1/H-268/Harappa; 1296.1/H-272/Harappa; 1398.1/H-383/Harappa
002|017,002,017,10,10,798-320-920,0.1,1.0,2,2,3,0.9,0.9,0.7886,259.1/H-1051/Harappa; 1293.1/H-268/Harappa; 1296.1/H-272/Harappa; 1398.1/H-383/Harappa; 2421.1/M-2129/Mohenjo-daro
820|033,820,033,10,10,002-220-630-794-706,0.1,1.0,2,2,3,0.9,0.9,0.7886,1190.1/H-149/Harappa; 1564.1/H-649/Harappa; 1611.1/H-706/Harappa; 2478.1/M-1906/Mohenjo-daro; 2578.1/M-50/Mohenjo-daro
853|<END>,853,<END>,10,10,440-760-740,0.1,1.0,1,1,2,0.9,0.9,0.7886,2225.1/M-1923/Mohenjo-daro; 2392.1/M-1876/Mohenjo-daro; 2631.1/M-104/Mohenjo-daro; 2709.1/M-184/Mohenjo-daro; 2720.1/M-195/Mohenjo-daro
817|033,817,033,12,11,002-233-705,0.1667,0.9881,2,2,4,0.6667,0.8333,0.7882,258.2/H-1121/Harappa; 402.2/H-2015/Harappa; 1178.1/H-137/Harappa; 1211.1/H-177/Harappa; 1401.1/H-388/Harappa
<START>|565,<START>,565,12,11,231-176-740,0.1667,0.9881,2,2,3,0.75,0.75,0.7881,397.2/H-2141/Harappa; 418.2/H-2140/Harappa; 1382.1/H-363/Harappa; 1586.1/H-679/Harappa; 2185.1/M-1751/Mohenjo-daro
615|<END>,615,<END>,62,22,752-740,0.4677,0.6628,5,3,6,0.4032,0.9355,0.7872,99.1/C-11/Chanhu-daro; 741.1/H-1690/Harappa; 1064.1/H-3/Harappa; 1074.1/H-13/Harappa; 1143.1/H-87/Harappa
<START>|165,<START>,165,21,15,900,0.2857,0.9108,3,2,6,0.4762,0.7143,0.7867,319.1/H-1077/Harappa; 1203.1/H-162/Harappa; 1621.1/H-718/Harappa; 1919.1/K-56/Kalibangan; 2156.1/M-2069/Mohenjo-daro
435|<END>,435,<END>,62,22,690-740,0.4355,0.7046,5,4,9,0.4516,0.7742,0.7863,234.2/-/Harappa; 274.1/-/Harappa; 287.2/H-1179/Harappa; 373.2/H-1924/Harappa; 390.2/H-2063/Harappa
838|<END>,838,<END>,13,11,585-740-400,0.1538,0.9807,5,2,3,0.6923,0.7692,0.7858,63.1/C-64/Chanhu-daro; 157.1/Grb-1/Gharo Bhiro; 622.1/H-1709/Harappa; 934.1/H-1707/Harappa; 1882.1/K-7/Kalibangan
407|<END>,407,<END>,63,17,740,0.2857,0.7178,7,5,6,0.2857,0.8889,0.7852,124.1/Dlp-2/Desalpur; 135.1/-/Dholavira; 139.1/-/Dholavira; 180.1/M-584/Mohenjo-daro; 291.1/-/Harappa
480|<END>,480,<END>,28,22,001,0.1071,0.9698,6,4,9,0.25,0.6429,0.7842,522.1/H-2341/Harappa; 603.1/H-1732/Harappa; 814.1/H-2134/Harappa; 866.2/H-2133/Harappa; 1049.1/H-1353/Harappa
877|<END>,877,<END>,18,10,740,0.2778,0.9147,4,4,4,0.8889,0.8333,0.7842,1087.1/H-27/Harappa; 1184.1/H-143/Harappa; 1363.1/H-343/Harappa; 1533.1/H-586/Harappa; 2190.1/M-1869/Mohenjo-daro
845|<END>,845,<END>,53,13,061-407-850-900-740,0.2642,0.7587,2,2,3,0.2264,0.9057,0.7835,1171.1/H-130/Harappa; 1173.1/H-132/Harappa; 1554.1/H-639/Harappa; 1574.1/H-659/Harappa; 2189.1/M-1953/Mohenjo-daro
<START>|575,<START>,575,46,24,413,0.4565,0.7484,6,3,5,0.4565,0.7609,0.7832,66.1/C-69/Chanhu-daro; 300.2/-/Harappa; 370.2/H-2016/Harappa; 432.1/H-1820/Harappa; 512.1/H-1816/Harappa
<START>|111,<START>,111,11,11,033,0.0909,1.0,5,3,3,0.7273,0.7273,0.783,542.1/-/Harappa; 1490.1/H-513/Harappa; 1972.1/Kd-7/Kot-Diji; 2003.1/L-26/Lothal; 2595.1/M-67/Mohenjo-daro
002|585,002,585,14,10,017,0.3571,0.8965,3,2,1,1.0,0.8571,0.7825,1064.1/H-3/Harappa; 1293.1/H-268/Harappa; 1296.1/H-272/Harappa; 1398.1/H-383/Harappa; 1436.1/H-446/Harappa
100|<END>,100,<END>,121,22,740,0.6364,0.5125,9,4,12,0.5785,0.7851,0.782,77.1/C-51/Chanhu-daro; 105.1/C-17/Chanhu-daro; 139.1/-/Dholavira; 215.1/-/Harappa; 292.1/H-1032/Harappa
130|<END>,130,<END>,13,11,920,0.2308,0.9639,4,3,3,0.7692,0.6923,0.7816,1991.1/L-12/Lothal; 2171.1/-/Mohenjo-daro; 2250.1/M-1981/Mohenjo-daro; 2544.1/M-16/Mohenjo-daro; 2680.1/M-153/Mohenjo-daro
235|032,235,032,11,9,222-740-031,0.1818,0.9766,3,2,2,1.0,1.0,0.7816,70.1/C-70/Chanhu-daro; 71.1/C-53/Chanhu-daro; 74.1/C-58/Chanhu-daro; 1020.1/H-1657/Harappa; 1182.1/H-141/Harappa
066|<END>,066,<END>,15,13,455,0.2,0.9701,6,5,5,0.6667,0.4667,0.7814,9.1/Ad-4/Allahdino; 321.1/-/Unknown; 338.1/-/Harappa; 2282.1/M-1879/Mohenjo-daro; 2298.1/M-1758/Mohenjo-daro
<START>|365,<START>,365,12,11,495-460,0.1667,0.9881,5,3,5,0.5833,0.8333,0.7798,89.1/C-1/Chanhu-daro; 649.2/H-1823/Harappa; 823.2/H-2130/Harappa; 1091.1/H-31/Harappa; 1574.1/H-659/Harappa
060|590,060,590,10,9,741,0.2,0.9849,6,4,2,1.0,1.0,0.7798,99.1/C-11/Chanhu-daro; 100.1/C-12/Chanhu-daro; 1098.1/H-39/Harappa; 1971.1/-/Kish; 2005.1/L-28/Lothal
240|400,240,400,27,13,636-740,0.2222,0.9134,2,2,4,0.037,0.963,0.7792,406.2/H-1895/Harappa; 410.2/H-1897/Harappa; 512.2/H-1816/Harappa; 569.2/H-1922/Harappa; 635.1/H-1814/Harappa
220|033,220,033,16,10,705,0.375,0.8747,2,2,3,0.9375,0.875,0.7782,653.1/H-1813/Harappa; 1169.1/H-103/Harappa; 1190.1/H-149/Harappa; 1293.1/H-268/Harappa; 2178.1/M-1696/Mohenjo-daro
002|140,002,140,12,10,003,0.1667,0.9788,2,1,4,0.8333,0.8333,0.7775,89.1/C-1/Chanhu-daro; 93.1/C-5/Chanhu-daro; 2255.1/M-1765/Mohenjo-daro; 2310.1/M-1810/Mohenjo-daro; 2536.1/M-7/Mohenjo-daro
<START>|700,<START>,700,415,49,033,0.3205,0.5148,8,5,12,0.0193,0.9325,0.7739,198.2/H-1138/Harappa; 212.1/-/Harappa; 222.3/H-1354/Harappa; 225.2/-/Harappa; 228.2/-/Harappa
<START>|435,<START>,435,59,25,255,0.5085,0.6857,4,4,7,0.4068,0.7627,0.7738,234.2/-/Harappa; 274.1/-/Harappa; 287.2/H-1179/Harappa; 390.2/H-2063/Harappa; 516.2/H-1938/Harappa
220|400,220,400,25,13,740,0.28,0.9046,3,2,4,0.12,0.88,0.7737,220.1/H-1142/Harappa; 237.1/H-1056/Harappa; 258.1/H-1121/Harappa; 311.1/H-1192/Harappa; 653.1/H-1813/Harappa
060|240,060,240,16,9,235,0.25,0.9315,5,4,3,0.9375,0.9375,0.7736,99.1/C-11/Chanhu-daro; 199.1/H-423/Harappa; 939.1/H-1705/Harappa; 1098.1/H-39/Harappa; 1145.1/H-89/Harappa
405|<END>,405,<END>,69,17,002-240-520,0.4203,0.6639,7,3,8,0.3188,0.8261,0.7728,57.1/C-87/Chanhu-daro; 505.1/H-1799/Harappa; 940.1/H-1720/Harappa; 940.1/H-1720/Harappa; 942.1/H-1719/Harappa
031|520,031,520,11,9,350-400,0.1818,0.9766,3,3,2,1.0,0.9091,0.7726,1142.1/H-86/Harappa; 1501.1/H-530/Harappa; 1510.1/H-550/Harappa; 2414.1/M-1910/Mohenjo-daro; 2451.1/M-1801/Mohenjo-daro
031|002,031,002,11,9,861,0.1818,0.9766,4,4,3,1.0,0.9091,0.7726,1474.1/H-486/Harappa; 1986.1/L-4/Lothal; 2231.1/M-1688/Mohenjo-daro; 2231.1/M-1688/Mohenjo-daro; 2854.1/M-358/Mohenjo-daro
<START>|630,<START>,630,12,11,240,0.1667,0.9881,3,3,5,0.5,0.8333,0.7715,189.1/H-1399/Harappa; 405.2/H-2192/Harappa; 593.2/H-1839/Harappa; 1168.2/H-102/Harappa; 1190.1/H-149/Harappa
255|740,255,740,58,16,435-690,0.5345,0.618,8,5,7,0.4655,0.8448,0.7702,115.1/C-33/Chanhu-daro; 291.1/-/Harappa; 516.2/H-1938/Harappa; 570.2/H-1797/Harappa; 597.1/H-2039/Harappa
645|<END>,645,<END>,21,14,590-235-240-740-090,0.3333,0.8828,4,3,7,0.1905,0.9048,0.7702,144.1/-/Dholavira; 848.2/H-2149/Harappa; 999.1/-/Harappa; 1553.1/H-613/Harappa; 1786.2/H-904/Harappa
<START>|845,<START>,845,49,13,806,0.3061,0.7476,3,3,3,0.1633,0.898,0.7702,1173.1/H-132/Harappa; 1554.1/H-639/Harappa; 2040.1/L-86/Lothal; 2187.1/M-2079/Mohenjo-daro; 2189.1/M-1953/Mohenjo-daro
091|<END>,091,<END>,21,12,056-002-417-890-892,0.381,0.8433,8,6,4,0.381,0.8095,0.7698,499.1/H-1862/Harappa; 654.2/H-1863/Harappa; 697.1/H-2000/Harappa; 774.2/H-1861/Harappa; 1264.1/H-239/Harappa
002|176,002,176,10,9,240,0.2,0.9849,4,2,2,1.0,0.9,0.7698,69.1/C-60/Chanhu-daro; 1148.1/H-92/Harappa; 1413.1/H-408/Harappa; 2642.1/M-115/Mohenjo-daro; 2643.1/M-116/Mohenjo-daro
<START>|374,<START>,374,10,10,350-308,0.1,1.0,5,4,2,0.9,0.7,0.7686,44.1/B-28/Banawali; 2594.1/M-66/Mohenjo-daro; 2833.1/M-315/Mohenjo-daro; 3102.1/M-663/Mohenjo-daro; 3104.1/M-665/Mohenjo-daro
500|<END>,500,<END>,10,10,220,0.1,1.0,3,3,3,0.7,0.9,0.7686,293.1/H-1033/Harappa; 1264.1/H-239/Harappa; 1649.1/H-756/Harappa; 2180.1/-/Dholavira; 2655.1/M-128/Mohenjo-daro
824|<END>,824,<END>,10,10,892-413,0.1,1.0,5,4,3,0.9,0.7,0.7686,887.2/H-2085/Harappa; 2045.1/L-91/Lothal; 2828.1/M-309/Mohenjo-daro; 3128.1/M-701/Mohenjo-daro; 3202.1/M-788/Mohenjo-daro
690|<END>,690,<END>,85,24,740,0.5529,0.6009,7,4,9,0.3765,0.7882,0.7684,88.1/C-77/Chanhu-daro; 189.1/H-1399/Harappa; 291.1/-/Harappa; 451.2/H-1843/Harappa; 463.1/H-1827/Harappa
<START>|161,<START>,161,9,9,055,0.1111,1.0,3,2,2,1.0,0.8889,0.7681,85.1/C-63/Chanhu-daro; 775.1/H-1666/Harappa; 1204.1/H-164/Harappa; 1416.1/H-412/Harappa; 2199.1/M-1682/Mohenjo-daro
031|090,031,090,9,9,002-221-740,0.1111,1.0,4,3,2,0.8889,1.0,0.7681,94.1/C-6/Chanhu-daro; 533.1/H-2175/Harappa; 1430.1/H-440/Harappa; 1986.1/L-4/Lothal; 2398.1/M-1883/Mohenjo-daro
861|760,861,760,9,9,002-003-220,0.1111,1.0,3,2,3,0.8889,1.0,0.7681,303.1/H-1043/Harappa; 1908.1/K-40/Kalibangan; 2251.1/M-1704/Mohenjo-daro; 2256.1/M-1753/Mohenjo-daro; 2277.1/M-1990/Mohenjo-daro
060|090,060,090,9,9,705-255-740,0.1111,1.0,4,3,3,0.8889,1.0,0.7681,788.1/H-1840/Harappa; 1891.1/K-16/Kalibangan; 2554.1/M-26/Mohenjo-daro; 2596.1/M-68/Mohenjo-daro; 2817.1/M-297/Mohenjo-daro
002|621,002,621,9,9,003-900-740,0.1111,1.0,2,2,1,1.0,0.8889,0.7681,1119.1/H-60/Harappa; 2220.1/M-1675/Mohenjo-daro; 2268.1/M-1709/Mohenjo-daro; 2409.1/M-1911/Mohenjo-daro; 2681.1/M-154/Mohenjo-daro
861|033,861,033,9,9,002,0.1111,1.0,2,2,3,0.8889,1.0,0.7681,1940.1/K-85/Kalibangan; 2178.1/M-1696/Mohenjo-daro; 2422.1/M-1954/Mohenjo-daro; 2645.1/M-118/Mohenjo-daro; 2851.1/M-355/Mohenjo-daro
<START>|480,<START>,480,20,15,391-595-850,0.25,0.9321,5,3,7,0.3,0.65,0.7659,111.1/C-24/Chanhu-daro; 543.1/-/Harappa; 814.1/H-2134/Harappa; 866.2/H-2133/Harappa; 1049.1/H-1353/Harappa
175|740,175,740,16,11,752,0.1875,0.9483,3,3,4,0.5,0.75,0.7653,494.1/H-741/Harappa; 580.2/H-2006/Harappa; 593.2/H-1839/Harappa; 594.2/H-2022/Harappa; 600.1/H-2005/Harappa
413|<END>,413,<END>,44,17,892-824,0.25,0.8261,4,3,7,0.1136,0.75,0.7652,277.1/H-1184/Harappa; 295.1/H-1187/Harappa; 300.2/-/Harappa; 370.2/H-2016/Harappa; 432.1/H-1820/Harappa
<START>|382,<START>,382,11,11,861-002-031,0.0909,1.0,5,4,5,0.4545,0.8182,0.7648,145.1/Dlv-1/Dholavira; 448.1/H-1967/Harappa; 448.1/H-1967/Harappa; 1307.1/H-285/Harappa; 2561.1/M-33/Mohenjo-daro
002|235,002,235,17,9,803,0.2353,0.9274,3,2,3,0.9412,0.8235,0.7642,92.1/C-4/Chanhu-daro; 402.2/H-2015/Harappa; 1020.1/H-1657/Harappa; 1081.1/H-21/Harappa; 1103.1/H-44/Harappa
921|<END>,921,<END>,11,9,070-760-740,0.1818,0.9766,3,3,3,0.9091,0.9091,0.7635,294.1/H-161/Harappa; 1123.1/H-64/Harappa; 1240.1/H-209/Harappa; 2229.1/M-1737/Mohenjo-daro; 2512.1/M-1826/Mohenjo-daro
171|<END>,171,<END>,20,11,035,0.3,0.8806,3,3,6,0.55,0.75,0.763,375.2/H-1881/Harappa; 405.2/H-2192/Harappa; 492.2/H-2244/Harappa; 1250.1/H-219/Harappa; 1518.1/H-565/Harappa
<START>|645,<START>,645,22,13,104,0.3182,0.8807,4,3,7,0.1364,0.8636,0.7621,144.1/-/Dholavira; 616.1/-/Harappa; 651.2/H-2151/Harappa; 848.2/H-2149/Harappa; 999.1/-/Harappa
<START>|615,<START>,615,58,19,503,0.6207,0.5881,4,4,5,0.3966,0.8966,0.761,152.1/-/Farmana; 741.1/H-1690/Harappa; 1064.1/H-3/Harappa; 1074.1/H-13/Harappa; 1143.1/H-87/Harappa
095|<END>,095,<END>,26,14,520-032-407,0.3462,0.8453,7,4,8,0.2308,0.7692,0.7605,121.1/C-40/Chanhu-daro; 278.1/M-592/Mohenjo-daro; 744.2/H-1993/Harappa; 1252.1/H-225/Harappa; 1575.1/H-660/Harappa
226|<END>,226,<END>,14,11,400,0.2857,0.9354,6,4,6,0.5,0.7857,0.76,111.1/C-24/Chanhu-daro; 317.1/H-1321/Harappa; 815.2/H-2154/Harappa; 1771.1/H-889/Harappa; 2019.1/L-48/Lothal
002|070,002,070,11,9,032,0.2727,0.955,3,3,2,1.0,0.8182,0.7581,1540.1/H-597/Harappa; 1540.2/H-597/Harappa; 2046.1/L-92/Lothal; 2224.1/M-1676/Mohenjo-daro; 2342.1/M-1661/Mohenjo-daro
<START>|035,<START>,035,24,12,171,0.4167,0.8143,5,4,10,0.4583,0.625,0.7577,171.1/H-1502/Harappa; 409.2/H-1942/Harappa; 1046.1/-/Harappa; 1250.1/H-219/Harappa; 1518.1/H-565/Harappa
<START>|921,<START>,921,9,9,233-315,0.1111,1.0,3,3,3,0.8889,0.8889,0.757,294.1/H-161/Harappa; 1123.1/H-64/Harappa; 1240.1/H-209/Harappa; 2229.1/M-1737/Mohenjo-daro; 2762.1/M-239/Mohenjo-daro
<START>|679,<START>,679,9,9,803-240-220,0.1111,1.0,2,2,2,1.0,0.7778,0.757,1094.1/H-35/Harappa; 1423.1/H-421/Harappa; 2176.1/M-1989/Mohenjo-daro; 2176.2/M-1989/Mohenjo-daro; 2196.1/M-1764/Mohenjo-daro
545|<END>,545,<END>,9,9,576-861,0.1111,1.0,2,2,1,1.0,0.7778,0.757,1460.1/H-473/Harappa; 2197.1/M-1685/Mohenjo-daro; 2605.1/M-78/Mohenjo-daro; 2629.1/M-102/Mohenjo-daro; 2659.1/M-132/Mohenjo-daro
002|550,002,550,9,9,233,0.1111,1.0,2,2,3,0.8889,0.8889,0.757,1984.1/L-1/Lothal; 2213.1/M-235/Mohenjo-daro; 2570.1/M-42/Mohenjo-daro; 2577.1/M-49/Mohenjo-daro; 2776.1/M-253/Mohenjo-daro
703|<END>,703,<END>,11,10,615-740,0.1818,0.9867,5,3,4,0.8182,0.6364,0.7546,1143.1/H-87/Harappa; 1889.1/K-14/Kalibangan; 2133.2/L-217/Lothal; 2166.1/-/Mohenjo-daro; 2184.1/M-1794/Mohenjo-daro
820|798,820,798,12,9,002,0.25,0.9534,3,3,4,0.8333,0.9167,0.7545,144.1/-/Dholavira; 656.1/H-2568/Harappa; 1086.1/H-26/Harappa; 2345.1/M-1804/Mohenjo-daro; 2427.1/M-1768/Mohenjo-daro
861|032,861,032,21,10,002,0.5238,0.7481,4,2,5,0.8571,0.9048,0.7532,18.1/-/Bakkar Buthi; 62.1/C-65/Chanhu-daro; 69.1/C-60/Chanhu-daro; 71.1/C-53/Chanhu-daro; 74.1/C-58/Chanhu-daro
335|<END>,335,<END>,39,11,711-033-700,0.2564,0.8787,5,4,7,0.2308,0.6667,0.7514,300.2/-/Harappa; 370.1/H-2016/Harappa; 370.2/H-2016/Harappa; 432.1/H-1820/Harappa; 512.1/H-1816/Harappa
371|<END>,371,<END>,10,9,390,0.2,0.9849,3,3,3,0.9,0.8,0.7498,153.1/-/Farmana; 153.2/-/Farmana; 394.2/H-1987/Harappa; 2271.1/M-1684/Mohenjo-daro; 2291.1/M-1889/Mohenjo-daro
060|032,060,032,8,8,031-592-031,0.125,1.0,4,3,2,1.0,1.0,0.7495,64.1/C-54/Chanhu-daro; 1080.1/H-20/Harappa; 1471.1/H-483/Harappa; 2041.1/L-87/Lothal; 2063.1/L-114/Lothal
260|<END>,260,<END>,8,8,368-002,0.125,1.0,2,2,1,1.0,1.0,0.7495,1543.1/H-600/Harappa; 2366.1/M-1789/Mohenjo-daro; 2431.1/M-1673/Mohenjo-daro; 2454.1/M-1831/Mohenjo-daro; 2475.1/M-1841/Mohenjo-daro
140|002,140,002,8,8,463-762,0.125,1.0,2,2,2,1.0,1.0,0.7495,1893.1/K-18/Kalibangan; 2342.1/M-1661/Mohenjo-daro; 2552.1/M-24/Mohenjo-daro; 2581.1/M-53/Mohenjo-daro; 2636.1/M-109/Mohenjo-daro
<START>|130,<START>,130,15,10,171-035,0.2667,0.9353,5,4,4,0.6667,0.7333,0.7494,1991.1/L-12/Lothal; 2171.1/-/Mohenjo-daro; 2250.1/M-1981/Mohenjo-daro; 2544.1/M-16/Mohenjo-daro; 2680.1/M-153/Mohenjo-daro
630|<END>,630,<END>,36,19,740,0.4722,0.7496,4,3,8,0.3056,0.6667,0.7481,189.1/H-1399/Harappa; 369.2/H-2181/Harappa; 405.2/H-2192/Harappa; 573.2/H-2088/Harappa; 593.2/H-1839/Harappa
880|<END>,880,<END>,9,9,002-175-740,0.1111,1.0,3,2,3,0.8889,0.7778,0.7459,2049.1/L-95/Lothal; 2081.1/L-139/Lothal; 2535.1/M-6/Mohenjo-daro; 2672.1/M-145/Mohenjo-daro; 2749.1/M-225/Mohenjo-daro
<START>|554,<START>,554,11,10,820-002,0.1818,0.9867,5,3,5,0.7273,0.6364,0.7455,22.1/Blk-4/Bala-kot; 523.1/H-2345/Harappa; 682.2/H-1146/Harappa; 1174.1/H-133/Harappa; 1587.1/H-680/Harappa
<START>|063,<START>,063,11,10,315,0.1818,0.9867,4,3,5,0.7273,0.6364,0.7455,119.1/C-38/Chanhu-daro; 541.1/-/Harappa; 1065.1/H-4/Harappa; 1191.1/H-150/Harappa; 2042.1/L-88/Lothal
384|<END>,384,<END>,30,12,740,0.6,0.6522,7,5,8,0.5333,0.7333,0.7452,112.1/C-29/Chanhu-daro; 244.1/-/Harappa; 422.2/H-1943/Harappa; 1066.1/H-5/Harappa; 1181.1/H-140/Harappa
<START>|752,<START>,752,49,17,503-615,0.5918,0.6123,2,2,4,0.1837,0.9388,0.7424,580.2/H-2006/Harappa; 594.2/H-2022/Harappa; 600.1/H-2005/Harappa; 601.1/H-2021/Harappa; 601.2/H-2021/Harappa
760|<END>,760,<END>,128,14,740,0.7891,0.3452,10,5,11,0.6406,0.6953,0.7399,126.1/-/Dholavira; 150.1/-/Farmana; 266.1/H-1158/Harappa; 294.1/H-161/Harappa; 303.1/H-1043/Harappa
<START>|171,<START>,171,11,9,061,0.2727,0.955,2,2,2,0.9091,0.7273,0.7399,514.1/H-2048/Harappa; 1518.1/H-565/Harappa; 2329.1/M-1822/Mohenjo-daro; 2398.1/M-1883/Mohenjo-daro; 2788.1/M-265/Mohenjo-daro
820|100,820,100,10,9,032-017-904-415,0.2,0.9849,2,2,3,0.8,0.8,0.7398,2464.1/M-595/Mohenjo-daro; 2853.1/M-357/Mohenjo-daro; 2871.1/M-375/Mohenjo-daro; 2975.3/M-494/Mohenjo-daro; 2976.3/M-495/Mohenjo-daro
<START>|812,<START>,812,9,8,033,0.2222,0.9826,4,3,2,1.0,0.8889,0.7388,1171.1/H-130/Harappa; 1557.1/H-642/Harappa; 1984.1/L-1/Lothal; 2660.1/M-133/Mohenjo-daro; 2837.1/M-319/Mohenjo-daro
<START>|034,<START>,034,31,17,700,0.4516,0.7756,3,2,8,0.0968,0.7742,0.7379,200.1/H-1400/Harappa; 213.1/H-1369/Harappa; 396.1/H-1877/Harappa; 434.1/H-2570/Harappa; 468.1/H-1876/Harappa
510|<END>,510,<END>,13,9,460-740,0.3077,0.9247,5,4,4,0.7692,0.8462,0.7372,10.1/Ad-5/Allahdino; 194.1/H-1082/Harappa; 1203.1/H-162/Harappa; 1596.1/H-690/Harappa; 2139.1/L-223/Lothal
<START>|222,<START>,222,13,9,235-233,0.3077,0.9247,4,2,2,0.6154,1.0,0.7372,71.1/C-53/Chanhu-daro; 74.1/C-58/Chanhu-daro; 2240.1/M-1674/Mohenjo-daro; 2335.1/M-1671/Mohenjo-daro; 2609.1/M-82/Mohenjo-daro
798|520,798,520,8,8,240-705-033,0.125,1.0,4,3,2,1.0,0.875,0.737,95.1/C-7/Chanhu-daro; 199.1/H-423/Harappa; 1103.1/H-44/Harappa; 1575.1/H-660/Harappa; 2389.1/M-1681/Mohenjo-daro
374|<END>,374,<END>,8,8,892,0.125,1.0,3,2,1,1.0,0.875,0.737,2556.1/M-28/Mohenjo-daro; 2594.1/M-66/Mohenjo-daro; 2833.1/M-315/Mohenjo-daro; 3077.1/M-626/Mohenjo-daro; 3411.1/M-1029/Mohenjo-daro
032|031,032,031,11,10,001-904,0.1818,0.9867,5,3,3,0.6364,0.6364,0.7365,72.1/C-76/Chanhu-daro; 112.1/C-29/Chanhu-daro; 112.1/C-29/Chanhu-daro; 116.1/C-34/Chanhu-daro; 228.1/-/Harappa
240|760,240,760,9,9,033-033,0.1111,1.0,3,3,4,0.8889,0.6667,0.7348,731.1/H-1670/Harappa; 934.1/H-1707/Harappa; 1537.1/H-593/Harappa; 2129.3/L-211/Lothal; 2224.1/M-1676/Mohenjo-daro
416|740,416,740,12,9,220-760,0.1667,0.9732,4,3,2,0.6667,0.8333,0.7344,130.1/-/Dholavira; 311.1/H-1192/Harappa; 1324.2/H-302/Harappa; 1447.1/H-457/Harappa; 1793.1/H-912/Harappa
740|407,740,407,12,8,001-004,0.1667,0.9728,3,2,3,0.9167,0.8333,0.7343,1173.1/H-132/Harappa; 1227.1/H-196/Harappa; 1422.1/H-420/Harappa; 1574.1/H-659/Harappa; 2483.1/M-1965/Mohenjo-daro
032|390,032,390,18,10,590,0.3889,0.8597,5,4,5,0.7222,0.6111,0.7316,111.1/C-24/Chanhu-daro; 111.1/C-24/Chanhu-daro; 116.1/C-34/Chanhu-daro; 1540.1/H-597/Harappa; 1540.2/H-597/Harappa
817|760,817,760,11,9,002-032,0.2727,0.955,2,2,2,0.7273,0.8182,0.7308,1074.1/H-13/Harappa; 2272.1/M-1717/Mohenjo-daro; 2296.1/M-1711/Mohenjo-daro; 2457.1/M-1752/Mohenjo-daro; 2723.1/M-198/Mohenjo-daro
861|220,861,220,19,8,002-032,0.3684,0.8607,5,3,4,0.8947,0.8947,0.7298,62.1/C-65/Chanhu-daro; 130.1/-/Dholavira; 303.1/H-1043/Harappa; 1170.1/H-129/Harappa; 1175.1/H-134/Harappa
<START>|632,<START>,632,14,9,032,0.3571,0.8944,5,3,3,0.8571,0.7143,0.7284,1396.1/H-380/Harappa; 1397.1/H-381/Harappa; 1399.1/H-385/Harappa; 1560.1/H-645/Harappa; 1562.1/H-647/Harappa
840|740,840,740,52,11,032,0.6731,0.5164,6,4,5,0.5769,0.8654,0.7281,82.1/C-57/Chanhu-daro; 112.1/C-29/Chanhu-daro; 222.2/H-1354/Harappa; 407.3/H-2213/Harappa; 484.3/H-2246/Harappa
<START>|335,<START>,335,38,16,413-575,0.5526,0.6788,6,4,6,0.2105,0.7105,0.7277,300.2/-/Harappa; 370.1/H-2016/Harappa; 370.2/H-2016/Harappa; 432.1/H-1820/Harappa; 512.1/H-1816/Harappa
031|400,031,400,15,9,350,0.2667,0.9222,5,3,5,0.5333,0.9333,0.7277,103.1/C-15/Chanhu-daro; 143.1/-/Dholavira; 1323.2/H-301/Harappa; 1346.1/H-324/Harappa; 1387.1/H-368/Harappa
002|226,002,226,9,8,032,0.2222,0.9826,2,1,2,1.0,0.7778,0.7277,19.1/Blk-1/Bala-kot; 2585.1/M-57/Mohenjo-daro; 2598.1/M-70/Mohenjo-daro; 2674.1/M-147/Mohenjo-daro; 2863.1/M-367/Mohenjo-daro
125|740,125,740,9,8,590-390,0.2222,0.9826,4,3,2,0.8889,0.8889,0.7277,1109.1/H-50/Harappa; 1111.1/H-52/Harappa; 2471.1/M-1903/Mohenjo-daro; 2838.1/M-320/Mohenjo-daro; 3159.1/M-735/Mohenjo-daro
001|520,001,520,9,8,235-220,0.2222,0.9826,2,2,1,1.0,0.7778,0.7277,2236.1/M-1677/Mohenjo-daro; 2414.1/M-1910/Mohenjo-daro; 2551.1/M-23/Mohenjo-daro; 2593.1/M-65/Mohenjo-daro; 2757.1/M-234/Mohenjo-daro
<START>|526,<START>,526,13,9,235-555,0.1538,0.9732,5,3,3,0.3846,1.0,0.7263,80.1/C-61/Chanhu-daro; 472.1/H-2084/Harappa; 682.2/H-1146/Harappa; 945.2/H-2142/Harappa; 1364.1/H-344/Harappa
861|240,861,240,27,10,002,0.5926,0.6732,5,4,4,0.7037,0.8519,0.7247,62.1/C-65/Chanhu-daro; 729.2/H-2010/Harappa; 937.2/H-2011/Harappa; 941.1/H-1721/Harappa; 1110.1/H-51/Harappa
<START>|232,<START>,232,8,8,920-060-001-240,0.125,1.0,3,2,2,0.875,0.875,0.7245,99.1/C-11/Chanhu-daro; 1063.1/H-2/Harappa; 1145.1/H-89/Harappa; 1685.1/H-794/Harappa; 2524.1/M-1703/Mohenjo-daro
