Frame,Left,Right,Count,DistinctFillers,TopFiller,TopFillerShare,FillerEntropy,SiteCount,RegionCount,TypeCount,SealPct,CompletePct,NameSlotScore,Examples
350|<END>,350,<END>,40,31,504,0.1,0.9657,10,6,8,0.8,0.775,0.8671,19.1/Blk-1/Bala-kot; 44.1/B-28/Banawali; 110.1/C-23/Chanhu-daro; 143.1/-/Dholavira; 148.1/-/Failaka
032|002,032,002,19,17,125-610,0.1053,0.9878,4,3,2,0.9474,0.8947,0.8668,293.1/H-1033/Harappa; 513.1/H-1671/Harappa; 1132.1/H-74/Harappa; 1296.1/H-272/Harappa; 1445.1/H-455/Harappa
390|740,390,740,24,24,100,0.0417,1.0,6,4,4,0.7917,0.9167,0.8666,578.2/H-2197/Harappa; 744.2/H-1993/Harappa; 1127.1/H-68/Harappa; 1439.1/H-449/Harappa; 1665.1/H-773/Harappa
<START>|900,<START>,900,82,54,806-845-061-407-850,0.1707,0.9087,8,4,9,0.5732,0.8171,0.8663,42.1/B-24/Banawali; 121.2/C-40/Chanhu-daro; 180.1/M-584/Mohenjo-daro; 246.1/H-1045/Harappa; 319.1/H-1077/Harappa
692|740,692,740,37,28,060-240-603,0.0811,0.9782,4,3,5,0.6486,0.9189,0.866,67.1/C-75/Chanhu-daro; 198.1/H-1138/Harappa; 424.2/H-1845/Harappa; 664.1/H-1975/Harappa; 686.2/H-1846/Harappa
<START>|060,<START>,060,212,53,920,0.3019,0.6423,17,8,13,0.783,0.8349,0.8651,40.1/B-21/Banawali; 64.1/C-54/Chanhu-daro; 66.1/C-69/Chanhu-daro; 67.1/C-75/Chanhu-daro; 83.1/C-62/Chanhu-daro
032|<END>,032,<END>,440,198,700,0.2273,0.7845,18,6,19,0.4045,0.7841,0.865,18.1/-/Bakkar Buthi; 62.1/C-65/Chanhu-daro; 64.1/C-54/Chanhu-daro; 69.1/C-60/Chanhu-daro; 72.1/C-76/Chanhu-daro
<START>|255,<START>,255,73,50,803-415-220-318-920,0.1507,0.9327,7,5,9,0.5616,0.8082,0.865,291.1/-/Harappa; 304.2/H-1190/Harappa; 319.1/H-1077/Harappa; 510.2/H-1916/Harappa; 570.2/H-1797/Harappa
706|<END>,706,<END>,86,47,033-520,0.186,0.879,6,3,9,0.6163,0.814,0.865,119.1/C-38/Chanhu-daro; 138.1/-/Dholavira; 322.1/H-1027/Harappa; 390.1/H-2063/Harappa; 591.1/M-1659/Mohenjo-daro
590|<END>,590,<END>,190,69,390-740,0.2632,0.7874,13,7,10,0.5105,0.7895,0.8647,6.1/Ad-1/Allahdino; 90.1/C-2/Chanhu-daro; 100.1/C-12/Chanhu-daro; 139.1/-/Dholavira; 193.1/H-1083/Harappa
900|740,900,740,17,17,031-235-240-835,0.0588,1.0,5,3,4,0.8824,0.9412,0.8632,121.2/C-40/Chanhu-daro; 1020.1/H-1657/Harappa; 1440.1/H-450/Harappa; 1459.1/H-472/Harappa; 1461.1/H-474/Harappa
861|520,861,520,17,17,002-049-233,0.0588,1.0,5,3,4,0.8824,0.9412,0.8632,1004.1/H-1966/Harappa; 1594.1/H-688/Harappa; 1940.1/K-85/Kalibangan; 2012.1/L-39/Lothal; 2178.1/M-1696/Mohenjo-daro
<START>|621,<START>,621,17,17,820-002-003-900-740,0.0588,1.0,3,3,1,1.0,0.8235,0.8632,1119.1/H-60/Harappa; 2220.1/M-1675/Mohenjo-daro; 2268.1/M-1709/Mohenjo-daro; 2409.1/M-1911/Mohenjo-daro; 2681.1/M-154/Mohenjo-daro
368|740,368,740,19,18,235-590-390,0.1053,0.9935,5,4,2,0.8947,0.8947,0.863,27.1/B-1/Banawali; 1099.1/H-40/Harappa; 1458.1/H-471/Harappa; 1599.1/H-694/Harappa; 1600.1/H-695/Harappa
002|032,002,032,38,31,840,0.1316,0.9658,8,3,8,0.7895,0.7632,0.8626,18.1/-/Bakkar Buthi; 71.1/C-53/Chanhu-daro; 74.1/C-58/Chanhu-daro; 82.1/C-57/Chanhu-daro; 1171.1/H-130/Harappa
002|233,002,233,31,23,803,0.1613,0.95,5,3,5,0.871,0.8065,0.8622,87.1/C-67/Chanhu-daro; 1004.1/H-1966/Harappa; 1081.1/H-21/Harappa; 1082.1/H-22/Harappa; 1172.1/H-131/Harappa
741|520,741,520,15,15,803-240-233,0.0667,1.0,4,4,1,1.0,0.8667,0.8622,1880.1/K-5/Kalibangan; 2265.1/M-888/Mohenjo-daro; 2312.1/M-1900/Mohenjo-daro; 2403.1/M-1690/Mohenjo-daro; 2451.1/M-1801/Mohenjo-daro
231|740,231,740,37,25,798,0.1081,0.9617,6,4,6,0.6486,0.9189,0.8619,397.2/H-2141/Harappa; 418.2/H-2140/Harappa; 578.2/H-2197/Harappa; 939.1/H-1705/Harappa; 1086.1/H-26/Harappa
061|<END>,061,<END>,87,25,740,0.1954,0.8283,9,5,7,0.6207,0.8966,0.8615,20.1/Blk-2/Bala-kot; 32.1/B-8/Banawali; 382.2/H-1894/Harappa; 411.2/H-1865/Harappa; 513.1/H-1671/Harappa
<START>|840,<START>,840,85,56,013,0.1412,0.9278,11,6,11,0.4941,0.7765,0.8607,11.1/Ad-6/Allahdino; 18.1/-/Bakkar Buthi; 82.1/C-57/Chanhu-daro; 112.1/C-29/Chanhu-daro; 222.2/H-1354/Harappa
740|740,740,740,20,18,335,0.1,0.9885,4,3,3,0.85,0.9,0.86,370.1/H-2016/Harappa; 1700.1/H-811/Harappa; 2182.1/M-1792/Mohenjo-daro; 2182.1/M-1792/Mohenjo-daro; 2182.1/M-1792/Mohenjo-daro
803|033,803,033,15,14,705,0.1333,0.9911,3,3,2,0.9333,0.9333,0.86,322.1/H-1027/Harappa; 1103.1/H-44/Harappa; 1293.1/H-268/Harappa; 2572.1/M-44/Mohenjo-daro; 2644.1/M-117/Mohenjo-daro
033|740,033,740,65,38,923,0.2154,0.8869,6,4,7,0.6308,0.8462,0.8591,8.1/Ad-3/Allahdino; 596.2/H-2139/Harappa; 668.1/H-1672/Harappa; 718.1/-/Harappa; 731.1/H-1670/Harappa
002|527,002,527,19,17,550,0.1579,0.978,3,3,3,0.8947,0.8947,0.8591,1081.1/H-21/Harappa; 1449.1/H-459/Harappa; 1551.1/H-611/Harappa; 1984.1/L-1/Lothal; 2017.1/L-46/Lothal
820|240,820,240,21,14,002,0.2381,0.9334,6,4,4,0.9524,0.9048,0.859,1086.1/H-26/Harappa; 1258.1/H-231/Harappa; 1297.1/H-273/Harappa; 1415.1/H-411/Harappa; 1564.1/H-649/Harappa
415|<END>,415,<END>,144,62,220-520,0.1944,0.8115,13,7,11,0.5417,0.7639,0.8588,16.1/Alt-90/Altyn Depe; 83.1/C-62/Chanhu-daro; 221.1/H-1326/Harappa; 222.1/H-1354/Harappa; 322.1/H-1027/Harappa
