StructuralTemplate,Count
PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,8
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,8
SLOT_INITIAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,8
SIGN SIGN SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,7
SIGN SIGN SLOT_INITIAL_MODIFIER SIGN,7
SLOT_INITIAL_MODIFIER SIGN SIGN,7
SLOT_INITIAL_MODIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,7
SIGN SIGN SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,7
SIGN SIGN SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,7
LEADING_FORMULA_MARKER SIGN SIGN SIGN,7
LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,7
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER SIGN SIGN SIGN,7
TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,6
SLOT_FINAL_MODIFIER SLOT_INITIAL_MODIFIER SIGN,6
SLOT_FINAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,6
SLOT_FINAL_MODIFIER SIGN SIGN SIGN,6
SIGN INITIAL_TITLE_OR_CLASSIFIER,6
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,6
SLOT_FINAL_MODIFIER SLOT_FINAL_MODIFIER,6
SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,6
SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,6
SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,6
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,6
SIGN SIGN LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,5
SLOT_FINAL_MODIFIER SLOT_FINAL_MODIFIER SIGN,5
SLOT_INITIAL_MODIFIER LEADING_FORMULA_MARKER,5
SIGN SLOT_FINAL_MODIFIER SIGN SIGN,5
SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,5
SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,5
SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,5
SLOT_INITIAL_MODIFIER SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,5
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,5
SLOT_INITIAL_MODIFIER SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,5
TERMINAL_TITLE_OR_SUFFIX SIGN,5
LEADING_FORMULA_MARKER SIGN SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,4
SIGN SIGN SIGN SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,4
LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,4
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,4
SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,4
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SIGN SIGN,4
SIGN SIGN SLOT_INITIAL_MODIFIER,4
SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER,4
LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER,4
