"SignA","SignB","ReviewTier","VisualClass","DistributionalSimilarity","PositionalSimilarity","GeographicSeparation","ChronologySeparation","ChronologyCoverage","AllographScore","RegionalAllographyScore","ChronologicalLayeringScore","ModifierScore","FunctionalClusterScore","TopHypothesis","RecommendedNextStep"
"110","698","Sparse","Unreviewed","0.914991","0.75","0.23752","1","0.75","0.610811","0.044078","0.514682","0.166202","0.574729","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"110","515","Sparse","Unreviewed","0.9","0.75","0.674989","0.679455","0.7083","0.607215","0.128225","0.324849","0.164929","0.565313","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"540","777","Sparse","Unreviewed","0.900765","0.82145","0.267852","0.609987","0.5517","0.600033","0.022333","0.24901","0.154221","0.619694","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"110","749","Sparse","Unreviewed","0.917663","0.8","1","0","0.5","0.583682","0","0","0.153237","0.614834","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"110","540","Sparse","Unreviewed","0.90007","0.75","0.396843","0.529143","0.7143","0.583119","0.032316","0.255147","0.158907","0.565356","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"749","942","Sparse","Unreviewed","0.90844","0.7375","0.051899","0","0.1875","0.564829","0","0","0.156106","0.561104","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"705","706","Tier1","StrongBaseFamily","0.953396","0.88175","0.058832","0.129494","0.3988","0.936403","0.043614","0.043413","0.740868","0.29423","ModifierOrVariantCandidate","Prioritize artifact-image review and test whether the added stroke changes context."
"817","820","Tier1","ModerateEnclosedFamily","0.956926","0.8598","0.070727","0.120357","0.4968","0.849517","0.053204","0.049196","0.489326","0.475147","VisualFunctionalFamily","Keep distinct for now; test whether related shapes mark the same syntactic family."
"817","861","Tier1","ModerateEnclosedFamily","0.96502","0.723","0.033165","0.088996","0.5254","0.818658","0.021235","0.032624","0.514254","0.402927","VisualFunctionalFamily","Keep distinct for now; test whether related shapes mark the same syntactic family."
"692","920","Tier1","WeakVisualMatch","0.95317","0.7777","0.064155","0.111398","0.5043","0.705467","0.044365","0.041644","0.116165","0.669005","FunctionalClusterNotAllograph","Use as a control: high distributional similarity without visual equivalence."
"090","565","Tier2","Unreviewed","0.953096","0.9388","0.157385","0.214498","0.5571","0.739074","0.101665","0.106922","0.175621","0.749367","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"526","527","Tier2","Unreviewed","0.982841","0.8723","0.295934","1","0.4737","0.719671","0.160857","0.406118","0.179826","0.718016","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"400","565","Tier2","Unreviewed","0.950984","0.80555","0.206747","0.371607","0.6983","0.680863","0.088833","0.198789","0.177672","0.64158","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"151","520","Tier3","Unreviewed","0.910987","0.97115","0.054528","0.147989","0.5012","0.759029","0.043384","0.06562","0.175513","0.74094","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"176","927","Tier3","Unreviewed","0.94012","0.91765","0.295733","0.551337","0.5702","0.741927","0.205757","0.271209","0.178653","0.722512","RegionalAllographyTest","Test whether the pair separates by site or region while retaining syntactic behavior."
"820","861","Tier3","Unreviewed","0.924203","0.8632","0.048761","0.095654","0.531","0.74183","0.036322","0.040521","0.185038","0.668134","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"176","630","Tier3","Unreviewed","0.918785","0.88795","0.094457","0.220945","0.5681","0.74017","0.068897","0.102403","0.181393","0.683262","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
"630","792","Tier3","Unreviewed","0.91097","0.9661","0.102098","0.533886","0.5849","0.736641","0.068156","0.274825","0.170547","0.737074","ChronologicalLayeringTest","Audit period/phase metadata and test temporal split."
"090","400","Tier3","Unreviewed","0.949789","0.86675","0.184769","0.223222","0.6542","0.729995","0.120044","0.120218","0.182275","0.689455","FunctionalCluster","Treat as a syntactic/functional class until visual evidence is reviewed."
