TextId,CISI,Site,Type,ReadingTokens,AbstractSigns,SemanticFrame,ControlledSentenceGloss,StructuralParse,SlotFillers,ReconstructionConfidence,PhoneticReadiness,PhoneticTest
2851.1,M-355,Mohenjo-daro,SEAL:R,140-919-520-360-861-002-235-231-705-033-032-877-740,M07-R145-T02-R126-C02-A01-M01-R21-A13-A11-A07-R81-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_520)[140-919] | 520:TERMINAL_TITLE_OR_SUFFIX | 360:SIGN | NAME_LIKE_BLOCK[861-002-235] | 231:SIGN | 705:SLOT_INITIAL_MODIFIER | 033:SLOT_FINAL_MODIFIER | 032:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(032_740)[877] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|520:140-919@1-2; 032|740:877@12-12,0.77,High,"compare all artifacts in frames 032|740, <START>|520; inspect minimal alternation(s) involving 877"
3485.1,M-1114,Mohenjo-daro,SEAL:S,920-060-741-002-140-740,M04-A06-A03-A01-M07-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_741)[920-060] | 741:SLOT_INITIAL_MODIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[140] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|741:920-060@1-2; 002|740:140@5-5,0.75,High,"compare all artifacts in frames 002|740, <START>|741; test reused filler(s) 140, 920-060 across frames; inspect minimal alternation(s) involving 140"
4232.1,-,Dholavira,SEAL:S,235-520,M01-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520],<START>|520:235@1-1; 235|<END>:520@2-2,0.74,High,"compare all artifacts in frames 235|<END>, <START>|520; test reused filler(s) 235, 520 across frames; inspect minimal alternation(s) involving 235, 520"
5421.1,-,Kanmer,SEAL:S,031-520,M03-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520],<START>|520:031@1-1; 031|<END>:520@2-2,0.74,High,"compare all artifacts in frames 031|<END>, <START>|520; test reused filler(s) 031, 520 across frames; inspect minimal alternation(s) involving 031, 520"
1189.1,H-148,Harappa,SEAL:R,235-240-520,M01-A02-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-520],<START>|240:235@1-1; 235|<END>:240-520@2-3,0.74,High,"compare all artifacts in frames 235|<END>, <START>|240; test reused filler(s) 235, 240-520 across frames; inspect minimal alternation(s) involving 235, 240-520"
1430.1,H-440,Harappa,SEAL:S,031-240-740-090,M03-A02-T01-A10,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[031] | PRODUCTIVE_SLOT(031_<END>)[240-740-090],<START>|240:031@1-1; 031|<END>:240-740-090@2-4,0.74,High,"compare all artifacts in frames 031|<END>, <START>|240; test reused filler(s) 031, 240-740-090 across frames; inspect minimal alternation(s) involving 031, 240-740-090"
2013.1,L-41,Lothal,SEAL:S,817-002-233-740-090,C03-A01-A04-T01-A10,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRIME_ENTITY_SLOT(002_740)[233] | PRODUCTIVE_SLOT(233_<END>)[740-090],<START>|233:817-002@1-2; 002|740:233@3-3; 233|<END>:740-090@4-5,0.74,High,"compare all artifacts in frames 002|740, 233|<END>, <START>|233; test reused filler(s) 233, 817-002 across frames; inspect minimal alternation(s) involving 233, 740-090, 817-002"
3122.1,M-686,Mohenjo-daro,SEAL,806-235-520,M06-M01-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[806-235] | PRODUCTIVE_SLOT(235_<END>)[520],<START>|520:806-235@1-2; 235|<END>:520@3-3,0.74,High,"compare all artifacts in frames 235|<END>, <START>|520; test reused filler(s) 520 across frames; inspect minimal alternation(s) involving 520, 806-235"
3134.1,M-708,Mohenjo-daro,SEAL:S,140-390-002-061-740,M07-M02-A01-R29-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[061] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|390:140@1-1; 002|740:061@4-4,0.74,High,"compare all artifacts in frames 002|740, <START>|390; test reused filler(s) 140 across frames; inspect minimal alternation(s) involving 061, 140"
5269.1,Rhd-1,Rahman-deri,SEAL,031-520,M03-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[031] | PRODUCTIVE_SLOT(031_<END>)[520],<START>|520:031@1-1; 031|<END>:520@2-2,0.74,High,"compare all artifacts in frames 031|<END>, <START>|520; test reused filler(s) 031, 520 across frames; inspect minimal alternation(s) involving 031, 520"
71.1,C-53,Chanhu-daro,SEAL:S,861-002-235-222-740-031-032,C02-A01-M01-R31-T01-M03-A07,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],002|740:235-222@3-4; 031|<END>:032@7-7,0.71,High,"compare all artifacts in frames 002|740, 031|<END>; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
74.1,C-58,Chanhu-daro,SEAL:S,861-002-235-222-740-031-032,C02-A01-M01-R31-T01-M03-A07,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],002|740:235-222@3-4; 031|<END>:032@7-7,0.71,High,"compare all artifacts in frames 002|740, 031|<END>; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
70.1,C-70,Chanhu-daro,SEAL:S,235-240-740-151-031-032,M01-A02-T01-T05-M03-A07,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-151-031-032],<START>|240:235@1-1; 235|<END>:240-740-151-031-032@2-6,0.71,High,"compare all artifacts in frames 235|<END>, <START>|240; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
2017.1,L-46,Lothal,SEAL:S,392-861-002-176-740-233-388-527,R213-C02-A01-R02-T01-A04-R33-T04,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,392:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[388-527],002|740:176@4-4; 233|<END>:388-527@7-8,0.71,High,"compare all artifacts in frames 002|740, 233|<END>; test reused filler(s) 176 across frames; inspect minimal alternation(s) involving 176"
3561.1,M-1226,Mohenjo-daro,SEAL:S,817-002-233-235-705-033-520,C03-A01-A04-M01-A13-A11-T02,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRODUCTIVE_SLOT(002_<END>)[233-235-705-033-520],<START>|233:817-002@1-2; 002|<END>:233-235-705-033-520@3-7,0.71,High,"compare all artifacts in frames 002|<END>, <START>|233; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 817-002"
3650.1,M-1346,Mohenjo-daro,SEAL:R,820-002-803-233-032-861-740,C01-A01-A12-A04-A07-C02-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,820:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[803-233-032-861] | PRODUCTIVE_SLOT(861_<END>)[740],002|740:803-233-032-861@3-6; 861|<END>:740@7-7,0.71,High,"compare all artifacts in frames 002|740, 861|<END>; test reused filler(s) 740 across frames; inspect minimal alternation(s) involving 740"
2212.1,M-165,Mohenjo-daro,SEAL:S,032-390-741-001-760-740-194-740-817,A07-M02-A03-A05-A16-T01-R177-T01-C03,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_390)[032] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[760-740-194-740-817],<START>|390:032@1-1; 001|<END>:760-740-194-740-817@5-9,0.71,High,"compare all artifacts in frames 001|<END>, <START>|390; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
2389.1,M-1681,Mohenjo-daro,SEAL:S,832-861-002-798-740-233-072-520,R42-C02-A01-A14-T01-A04-R83-T02,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,832:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[798] | 740:TERMINAL_TITLE_OR_SUFFIX | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[072-520],002|740:798@4-4; 233|<END>:072-520@7-8,0.71,High,"compare all artifacts in frames 002|740, 233|<END>; test reused filler(s) 798 across frames; inspect minimal alternation(s) involving 798"
2294.1,M-1917,Mohenjo-daro,SEAL:S,235-233-555-527-400,M01-A04-R40-T04-T03,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-555-527-400],<START>|233:235@1-1; 235|<END>:233-555-527-400@2-5,0.71,High,"compare all artifacts in frames 235|<END>, <START>|233; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
2769.1,M-246,Mohenjo-daro,SEAL:S,817-002-233-235-503-740,C03-A01-A04-M01-R39-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRIME_ENTITY_SLOT(002_740)[233-235-503] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|233:817-002@1-2; 002|740:233-235-503@3-5,0.71,High,"compare all artifacts in frames 002|740, <START>|233; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 817-002"
2579.1,M-51,Mohenjo-daro,SEAL:S,140-390-741-235-350-460-798-740,M07-M02-A03-M01-R11-R91-A14-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[235-350-460-798-740],<START>|390:140@1-1; 741|<END>:235-350-460-798-740@4-8,0.71,High,"compare all artifacts in frames 741|<END>, <START>|390; test reused filler(s) 140 across frames; inspect minimal alternation(s) involving 140"
3096.1,M-653,Mohenjo-daro,SEAL:S,861-002-235-740-679,C02-A01-M01-T01-R35,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235] | PRODUCTIVE_SLOT(235_<END>)[740-679],002|740:235@3-3; 235|<END>:740-679@4-5,0.71,High,"compare all artifacts in frames 002|740, 235|<END>; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
2536.1,M-7,Mohenjo-daro,SEAL:S,861-002-240-923-101-740-140-845-407,C02-A01-A02-R26-R106-T01-M07-R62-R12,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-923-101] | 740:TERMINAL_TITLE_OR_SUFFIX | 140:LEADING_FORMULA_MARKER | 845:SIGN | 407:SIGN,<START>|240:861-002@1-2; 002|740:240-923-101@3-5,0.71,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 861-002 across frames; inspect minimal alternation(s) involving 861-002"
3276.1,M-865,Mohenjo-daro,SEAL:S,820-001-235-240-740-090,C01-A05-M01-A02-T01-A10,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[235-240-740-090],<START>|001:820@1-1; 001|<END>:235-240-740-090@3-6,0.71,High,"compare all artifacts in frames 001|<END>, <START>|001; test reused filler(s) 820 across frames; inspect minimal alternation(s) involving 820"
3361.1,M-968,Mohenjo-daro,SEAL:S,590-390-741-923-740,A08-M02-A03-R26-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[923-740],<START>|390:590@1-1; 741|<END>:923-740@4-5,0.71,High,"compare all artifacts in frames 741|<END>, <START>|390; test reused filler(s) 590, 923-740 across frames; inspect minimal alternation(s) involving 590"
3876.1,Sktd-2,Surkotada,SEAL:S,740-803-390-060-740,T01-A12-M02-A06-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_390)[740-803] | 390:CLOSING_FORMULA_MARKER | 060:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(060_<END>)[740],<START>|390:740-803@1-2; 060|<END>:740@5-5,0.71,High,"compare all artifacts in frames 060|<END>, <START>|390; test reused filler(s) 740 across frames; inspect minimal alternation(s) involving 740"
1891.1,K-16,Kalibangan,SEAL:S,820-060-240-740-090,C01-A06-A02-T01-A10,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_240)[820-060] | PRODUCTIVE_SLOT(060_<END>)[240-740-090],<START>|240:820-060@1-2; 060|<END>:240-740-090@3-5,0.7,High,"compare all artifacts in frames 060|<END>, <START>|240; test reused filler(s) 240-740-090 across frames; inspect minimal alternation(s) involving 240-740-090, 820-060"
2060.1,L-111,Lothal,SEAL:R,235-240-904-740,M01-A02-R19-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-904-740],<START>|240:235@1-1; 235|<END>:240-904-740@2-4,0.7,High,"compare all artifacts in frames 235|<END>, <START>|240; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235, 240-904-740"
2671.1,M-144,Mohenjo-daro,SEAL:S,817-002-240-415-100-740,C03-A01-A02-R13-A15-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-415-100] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|240:817-002@1-2; 002|740:240-415-100@3-5,0.7,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 240-415-100, 817-002"
2283.1,M-1746,Mohenjo-daro,SEAL:S,817-002-240-415-100-740-090,C03-A01-A02-R13-A15-T01-A10,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-415-100] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER,<START>|240:817-002@1-2; 002|740:240-415-100@3-5,0.7,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 240-415-100, 817-002"
2724.1,M-199,Mohenjo-daro,SEAL:S,861-002-240-415-100-740-090,C02-A01-A02-R13-A15-T01-A10,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-415-100] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER,<START>|240:861-002@1-2; 002|740:240-415-100@3-5,0.7,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 861-002 across frames; inspect minimal alternation(s) involving 240-415-100, 861-002"
2809.1,M-289,Mohenjo-daro,SEAL:S,817-002-240-176-740,C03-A01-A02-R02-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-176] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|240:817-002@1-2; 002|740:240-176@3-4,0.7,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 240-176, 817-002"
2838.1,M-320,Mohenjo-daro,SEAL:S,125-390-741-176-740,R05-M02-A03-R02-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_390)[125] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[176-740],<START>|390:125@1-1; 741|<END>:176-740@4-5,0.7,High,"compare all artifacts in frames 741|<END>, <START>|390; test reused filler(s) 176-740 across frames; inspect minimal alternation(s) involving 125, 176-740"
1564.1,H-649,Harappa,SEAL:R,820-002-806-240-233-705-033-520,C01-A01-M06-A02-A04-A13-A11-T02,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_240)[820-002-806] | 240:SLOT_INITIAL_MODIFIER | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[705-033-520],<START>|240:820-002-806@1-3; 233|<END>:705-033-520@6-8,0.68,Medium,"compare all artifacts in frames 233|<END>, <START>|240; test reused filler(s) 705-033-520 across frames"
1923.1,K-62,Kalibangan,SEAL:R,803-233-176-740,A12-A04-R02-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_233)[803] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[176-740],<START>|233:803@1-1; 233|<END>:176-740@3-4,0.68,Medium,"compare all artifacts in frames 233|<END>, <START>|233; test reused filler(s) 176-740, 803 across frames; inspect minimal alternation(s) involving 176-740, 803"
2516.1,M-1672,Mohenjo-daro,SEAL:S,920-060-741-003-220-520,M04-A06-A03-M05-A09-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-003-220-520],<START>|741:920-060@1-2; 060|<END>:741-003-220-520@3-6,0.68,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
2262.1,M-1827,Mohenjo-daro,SEAL:S,233-520,A04-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520],<START>|520:233@1-1; 233|<END>:520@2-2,0.68,Medium,"compare all artifacts in frames 233|<END>, <START>|520; test reused filler(s) 233, 520 across frames; inspect minimal alternation(s) involving 233, 520"
2426.1,M-1836,Mohenjo-daro,SEAL:S,233-520,A04-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520],<START>|520:233@1-1; 233|<END>:520@2-2,0.68,Medium,"compare all artifacts in frames 233|<END>, <START>|520; test reused filler(s) 233, 520 across frames; inspect minimal alternation(s) involving 233, 520"
2344.1,M-1902,Mohenjo-daro,SEAL:S,920-060-741-590-390-151,M04-A06-A03-A08-M02-T05,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-590-390-151],<START>|741:920-060@1-2; 060|<END>:741-590-390-151@3-6,0.68,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
2844.1,M-326,Mohenjo-daro,SEAL:S,920-060-741-235-904-740,M04-A06-A03-M01-R19-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-235-904-740],<START>|741:920-060@1-2; 060|<END>:741-235-904-740@3-6,0.68,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
3091.1,M-647,Mohenjo-daro,SEAL:S,920-060-741-233-235-100-740,M04-A06-A03-A04-M01-A15-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-233-235-100-740],<START>|741:920-060@1-2; 060|<END>:741-233-235-100-740@3-7,0.68,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
2388.1,-,Mohenjo-daro,SEAL:S,861-002-240-637-740,C02-A01-A02-R253-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-637] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|240:861-002@1-2; 002|740:240-637@3-4,0.67,Medium,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 861-002 across frames; inspect minimal alternation(s) involving 861-002"
72.1,C-76,Chanhu-daro,SEAL:S,456-741-740-530-032-850-031-032,R90-A03-T01-R56-A07-R80-M03-A07,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[456] | 741:SLOT_INITIAL_MODIFIER | 740:TERMINAL_TITLE_OR_SUFFIX | 530:SIGN | 032:SLOT_INITIAL_MODIFIER | 850:SIGN | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],<START>|741:456@1-1; 031|<END>:032@8-8,0.67,Medium,"compare all artifacts in frames 031|<END>, <START>|741; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
81.1,C-78,Chanhu-daro,SEAL:S,817-002-240-636-740,C03-A01-A02-R48-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-636] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|240:817-002@1-2; 002|740:240-636@3-4,0.67,Medium,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 817-002"
1178.1,H-137,Harappa,SEAL:R,817-002-233-705-033-388-443-740,C03-A01-A04-A13-A11-R33-R89-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRIME_ENTITY_SLOT(002_740)[233-705-033-388-443] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|233:817-002@1-2; 002|740:233-705-033-388-443@3-7,0.67,Medium,"compare all artifacts in frames 002|740, <START>|233; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 817-002"
1182.1,H-141,Harappa,SEAL:R,235-233-002-070-003-900-032-405,M01-A04-A01-R20-M05-R06-A07-R01,LowEvidenceSequence,unresolved sequence with insufficient structural evidence,PRODUCTIVE_SLOT(<START>_233)[235] | 233:SLOT_INITIAL_MODIFIER | 002:SLOT_FINAL_MODIFIER | PRODUCTIVE_SLOT(002_<END>)[070-003-900-032-405],<START>|233:235@1-1; 002|<END>:070-003-900-032-405@4-8,0.67,Medium,"compare all artifacts in frames 002|<END>, <START>|233; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
1196.1,H-155,Harappa,SEAL:R,216-861-367-001-176-740,R183-C02-R209-A05-R02-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_001)[216-861-367] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[176-740],<START>|001:216-861-367@1-3; 001|<END>:176-740@5-6,0.67,Medium,"compare all artifacts in frames 001|<END>, <START>|001; test reused filler(s) 176-740 across frames; inspect minimal alternation(s) involving 176-740"
1086.1,H-26,Harappa,SEAL:S,820-001-798-240-231-388-740,C01-A05-A14-A02-R21-R33-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[798-240-231-388-740],<START>|001:820@1-1; 001|<END>:798-240-231-388-740@3-7,0.67,Medium,"compare all artifacts in frames 001|<END>, <START>|001; test reused filler(s) 820 across frames; inspect minimal alternation(s) involving 820"
1415.1,H-411,Harappa,SEAL:S,820-001-240-440-740,C01-A05-A02-R38-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[240-440-740],<START>|001:820@1-1; 001|<END>:240-440-740@3-5,0.67,Medium,"compare all artifacts in frames 001|<END>, <START>|001; test reused filler(s) 820 across frames; inspect minimal alternation(s) involving 820"
1110.1,H-51,Harappa,SEAL:S,861-002-240-643-740,C02-A01-A02-R255-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-643] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|240:861-002@1-2; 002|740:240-643@3-4,0.67,Medium,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 861-002 across frames; inspect minimal alternation(s) involving 861-002"
1875.1,Jk-2,Jhukar,SEAL:S,817-002-233-803-740,C03-A01-A04-A12-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRIME_ENTITY_SLOT(002_740)[233-803] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|233:817-002@1-2; 002|740:233-803@3-4,0.67,Medium,"compare all artifacts in frames 002|740, <START>|233; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 817-002"
2037.1,L-83,Lothal,SEAL:L,820-002-240-806-740,C01-A01-A02-M06-T01,PrimeEntitySealFormula,seal formula: classifier/title plus entity filler plus terminal/final marker,PRODUCTIVE_SLOT(<START>_240)[820-002] | PRIME_ENTITY_SLOT(002_740)[240-806] | 740:TERMINAL_TITLE_OR_SUFFIX,<START>|240:820-002@1-2; 002|740:240-806@3-4,0.67,Medium,"compare all artifacts in frames 002|740, <START>|240; inspect minimal alternation(s) involving 820-002"
