TextId,CISI,Site,Type,ReadingTokens,AbstractSigns,SemanticFrame,ControlledSentenceGloss,StructuralParse,SlotFillers,ReconstructionConfidence,PhoneticReadiness,PhoneticTest
3181.1,M-758,Mohenjo-daro,SEAL:S,786-530-742-240-001-760-740,R275-R56-R76-A02-A05-A16-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_001)[786-530-742-240] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[760-740],<START>|001:786-530-742-240@1-4; 001|<END>:760-740@6-7,0.57,Medium,"compare all artifacts in frames 001|<END>, <START>|001; inspect minimal alternation(s) involving 760-740"
3322.1,M-926,Mohenjo-daro,SEAL:S,345-741-792-269-740,R123-A03-R277-R53-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[345] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[792-269-740],<START>|741:345@1-1; 741|<END>:792-269-740@3-5,0.57,Medium,"compare all artifacts in frames 741|<END>, <START>|741; inspect minimal alternation(s) involving 345"
3350.1,M-955,Mohenjo-daro,SEAL:S,003-550-031-031,M05-R15-M03-M03,LowEvidenceSequence,unresolved sequence with insufficient structural evidence,003:LEADING_FORMULA_MARKER | 550:SIGN | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[031],031|<END>:031@4-4,0.57,Medium,compare all artifacts in frames 031|<END>; test reused filler(s) 031 across frames; inspect minimal alternation(s) involving 031
300.1,-,Harappa,TAB:B,851-741-048-740,R102-A03-R43-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[851] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[048-740],<START>|741:851@1-1; 741|<END>:048-740@3-4,0.56,Medium,"compare all artifacts in frames 741|<END>, <START>|741; test reused filler(s) 048-740 across frames; inspect minimal alternation(s) involving 048-740, 851"
257.1,H-1309,Harappa,TAB:I,920-060-741-176-156,M04-A06-A03-R02-T06,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-176-156],<START>|741:920-060@1-2; 060|<END>:741-176-156@3-5,0.56,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
742.1,H-1810,Harappa,TAB:B,851-741-048-740,R102-A03-R43-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[851] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[048-740],<START>|741:851@1-1; 741|<END>:048-740@3-4,0.56,Medium,"compare all artifacts in frames 741|<END>, <START>|741; test reused filler(s) 048-740 across frames; inspect minimal alternation(s) involving 048-740, 851"
1323.2,H-301,Harappa,TAB:I,171-032-031-240-636-740-400,R67-A07-M03-A02-R48-T01-T03,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[171-032-031] | PRODUCTIVE_SLOT(031_<END>)[240-636-740-400],<START>|240:171-032-031@1-3; 031|<END>:240-636-740-400@4-7,0.56,Medium,"compare all artifacts in frames 031|<END>, <START>|240"
1472.1,H-484,Harappa,SEAL:S,817-002-233,C03-A01-A04,InitialClassifierFormula,initial classifier/title followed by a short formula,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRODUCTIVE_SLOT(002_<END>)[233],<START>|233:817-002@1-2; 002|<END>:233@3-3,0.56,Medium,"compare all artifacts in frames 002|<END>, <START>|233; test reused filler(s) 233, 817-002 across frames; inspect minimal alternation(s) involving 233, 817-002"
1772.1,H-890,Harappa,TAB:I,851-741-048-740,R102-A03-R43-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[851] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[048-740],<START>|741:851@1-1; 741|<END>:048-740@3-4,0.56,Medium,"compare all artifacts in frames 741|<END>, <START>|741; test reused filler(s) 048-740 across frames; inspect minimal alternation(s) involving 048-740, 851"
1787.2,H-905,Harappa,TAB:I,171-032-031-240-636-740-400,R67-A07-M03-A02-R48-T01-T03,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[171-032-031] | PRODUCTIVE_SLOT(031_<END>)[240-636-740-400],<START>|240:171-032-031@1-3; 031|<END>:240-636-740-400@4-7,0.56,Medium,"compare all artifacts in frames 031|<END>, <START>|240"
1864.2,H-988,Harappa,TAB:I,171-032-031-240-636-740-400,R67-A07-M03-A02-R48-T01-T03,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[171-032-031] | PRODUCTIVE_SLOT(031_<END>)[240-636-740-400],<START>|240:171-032-031@1-3; 031|<END>:240-636-740-400@4-7,0.56,Medium,"compare all artifacts in frames 031|<END>, <START>|240"
1999.1,L-21,Lothal,SEAL:S,820-060-142-156,C01-A06-R50-T06,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,NAME_LIKE_BLOCK[820-060] | PRODUCTIVE_SLOT(060_<END>)[142-156],060|<END>:142-156@3-4,0.56,Medium,compare all artifacts in frames 060|<END>
2133.3,L-217,Lothal,TAB:B,920-060-741-821-740,M04-A06-A03-R142-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-821-740],<START>|741:920-060@1-2; 060|<END>:741-821-740@3-5,0.56,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
2031.1,L-65,Lothal,SEAL:S,861-002-240,C02-A01-A02,InitialClassifierFormula,initial classifier/title followed by a short formula,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRODUCTIVE_SLOT(002_<END>)[240],<START>|240:861-002@1-2; 002|<END>:240@3-3,0.56,Medium,"compare all artifacts in frames 002|<END>, <START>|240; test reused filler(s) 240, 861-002 across frames; inspect minimal alternation(s) involving 240, 861-002"
3475.1,M-1104,Mohenjo-daro,SEAL:S,820-060-564-740,C01-A06-R96-T01,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,NAME_LIKE_BLOCK[820-060] | PRODUCTIVE_SLOT(060_<END>)[564-740],060|<END>:564-740@3-4,0.56,Medium,compare all artifacts in frames 060|<END>
