SemanticFrame,Count
LowEvidenceSequence,2534
TerminalFormula,2015
InitialClassifierFormula,368
PrimeEntitySealFormula,279
ClassifierSlotTerminalFormula,156
NameLikeTerminalFormula,115
PrimeEntityAdministrativeFormula,61
ClassifierTerminalFormula,3
