"Band","Signs","Tokens"
"Common100To499","37","7181"
"Dominant500Plus","6","4970"
"Active20To99","71","3421"
"Low6To19","150","1573"
"Rare3To5","125","471"
"Hapax","218","218"
"DisLegomenon","105","210"
