Metric,Value,Note
Stem profiles,103,LOW_EVIDENCE_STEM_CANDIDATE:71; BARE_PRIME_STEM_CONTROL:15; OP240_BARE_BRIDGE_CANDIDATE:14; PHONETIC_READY_OP240_STEM:2; OP240_BARE_BRIDGE_STEM:1
Pairwise contrasts,120,OCCURRENCE_LIMITED_STEM_CONTRAST:89; PHONETIC_LANE_NEIGHBOR:26; BRIDGE_STEM_CONTROL:3; PRIMARY_PHONETIC_LANE_AFTER_IMAGE_CHECK:1; STEM_SEMANTIC_CONTROL:1
Top stem,482,PHONETIC_READY_OP240_STEM; score=1.000
Top pair,482::904,PRIMARY_PHONETIC_LANE_AFTER_IMAGE_CHECK; score=1.000
Primary phonetic lane,482::904,Only after image/context validation; no sound value assigned.
Bridge controls,176; 048; 061,Tests whether OP240 preserves identity across bare and prefixed forms.
