"Rank","Sign","TotalTokens","TokenPct","CumulativeCoverage","CoreGroup","PositionRole","MechanismHypothesis","StartPct","MedialPct","EndPct","SingletonPct","PositionEntropy10","LeftNeighborEntropy","RightNeighborEntropy","DominantLeftNeighbor","DominantLeftShare","DominantRightNeighbor","DominantRightShare","RegionEntropy","SiteEntropy","TypeEntropy","AdjacentSelfRepeats","CandidateClasses"
"113","097","20","0.001108","0.861893","Extension90","MixedPosition","UnclassifiedComputationalLead","0.375","0.625","0","0","0.5104","0.8563","0.8239","700","0.4545","151","0.5","0.971","0.971","0.7183","0","Unclassified"
"114","320","20","0.001108","0.863002","Extension90","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0.2308","0.7692","0","0","0.7897","0.8695","0.5205","233","0.375","920","0.7778","0.8433","0.7183","0.7193","0","Unclassified"
"115","167","19","0.001053","0.864055","Extension90","TerminalMarker","FormulaOrGrammarMarker","0","0","1","0","0.2331","0.883","0.9183","705","0.5333","705","0.6667","0.998","0.8694","0.8997","0","Unclassified"
"116","530","19","0.001053","0.865108","Extension90","MixedPosition","ExtendedInventoryCandidate","0.2727","0.6364","0","0.0909","0.7239","0.9766","1","741","0.1818","031","0.0769","0.7854","0.7947","0.7404","0","Unclassified"
"117","679","19","0.001053","0.86616","Extension90","TerminalMarker","FormulaOrGrammarMarker","0.25","0","0.6875","0.0625","0.2749","0.5726","0.8113","740","0.7692","840","0.75","0.8315","0.6972","0.8281","0","Unclassified"
"118","838","19","0.001053","0.867213","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.3846","0.6154","0","0","0.8927","0.9335","0.9395","741","0.2727","798","0.25","0.5762","0.686","0.9136","0","Unclassified"
"119","048","18","0.000998","0.868211","Extension90","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","0.9444","0.0556","0","0.1849","0.7161","0","002","0.6667","740","1","0.85","0.85","0.7735","0","Unclassified"
"120","066","18","0.000998","0.869209","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.4286","0.4286","0.1429","0","0.7891","0.9599","0.9631","942","0.25","455","0.1875","0.6528","0.7339","0.7736","0","Unclassified"
"121","365","18","0.000998","0.870206","Extension90","MedialCarrier","ExtendedInventoryCandidate","0","0.8","0.2","0","0.7683","0.9881","0.9075","460","0.1667","002","0.3846","0.886","0.8864","0.924","0","Unclassified"
"122","491","18","0.000998","0.871204","Extension90","InitialMarker","FormulaOrGrammarMarker","0.8667","0.1333","0","0","0.6949","0.9183","0.8998","002","0.6667","817","0.3125","0.708","0.7847","0.8584","0","Unclassified"
"123","515","18","0.000998","0.872201","Extension90","SingletonOrEmblem","ObjectOrEmblemCandidate","0","0.375","0.125","0.5","0.4516","1","0.8322","255","0.125","520","0.5714","0.7777","0.8737","0.754","0","Unclassified"
"124","831","18","0.000998","0.873199","Extension90","InitialMarker","FormulaOrGrammarMarker","0.5625","0.375","0.0625","0","0.8144","0.9796","0.9435","165","0.25","892","0.2353","0.7314","0.7314","0.8344","0","Unclassified"
"125","222","17","0.000942","0.874141","Extension90","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0.125","0.875","0","0","0.5836","0.8893","0","233","0.3571","740","1","0.5264","0.695","0.8229","0","Unclassified"
"126","436","17","0.000942","0.875083","Extension90","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","0.9333","0.0667","0","0.3978","0.4039","0.3534","255","0.8824","690","0.9333","0.3228","0.4039","0.4039","0","Unclassified"
"127","519","17","0.000942","0.876025","Extension90","InitialMarker","FormulaOrGrammarMarker","0.5556","0.4444","0","0","0.6794","0.8764","0.8101","002","0.4444","740","0.5385","0.9127","0.8044","0.8229","0","Unclassified"
"128","130","16","0.000887","0.876912","Extension90","MixedPosition","ExtendedInventoryCandidate","0.1","0.6","0.3","0","0.6865","0.8901","0.9366","035","0.3333","920","0.2308","0.7508","0.7209","0.8903","0","Unclassified"
"129","137","16","0.000887","0.877799","Extension90","InitialMarker","FormulaOrGrammarMarker","0.5833","0.0833","0.25","0.0833","0.3828","0.961","0.5436","002","0.4","400","0.875","0.8113","0.8113","0.8981","0","Unclassified"
"130","374","16","0.000887","0.878685","Extension90","MixedPosition","ExtendedInventoryCandidate","0.3333","0.6667","0","0","0.7457","1","0.8856","132","0.0833","002","0.3846","0.5647","0.6273","0.3373","0","Unclassified"
"131","906","16","0.000887","0.879572","Extension90","MixedPosition","ExtendedInventoryCandidate","0.25","0.625","0.125","0","0.7223","0.9488","0.9611","388","0.3","002","0.2143","0.5931","0.6446","0.7609","0","Unclassified"
"132","921","16","0.000887","0.880459","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.3077","0.6154","0.0769","0","0.7994","1","0.9138","368","0.1","070","0.3077","0.7653","0.7653","0.6858","0","Unclassified"
"133","065","15","0.000831","0.88129","Extension90","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","0.9091","0.0909","0","0.7293","1","0.7173","798","0.0714","220","0.6154","0.6644","0.6183","0.5714","0","Unclassified"
"134","072","15","0.000831","0.882121","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.3846","0.5385","0.0769","0","0.8398","0.9464","0.8516","921","0.3","520","0.4286","0.7766","0.7665","0.6876","0","Unclassified"
"135","111","15","0.000831","0.882953","Extension90","MixedPosition","ExtendedInventoryCandidate","0.1111","0.5556","0.3333","0","0.672","1","0.9756","165","0.0909","002","0.2","0.8444","0.9245","0.6714","0","Unclassified"
"136","297","15","0.000831","0.883784","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.0833","0.9167","0","0","0.7997","0.9788","0.8883","190","0.1667","002","0.3333","0.5714","0.6714","0.4416","0","Unclassified"
"137","321","15","0.000831","0.884615","Extension90","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0.0667","0.9333","0","0","0.1064","0","0.3534","407","1","407","0.9333","0.3534","0.3534","0.3534","0","Unclassified"
"138","354","15","0.000831","0.885447","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.2857","0.4286","0.1429","0.1429","0.7826","0.9172","0.974","002","0.3","740","0.2","0.9501","0.812","0.8629","0","Unclassified"
"139","554","15","0.000831","0.886278","Extension90","MedialCarrier","UnclassifiedComputationalLead","0.3","0.7","0","0","0.5589","0.9485","0.8711","002","0.2727","527","0.4","0.8031","0.7638","0.9151","0","Unclassified"
"140","565","15","0.000831","0.887109","Extension90","TerminalMarker","FormulaOrGrammarMarker","0.0833","0.1667","0.6667","0.0833","0.3127","0.7173","1","740","0.6154","740","0.3333","0.9183","0.9183","0.6644","0","Unclassified"
"141","605","15","0.000831","0.887941","Extension90","InitialMarker","FormulaOrGrammarMarker","0.6667","0.3333","0","0","0.7293","0.9464","0.724","002","0.5","760","0.6","0.7766","0.7766","0.9828","0","Unclassified"
"142","064","14","0.000776","0.888716","Extension90","TerminalMarker","FormulaOrGrammarMarker","0.1667","0.1667","0.6667","0","0.4467","0.9788","1","002","0.1667","066","0.2","0.7974","0.7608","0.9102","0","Unclassified"
"143","337","14","0.000776","0.889492","Extension90","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0.1","0.9","0","0","0.7082","0.7828","0.4879","484","0.6364","740","0.8462","0.9852","0.8176","0.8447","0","Unclassified"
"144","484","14","0.000776","0.890268","Extension90","FlexibleCarrier","BoundModifierOrFormulaVariantCandidate","0.4","0.5","0.1","0","0.8021","0.9796","0.7533","900","0.25","337","0.5833","0.8176","0.8176","0.8577","0","Unclassified"
"145","821","14","0.000776","0.891044","Extension90","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.4167","0.4167","0.1667","0","0.7534","0.7744","0.9107","001","0.625","740","0.3636","0.6458","0.6178","0.8577","0","Unclassified"
"146","844","14","0.000776","0.89182","Extension90","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0.25","0.75","0","0","0.8289","0.974","0.6038","032","0.2","390","0.75","0.3712","0.6458","0.7006","0","Unclassified"
"147","063","13","0.00072","0.89254","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.1111","0.7778","0.1111","0","0.7373","0.9534","0.8384","740","0.25","407","0.4545","0.8421","0.8561","0.8561","0","Unclassified"
"148","136","13","0.00072","0.893261","Extension90","TerminalMarker","FormulaOrGrammarMarker","0","0.0909","0.7273","0.1818","0.2328","0.9232","1","031","0.4","832","0.5","0.8956","0.8346","0.8561","0","Unclassified"
"149","161","13","0.00072","0.893981","Extension90","TerminalMarker","FormulaOrGrammarMarker","0","0","1","0","0.1178","0.9488","0","097","0.2727","907","1","0.7793","0.8346","0.4879","0","Unclassified"
"150","317","13","0.00072","0.894702","Extension90","TerminalMarker","FormulaOrGrammarMarker","0.375","0","0.625","0","0.5025","0.9796","0.8962","740","0.25","920","0.5","0.894","0.8904","0.9138","0","Unclassified"
"151","318","13","0.00072","0.895422","Extension90","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","1","0","0","0.2328","0.4879","0","220","0.8462","920","1","0","0","0.3912","0","Unclassified"
"152","406","13","0.00072","0.896143","Extension90","MixedPosition","ExtendedInventoryCandidate","0.1111","0.5556","0.3333","0","0.6887","0.9708","0.9306","125","0.2222","740","0.375","0.9629","0.8879","0.7851","0","Unclassified"
"153","510","13","0.00072","0.896863","Extension90","MixedPosition","ExtendedInventoryCandidate","0.5","0.5","0","0","0.726","1","0.8561","220","0.2","460","0.4615","0.7443","0.7851","0.676","0","Unclassified"
"154","526","13","0.00072","0.897584","Extension90","TerminalMarker","FormulaOrGrammarMarker","0","0","1","0","0","0.9131","0","550","0.3846","","0","0.7817","0.7323","0.9947","0","Unclassified"
"155","792","13","0.00072","0.898304","Extension90","InitialMarker","FormulaOrGrammarMarker","0.5556","0.4444","0","0","0.6135","1","0.7091","002","0.2","740","0.6667","0.9957","0.9957","0.919","0","Unclassified"
"156","794","13","0.00072","0.899025","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.2222","0.7778","0","0","0.8937","0.9359","0.9518","630","0.3333","740","0.25","0.8421","0.8346","0.885","0","Unclassified"
"157","868","13","0.00072","0.899745","Extension90","TerminalMarker","FormulaOrGrammarMarker","0","0","1","0","0","0.836","0","706","0.5","","0","0","0","0","0","Unclassified"
"158","905","13","0.00072","0.900466","Extension95","InitialMarker","FormulaOrGrammarMarker","0.9091","0.0909","0","0","0.5695","1","0.5726","407","0.5","032","0.7692","0.4879","0.4879","0.7733","0","Unclassified"
"159","241","12","0.000665","0.901131","Extension95","TerminalMarker","FormulaOrGrammarMarker","0","0.1818","0.8182","0","0.3635","0.9732","1","220","0.1667","900","0.3333","0.4138","0.4138","0.4138","0","Unclassified"
"160","243","12","0.000665","0.901796","Extension95","FlexibleCarrier","ExtendedInventoryCandidate","0.3","0.6","0.1","0","0.8094","0.9755","0.8897","031","0.2857","617","0.3636","0.8113","0.8113","0.4138","0","Unclassified"
"161","360","12","0.000665","0.902461","Extension95","MixedPosition","ExtendedInventoryCandidate","0.5","0.375","0.125","0","0.6589","1","1","832","0.25","255","0.1111","0.75","0.7091","0.9353","0","Unclassified"
"162","511","12","0.000665","0.903126","Extension95","MixedPosition","ExtendedInventoryCandidate","0.1667","0.3333","0.3333","0.1667","0.6876","0.9697","0.9212","032","0.3333","130","0.4286","0.9799","0.9799","0.8648","0","Unclassified"
"163","703","12","0.000665","0.903791","Extension95","InitialMarker","FormulaOrGrammarMarker","0.625","0.375","0","0","0.6876","0.9697","0.9518","060","0.3333","615","0.25","0.8735","0.7669","0.6038","0","Unclassified"
"164","890","12","0.000665","0.904456","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","1","0","0","0.3133","0.6388","0.6388","417","0.7273","892","0.7273","0.65","0.6567","0.75","0","Unclassified"
"165","190","11","0.00061","0.905065","Extension95","MixedPosition","ExtendedInventoryCandidate","0.5","0.4","0.1","0","0.6923","0.961","0.974","125","0.4","297","0.2","0.6388","0.6388","0.684","0","Unclassified"
"166","215","11","0.00061","0.905675","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.3333","0.1111","0.4444","0.1111","0.5388","0.961","0.7897","001","0.4","740","0.6667","0.6914","0.6388","0.6388","0","Unclassified"
"167","269","11","0.00061","0.906285","Extension95","MedialCarrier","ExtendedInventoryCandidate","0","0.875","0.125","0","0.7471","0.9766","0.8614","140","0.1818","740","0.5","0.8261","0.7456","0.684","0","Unclassified"
"168","315","11","0.00061","0.906894","Extension95","MixedPosition","ExtendedInventoryCandidate","0.375","0.625","0","0","0.7471","0.9306","0.974","850","0.375","741","0.2","0.7828","0.7828","0.5463","0","Unclassified"
"169","336","11","0.00061","0.907504","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","1","0","0","0.6142","0.8982","0.5817","176","0.4","740","0.8","0.684","0.684","0.9115","0","Unclassified"
"170","371","11","0.00061","0.908114","Extension95","InitialMarker","FormulaOrGrammarMarker","0.6667","0.3333","0","0","0.6923","1","0.9766","220","0.3333","031","0.1818","0.6914","0.6914","0.5463","0","Unclassified"
"171","411","11","0.00061","0.908723","Extension95","MixedPosition","UnclassifiedComputationalLead","0","0.2","0.4","0.4","0.5036","0.9755","0.9464","411","0.2857","411","0.5","0.6914","0.8897","0.8342","4","Unclassified"
"172","525","11","0.00061","0.909333","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","0.9","0.1","0","0.5075","0.4395","0","550","0.9091","400","1","0.4395","0.4395","0.4395","0","Unclassified"
"173","556","11","0.00061","0.909942","Extension95","InitialMarker","FormulaOrGrammarMarker","0.7143","0","0.1429","0.1429","0.5963","0","1","060","1","066","0.125","0.994","0.8509","0.9084","0","Unclassified"
"174","592","11","0.00061","0.910552","Extension95","MixedPosition","UnclassifiedComputationalLead","0.2222","0.1111","0.4444","0.2222","0.5075","0.9821","0.961","031","0.4286","158","0.4","0.7828","0.8086","0.8261","0","Unclassified"
"175","625","11","0.00061","0.911162","Extension95","MixedPosition","UnclassifiedComputationalLead","0.5","0.5","0","0","0.6376","0.9464","0.9755","140","0.5","031","0.2857","0.9922","0.9338","0.8635","0","Unclassified"
"176","776","11","0.00061","0.911771","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.125","0.625","0.25","0","0.5488","0.8097","0.8322","495","0.5556","740","0.5714","0.8261","0.8043","0.8043","0","Unclassified"
"177","853","11","0.00061","0.912381","Extension95","InitialMarker","FormulaOrGrammarMarker","0.9","0.1","0","0","0.3941","0","1","016","1","101","0.0909","0.4395","0.4395","0.4395","0","Unclassified"
"178","880","11","0.00061","0.91299","Extension95","InitialMarker","FormulaOrGrammarMarker","0.7143","0.2857","0","0","0.6376","1","0.8097","002","0.3333","002","0.5556","0.7828","0.8086","0.8429","0","Unclassified"
"179","927","11","0.00061","0.9136","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.3333","0.6667","0","0","0.4868","1","0.4395","220","0.125","740","0.9091","0.5463","0.5463","0.6914","0","Unclassified"
"180","056","10","0.000554","0.914154","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0.1","0.9","0","0","0.2775","0.5033","0.5817","091","0.8889","002","0.8","0.469","0.5817","0.5817","0","Unclassified"
"181","098","10","0.000554","0.914708","Extension95","InitialMarker","FormulaOrGrammarMarker","0.5556","0.2222","0","0.2222","0.4472","1","0.7248","368","0.3333","400","0.7143","0.865","0.7855","0.8427","0","Unclassified"
"182","232","10","0.000554","0.915263","Extension95","MixedPosition","UnclassifiedComputationalLead","0.125","0.5","0.375","0","0.5301","0.9796","1","240","0.25","400","0.2","0.971","0.8587","0.469","0","Unclassified"
"183","257","10","0.000554","0.915817","Extension95","MedialCarrier","ExtendedInventoryCandidate","0","0.8","0.2","0","0.7365","0.9165","0.9796","840","0.4286","002","0.25","0.8587","0.8814","0.5817","0","Unclassified"
"184","347","10","0.000554","0.916371","Extension95","InitialMarker","FormulaOrGrammarMarker","0.8889","0.1111","0","0","0.2775","0","0.469","061","1","741","0.9","0.469","0.469","0.469","0","Unclassified"
"185","353","10","0.000554","0.916925","Extension95","InitialMarker","FormulaOrGrammarMarker","0.75","0.25","0","0","0.6388","0.961","0.9697","001","0.4","460","0.3333","0.8587","0.8587","0.861","0","Unclassified"
"186","370","10","0.000554","0.917479","Extension95","InitialMarker","FormulaOrGrammarMarker","0.8333","0","0.1667","0","0.6535","1","0.9684","455","0.5","390","0.2222","0.8173","0.8173","0.9675","0","Unclassified"
"187","391","10","0.000554","0.918034","Extension95","InitialMarker","FormulaOrGrammarMarker","0.5714","0.1429","0.2857","0","0.5074","0.961","0.7248","002","0.4","595","0.7143","0.5817","0.6784","0.8173","0","Unclassified"
"188","468","10","0.000554","0.918588","Extension95","InitialMarker","FormulaOrGrammarMarker","0.75","0.25","0","0","0.5903","0.9464","0","001","0.5","806","1","0.8813","0.8813","0.7298","0","Unclassified"
"189","545","10","0.000554","0.919142","Extension95","InitialMarker","FormulaOrGrammarMarker","1","0","0","0","0.4472","0","0.974","","0","908","0.2","0.469","0.469","0","0","Unclassified"
"190","552","10","0.000554","0.919696","Extension95","MedialCarrier","ExtendedInventoryCandidate","0","1","0","0","0.6535","0.9755","0.9165","002","0.2857","840","0.4286","0.8587","0.9139","0.7855","0","Unclassified"
"191","697","10","0.000554","0.92025","Extension95","SingletonOrEmblem","ObjectOrEmblemCandidate","0","0.5","0","0.5","0.3482","0.963","0.9183","510","0.2857","390","0.6667","0.7219","0.7219","0.9602","0","Unclassified"
"192","698","10","0.000554","0.920805","Extension95","SingletonOrEmblem","ObjectOrEmblemCandidate","0.5","0","0","0.5","0.4472","0","0.961","","0","861","0.4","0.8813","0.8813","0.9372","0","Unclassified"
"193","702","10","0.000554","0.921359","Extension95","MixedPosition","UnclassifiedComputationalLead","0.2857","0.5714","0","0.1429","0.616","0.9591","0.9708","900","0.3333","741","0.2222","0.8587","0.861","0.8173","0","Unclassified"
"194","772","10","0.000554","0.921913","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","1","0","0","0.5933","0.8764","0","240","0.4444","740","1","0.7219","0.7219","0.469","0","Unclassified"
"195","924","10","0.000554","0.922467","Extension95","MixedPosition","ExtendedInventoryCandidate","0.2222","0.6667","0.1111","0","0.6505","0.9165","0.941","156","0.4286","705","0.3333","0.861","0.861","0.9172","0","Unclassified"
"196","942","10","0.000554","0.923022","Extension95","SingletonOrEmblem","ObjectOrEmblemCandidate","0","0.125","0","0.875","0.2653","0","0","090","1","066","1","0.469","0.469","0","0","Unclassified"
"197","234","9","0.000499","0.92352","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.375","0.125","0.25","0.25","0.4069","1","0.8113","220","0.25","400","0.75","0.9455","0.9101","0.8764","0","Unclassified"
"198","250","9","0.000499","0.924019","Extension95","MixedPosition","UnclassifiedComputationalLead","0.375","0.375","0.25","0","0.5693","0.9697","0.9697","579","0.3333","741","0.3333","0.7642","0.8097","0.6224","0","Unclassified"
"199","298","9","0.000499","0.924518","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0","0.5","0.5","0","0.499","0.9284","0.8113","350","0.375","002","0.75","0.7725","0.8867","0.6224","0","Unclassified"
"200","408","9","0.000499","0.925017","Extension95","InitialMarker","FormulaOrGrammarMarker","0.5714","0","0.4286","0","0.5276","1","0.961","004","0.25","004","0.4","0.9656","0.9656","0.9708","0","Unclassified"
"201","417","9","0.000499","0.925515","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","1","0","0","0.1515","0","0.5033","002","1","890","0.8889","0.5033","0.5033","0.5033","0","Unclassified"
"202","467","9","0.000499","0.926014","Extension95","InitialMarker","FormulaOrGrammarMarker","0.625","0.375","0","0","0.5945","1","0.5033","031","0.3333","806","0.8889","0.8783","0.8783","0.9101","0","Unclassified"
"203","504","9","0.000499","0.926513","Extension95","MixedPosition","UnclassifiedComputationalLead","0","0.5","0.5","0","0.6198","0.8614","0.961","350","0.5","031","0.4","0.9911","0.8783","0.7642","0","Unclassified"
"204","597","9","0.000499","0.927012","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","1","0","0","0.2969","0","0","032","1","142","1","0","0","0","0","Unclassified"
"205","746","9","0.000499","0.927511","Extension95","MixedPosition","ExtendedInventoryCandidate","0.5","0.5","0","0","0.6614","0.9755","0.963","140","0.2857","798","0.2857","0.7725","0.7725","0.8528","0","Unclassified"
"206","773","9","0.000499","0.928009","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0.1111","0.8889","0","0","0.4069","0.9306","0","240","0.375","740","1","0.5033","0.5033","0.7725","0","Unclassified"
"207","812","9","0.000499","0.928508","Extension95","MedialCarrier","UnclassifiedComputationalLead","0","0.875","0.125","0","0.5659","0.941","0.9671","033","0.3333","125","0.25","0.9057","0.8289","0.7642","0","Unclassified"
"208","014","8","0.000443","0.928951","Extension95","MixedPosition","UnclassifiedComputationalLead","0.5","0.5","0","0","0.6021","1","0.9755","817","0.3333","220","0.2857","0.875","0.8614","0.7744","0","Unclassified"
"209","015","8","0.000443","0.929395","Extension95","InitialMarker","FormulaOrGrammarMarker","0.5714","0.2857","0.1429","0","0.7526","1","0.9755","002","0.25","140","0.2857","0.9851","0.969","0.9284","0","Unclassified"
"210","036","8","0.000443","0.929838","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.5","0.3333","0.1667","0","0.4231","1","0.865","220","0.25","700","0.6","0.8113","0.8194","0.9851","0","Unclassified"
"211","067","8","0.000443","0.930282","Extension95","MedialCarrier","UnclassifiedComputationalLead","0.25","0.75","0","0","0.5268","1","0.9165","703","0.2","740","0.4286","0.8869","0.9284","0.9284","0","Unclassified"
"212","101","8","0.000443","0.930725","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0.25","0.75","0","0","0.4231","0.9697","0.6696","002","0.3333","740","0.75","0.9544","0.8869","0.7744","0","Unclassified"
"213","155","8","0.000443","0.931168","Extension95","TerminalMarker","FormulaOrGrammarMarker","0","0.4","0.6","0","0.391","0.9165","1","806","0.4286","033","0.3333","0.8194","0.8194","0.9528","0","Unclassified"
"214","204","8","0.000443","0.931612","Extension95","MedialCarrier","UnclassifiedComputationalLead","0","0.75","0.25","0","0.4515","1","1","255","0.1667","595","0.1667","0.9544","0.9544","0.9851","0","Unclassified"
"215","260","8","0.000443","0.932055","Extension95","InitialMarker","FormulaOrGrammarMarker","0.625","0.375","0","0","0.5737","1","0.9306","220","0.3333","368","0.375","0.5436","0.5436","0","0","Unclassified"
"216","380","8","0.000443","0.932498","Extension95","InitialMarker","FormulaOrGrammarMarker","0.75","0.25","0","0","0.5737","1","0.9306","899","0.3333","705","0.375","0.8869","0.8869","0.8869","0","Unclassified"
"217","422","8","0.000443","0.932942","Extension95","TerminalMarker","FormulaOrGrammarMarker","0","0.25","0.75","0","0.2442","0","0","003","1","176","1","0.8113","0.6696","0.6696","0","Unclassified"
"218","626","8","0.000443","0.933385","Extension95","MedialCarrier","UnclassifiedComputationalLead","0.2","0.8","0","0","0.6489","1","0.9796","176","0.1667","740","0.25","0.9851","0.9056","0.8869","0","Unclassified"
"219","642","8","0.000443","0.933828","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","1","0","0","0.5268","0","0.5917","240","1","740","0.8571","0.5436","0.5436","0.6696","0","Unclassified"
"220","804","8","0.000443","0.934272","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.1429","0.2857","0.5714","0","0.5268","0.9165","0.8113","233","0.4286","400","0.75","0.9544","0.9544","0.8113","0","Unclassified"
"221","808","8","0.000443","0.934715","Extension95","InitialMarker","FormulaOrGrammarMarker","0.8","0","0.2","0","0.5737","1","0.9697","033","0.5","002","0.3333","0.8194","0.8194","0.7744","0","Unclassified"
"222","849","8","0.000443","0.935159","Extension95","InitialMarker","FormulaOrGrammarMarker","1","0","0","0","0.5737","1","0.8962","002","0.5","742","0.5","0.8113","0.875","0.8869","0","Unclassified"
"223","930","8","0.000443","0.935602","Extension95","TerminalMarker","FormulaOrGrammarMarker","0","0","0.75","0.25","0","0.9165","0","632","0.4286","","0","0.9544","0.9544","0.9544","0","Unclassified"
"224","006","7","0.000388","0.93599","Extension95","SingletonOrEmblem","ObjectOrEmblemCandidate","0.25","0.25","0","0.5","0.5871","1","1","740","0.5","220","0.2","0.9212","0.9165","0.8699","0","Unclassified"
"225","018","7","0.000388","0.936378","Extension95","MixedPosition","ExtendedInventoryCandidate","0.5","0.5","0","0","0.7591","1","0.9591","125","0.3333","390","0.3333","0.9852","0.9852","0.8699","0","Unclassified"
"226","093","7","0.000388","0.936766","Extension95","MedialCarrier","ExtendedInventoryCandidate","0","0.7143","0.2857","0","0.7591","1","1","368","0.1429","400","0.2","0.9165","0.9165","0.8631","0","Unclassified"
"227","150","7","0.000388","0.937154","Extension95","MedialCarrier","ExtendedInventoryCandidate","0","1","0","0","0.6731","0.961","1","741","0.4","220","0.1667","0.7248","0.7248","0.9212","0","Unclassified"
"228","219","7","0.000388","0.937542","Extension95","InitialMarker","FormulaOrGrammarMarker","0.7143","0.2857","0","0","0.5546","0","0.963","002","1","072","0.2857","0.8631","0.8631","0.9852","0","Unclassified"
"229","252","7","0.000388","0.93793","Extension95","MedialCarrier","UnclassifiedComputationalLead","0","1","0","0","0.4686","1","0.9212","692","0.1667","002","0.4286","0.5917","0.5917","0.8631","0","Unclassified"
"230","267","7","0.000388","0.938317","Extension95","MedialCarrier","ExtendedInventoryCandidate","0","0.8","0.2","0","0.6731","1","0.961","455","0.1429","002","0.4","0.8322","0.8322","0.7248","0","Unclassified"
"231","323","7","0.000388","0.938705","Extension95","InitialMarker","FormulaOrGrammarMarker","0.7143","0.1429","0.1429","0","0.4151","1","0.9206","316","0.5","690","0.5","0.5917","0.5917","0.9212","0","Unclassified"
"232","326","7","0.000388","0.939093","Extension95","InitialMarker","FormulaOrGrammarMarker","0.75","0.25","0","0","0.6406","1","0.9591","700","0.5","002","0.3333","0.9141","0.9141","0.963","0","Unclassified"
"233","401","7","0.000388","0.939481","Extension95","TerminalMarker","FormulaOrGrammarMarker","0","0.2","0.8","0","0.1781","1","0","920","0.1429","692","1","0","0","0.7248","0","Unclassified"
"234","423","7","0.000388","0.939869","Extension95","TerminalMarker","FormulaOrGrammarMarker","0","0.1667","0.8333","0","0.1781","0.5917","0","003","0.8571","001","1","0.9852","0.9141","0.7248","0","Unclassified"
"235","426","7","0.000388","0.940257","Extension95","TerminalMarker","FormulaOrGrammarMarker","0.2","0","0.8","0","0.1781","0","0","003","1","033","1","0.963","0.963","0.9212","0","Unclassified"
"236","518","7","0.000388","0.940645","Extension95","MixedPosition","UnclassifiedComputationalLead","0.5","0.5","0","0","0.6406","1","1","220","0.3333","176","0.1429","0.5917","0.5917","0","0","Unclassified"
"237","603","7","0.000388","0.941033","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.5","0.5","0","0","0.5546","0.8113","1","240","0.75","740","0.5","0.9141","0.9141","0.9212","0","Unclassified"
"238","747","7","0.000388","0.941421","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.5","0","0.5","0","0.5546","1","0.7219","004","0.5","717","0.8","0.5917","0.5917","0.9141","0","Unclassified"
"239","777","7","0.000388","0.941809","Extension95","SingletonOrEmblem","ObjectOrEmblemCandidate","0.1429","0","0","0.8571","0.1781","0","0","","0","255","1","0.5917","0.5917","0.5917","0","Unclassified"
"240","851","7","0.000388","0.942197","Extension95","MixedPosition","BoundModifierOrFormulaVariantCandidate","0.5","0","0.5","0","0.4361","0","0.8113","740","1","741","0.75","0","0","0.8631","0","Unclassified"
"241","007","6","0.000333","0.942529","Extension95","MedialCarrier","BoundModifierOrFormulaVariantCandidate","0","0.75","0","0.25","0.4392","0.865","0","503","0.6","740","1","0.9206","0.8962","0.9591","0","Unclassified"
