SignI,SignJ,Count,Prob,PMI
718,815,1,7.011147724882563e-05,14.664252326474282
270,633,1,7.011147724882563e-05,14.664252326474282
128,857,1,7.011147724882563e-05,13.664252326474282
895,785,1,7.011147724882563e-05,13.664252326474282
266,628,1,7.011147724882563e-05,13.664252326474282
306,813,1,7.011147724882563e-05,13.664252326474282
749,479,2,0.00014022295449765126,13.664252326474282
814,084,1,7.011147724882563e-05,13.664252326474282
535,099,1,7.011147724882563e-05,13.664252326474282
251,073,1,7.011147724882563e-05,13.664252326474282
901,620,1,7.011147724882563e-05,13.664252326474282
308,809,1,7.011147724882563e-05,13.079289825753124
823,381,1,7.011147724882563e-05,13.079289825753124
561,586,1,7.011147724882563e-05,13.079289825753124
280,192,1,7.011147724882563e-05,12.664252326474282
833,528,1,7.011147724882563e-05,12.664252326474282
879,261,1,7.011147724882563e-05,12.664252326474282
295,502,1,7.011147724882563e-05,12.664252326474282
874,543,1,7.011147724882563e-05,12.664252326474282
813,541,1,7.011147724882563e-05,12.664252326474282
099,121,1,7.011147724882563e-05,12.664252326474282
646,604,1,7.011147724882563e-05,12.342324231586918
871,947,1,7.011147724882563e-05,12.342324231586918
911,006,1,7.011147724882563e-05,12.342324231586918
842,535,1,7.011147724882563e-05,12.342324231586918
600,251,1,7.011147724882563e-05,12.342324231586918
160,363,1,7.011147724882563e-05,12.342324231586918
629,279,1,7.011147724882563e-05,12.342324231586918
791,713,1,7.011147724882563e-05,12.079289825753124
775,516,2,0.00014022295449765126,12.079289825753124
825,646,1,7.011147724882563e-05,12.079289825753124
302,596,1,7.011147724882563e-05,12.079289825753124
159,057,1,7.011147724882563e-05,12.079289825753124
814,560,1,7.011147724882563e-05,12.079289825753124
572,684,1,7.011147724882563e-05,12.079289825753124
561,092,1,7.011147724882563e-05,12.079289825753124
323,316,1,7.011147724882563e-05,11.856897404416676
267,811,1,7.011147724882563e-05,11.856897404416676
018,796,1,7.011147724882563e-05,11.856897404416676
401,823,1,7.011147724882563e-05,11.856897404416676
093,340,1,7.011147724882563e-05,11.856897404416676
697,722,1,7.011147724882563e-05,11.664252326474282
292,596,1,7.011147724882563e-05,11.664252326474282
250,579,2,0.00014022295449765126,11.494327325031968
300,490,1,7.011147724882563e-05,11.494327325031968
542,250,1,7.011147724882563e-05,11.494327325031968
865,685,1,7.011147724882563e-05,11.494327325031968
560,534,1,7.011147724882563e-05,11.494327325031968
127,381,1,7.011147724882563e-05,11.494327325031968
