FromState,ToState,Count,Prob
MEDIAL,MEDIAL,5604,0.616
INITIAL,MEDIAL,2384,0.771
START,INITIAL,2328,0.703
MEDIAL,END,2286,0.251
START,MEDIAL,885,0.267
FINAL,END,884,0.760
MEDIAL,FINAL,878,0.096
INITIAL,INITIAL,404,0.131
MEDIAL,INITIAL,331,0.036
FINAL,MEDIAL,226,0.194
INITIAL,FINAL,166,0.054
INITIAL,END,140,0.045
START,FINAL,97,0.029
FINAL,INITIAL,31,0.027
FINAL,FINAL,22,0.019
