Frame,OccurrencesInReconstruction
002|740,340
002|<END>,337
<START>|390,207
060|<END>,192
<START>|240,186
<START>|001,170
<START>|520,157
001|<END>,148
741|<END>,140
<START>|741,136
235|<END>,134
031|<END>,107
233|<END>,91
<START>|233,85
817|<END>,51
820|<END>,50
861|<END>,48
032|740,31
060|740,10
820|740,3
