SignI,SignJ,CoocDocCount,PMI,HypergeomP,DirectedAdjacency,SameCommunity
004,405,7,1.661,6.27e-03,7,False
220,440,14,1.645,7.13e-05,9,False
368,690,9,1.637,2.22e-03,8,False
055,220,18,1.625,8.33e-06,14,False
590,690,17,1.606,3.09e-05,13,True
002,772,5,1.604,1.33e-02,3,False
400,636,7,1.589,5.86e-03,0,False
140,706,7,1.582,8.41e-03,6,False
002,190,6,1.577,7.33e-03,3,False
692,920,7,1.572,8.63e-03,0,False
032,904,20,1.570,4.03e-06,10,False
231,806,8,1.561,5.36e-03,6,False
033,845,16,1.561,4.81e-05,15,False
003,861,41,1.556,1.27e-10,31,False
032,226,11,1.551,7.10e-04,11,True
220,520,88,1.550,1.20e-22,67,False
255,407,11,1.549,1.20e-03,0,True
407,798,12,1.541,7.53e-04,0,False
235,405,18,1.540,3.26e-05,0,False
031,156,15,1.539,1.53e-04,11,False
235,407,20,1.535,1.24e-05,0,False
233,798,18,1.526,4.00e-05,10,False
090,100,15,1.525,1.83e-04,1,False
407,920,12,1.522,8.50e-04,0,True
233,806,16,1.522,1.13e-04,8,False
233,235,30,1.520,9.15e-08,28,True
415,520,34,1.515,1.13e-08,0,False
233,520,37,1.494,3.65e-09,24,False
705,717,7,1.485,1.14e-02,5,False
233,585,7,1.480,1.18e-02,3,False
220,416,13,1.477,4.67e-04,9,False
415,690,12,1.463,1.21e-03,0,True
705,803,17,1.459,1.17e-04,4,False
001,692,9,1.453,5.03e-03,5,False
002,820,110,1.452,3.54e-28,102,False
002,906,8,1.452,3.87e-03,3,False
520,585,11,1.438,1.93e-03,0,False
235,240,51,1.433,1.31e-11,50,False
061,798,8,1.426,9.30e-03,0,False
220,803,34,1.416,4.51e-08,7,True
031,575,11,1.406,2.51e-03,6,False
236,400,7,1.405,1.25e-02,7,True
002,236,12,1.393,6.43e-04,7,False
001,617,9,1.393,6.63e-03,1,True
002,416,23,1.391,2.35e-06,8,False
520,706,18,1.388,1.24e-04,0,False
151,390,13,1.374,1.26e-03,7,True
590,920,19,1.367,1.10e-04,1,True
001,090,21,1.366,4.86e-05,4,False
100,140,8,1.364,1.20e-02,8,True
002,405,53,1.360,1.57e-12,33,False
240,692,14,1.360,8.12e-04,0,True
027,740,6,1.358,3.50e-03,0,False
740,773,9,1.358,2.06e-04,9,True
740,927,11,1.358,3.12e-05,10,True
520,803,23,1.352,2.17e-05,0,False
001,820,26,1.352,6.87e-06,21,True
060,690,14,1.352,1.00e-03,7,False
233,705,23,1.351,2.44e-05,20,True
235,590,31,1.350,8.34e-07,25,False
760,840,9,1.342,8.61e-03,8,True
590,892,10,1.339,5.57e-03,8,False
060,820,27,1.338,5.38e-06,25,False
740,752,52,1.331,1.13e-20,51,True
740,923,42,1.324,1.33e-16,40,False
390,741,31,1.322,1.28e-06,14,True
590,806,16,1.305,6.33e-04,1,False
335,700,12,1.303,2.18e-03,0,True
003,390,34,1.297,5.67e-07,30,False
001,004,10,1.295,6.96e-03,6,False
001,368,13,1.288,2.29e-03,11,False
060,231,11,1.285,4.96e-03,6,False
176,400,54,1.282,1.43e-10,0,False
048,740,17,1.276,1.22e-06,17,False
550,705,13,1.273,2.51e-03,1,True
436,740,16,1.271,2.97e-06,2,False
520,705,35,1.263,6.50e-07,0,False
002,460,17,1.254,2.16e-04,3,False
001,706,11,1.248,6.06e-03,2,False
318,740,12,1.243,1.01e-04,0,False
240,845,10,1.243,8.09e-03,8,False
001,031,26,1.232,3.08e-05,13,False
740,760,122,1.223,1.49e-37,121,False
255,415,12,1.217,5.09e-03,0,True
002,125,25,1.213,1.35e-05,4,False
032,585,15,1.203,1.41e-03,1,False
002,350,20,1.189,1.31e-04,9,False
503,740,72,1.188,5.55e-21,4,True
740,772,8,1.188,3.12e-03,8,False
233,550,11,1.182,8.58e-03,8,True
032,700,127,1.179,1.16e-21,124,True
690,817,12,1.177,6.28e-03,1,False
101,740,7,1.166,7.19e-03,6,False
642,740,7,1.166,7.19e-03,6,False
760,817,14,1.153,3.77e-03,0,False
636,740,19,1.147,6.24e-06,16,False
240,798,25,1.147,1.07e-04,23,False
240,585,10,1.142,1.32e-02,2,False
176,740,180,1.136,1.77e-46,143,False
337,740,11,1.117,1.01e-03,11,False
100,740,111,1.097,1.24e-26,107,False
740,792,10,1.095,2.22e-03,9,False
002,070,14,1.089,2.91e-03,3,False
255,590,14,1.080,5.93e-03,0,True
368,390,14,1.078,5.88e-03,4,True
222,740,14,1.078,3.23e-04,14,False
368,590,12,1.078,1.06e-02,2,False
679,740,14,1.078,3.23e-04,10,False
220,798,30,1.069,5.45e-05,5,False
002,226,13,1.065,4.84e-03,4,False
235,803,15,1.064,4.88e-03,13,False
590,741,22,1.050,7.91e-04,13,False
347,740,8,1.036,1.02e-02,0,False
002,832,16,1.026,2.55e-03,7,False
400,892,17,1.007,3.50e-03,8,False
590,803,13,1.006,1.20e-02,0,True
482,740,32,1.001,3.60e-07,23,False
413,700,12,1.001,1.33e-02,0,True
220,920,29,1.000,1.76e-04,3,True
100,820,13,0.997,1.26e-02,3,False
233,240,29,0.983,2.44e-04,27,False
033,520,60,0.977,9.07e-08,55,False
100,240,20,0.969,2.53e-03,11,False
002,455,15,0.966,5.41e-03,4,False
033,575,15,0.963,8.14e-03,0,True
002,390,92,0.959,7.60e-12,17,False
090,705,16,0.946,8.27e-03,2,False
630,740,27,0.943,1.16e-05,18,False
400,435,15,0.939,9.31e-03,1,False
235,520,32,0.919,2.76e-04,11,False
176,741,19,0.919,5.07e-03,16,False
415,820,16,0.917,9.93e-03,1,False
615,740,50,0.915,6.19e-09,13,True
060,240,31,0.889,4.93e-04,15,True
090,740,127,0.888,9.64e-20,120,False
220,255,24,0.881,2.13e-03,6,True
002,803,44,0.878,1.52e-05,35,False
061,740,65,0.873,2.47e-10,25,False
002,527,21,0.867,2.88e-03,2,False
384,740,22,0.864,2.99e-04,22,False
033,235,44,0.859,4.81e-05,1,False
090,220,31,0.856,6.73e-04,0,False
740,838,12,0.856,8.29e-03,1,True
002,240,114,0.854,4.62e-12,80,False
001,741,18,0.854,9.92e-03,15,False
740,840,83,0.839,5.89e-12,26,False
090,240,24,0.828,3.73e-03,0,False
175,740,18,0.828,1.70e-03,2,True
705,741,18,0.827,1.20e-02,3,False
690,740,78,0.824,5.95e-11,59,False
032,220,85,0.817,3.23e-08,77,False
002,717,17,0.811,1.07e-02,6,False
002,520,98,0.795,2.30e-09,5,False
390,820,22,0.794,7.37e-03,3,False
220,690,19,0.789,1.18e-02,0,True
740,798,99,0.788,1.51e-12,49,True
220,407,21,0.777,9.23e-03,1,True
463,740,16,0.773,5.52e-03,5,True
740,877,14,0.773,9.40e-03,7,False
002,231,29,0.771,1.65e-03,16,False
017,740,54,0.756,6.37e-07,11,False
500,740,15,0.742,9.69e-03,1,False
220,590,36,0.737,1.25e-03,11,True
002,760,40,0.708,6.39e-04,2,False
220,741,33,0.658,4.88e-03,4,False
002,233,55,0.656,1.87e-04,24,False
740,904,37,0.637,4.67e-04,28,False
033,233,29,0.623,1.13e-02,0,False
001,220,31,0.615,9.64e-03,9,False
740,900,65,0.613,8.34e-06,50,False
585,740,35,0.605,1.17e-03,28,False
590,740,131,0.597,5.14e-10,10,False
002,140,29,0.596,1.12e-02,9,False
440,740,27,0.590,5.15e-03,12,False
255,740,78,0.578,3.90e-06,19,False
013,740,25,0.576,8.28e-03,2,False
400,740,274,0.565,2.42e-18,261,False
435,740,42,0.541,1.37e-03,0,False
055,740,34,0.539,3.96e-03,14,False
235,740,139,0.535,8.52e-09,9,False
240,740,195,0.535,5.62e-12,29,False
740,803,71,0.475,2.49e-04,19,False
233,740,96,0.366,8.15e-04,11,False
740,741,107,0.352,6.61e-04,2,False
740,806,65,0.347,7.89e-03,4,False
002,220,101,0.339,4.31e-03,32,False
