SignI,SignJ,CoocDocCount,PMI,HypergeomP,DirectedAdjacency,SameCommunity
017,585,30,4.800,7.38e-39,30,True
255,435,61,4.788,9.03e-87,61,True
595,747,2,4.771,2.18e-03,0,True
603,692,3,4.761,1.27e-04,0,True
824,892,14,4.761,6.21e-18,13,False
354,463,2,4.741,2.39e-03,2,True
326,405,4,4.728,5.48e-06,2,True
405,631,2,4.728,1.85e-03,2,True
095,585,10,4.714,1.14e-12,10,True
192,368,2,4.703,1.92e-03,1,True
330,368,2,4.703,1.92e-03,2,True
286,368,2,4.703,1.92e-03,1,True
415,578,5,4.699,8.01e-08,5,False
097,151,10,4.690,6.92e-13,10,True
502,806,3,4.685,9.49e-05,0,True
158,467,2,4.678,2.54e-03,0,True
158,592,2,4.678,2.54e-03,2,True
090,908,2,4.674,1.53e-03,0,True
090,683,2,4.674,1.53e-03,0,True
090,942,3,4.674,5.92e-05,3,True
125,812,3,4.666,1.71e-04,3,True
531,692,2,4.661,2.39e-03,0,True
243,617,5,4.661,7.67e-07,4,True
760,799,3,4.652,1.02e-04,0,True
268,760,3,4.652,1.02e-04,3,True
413,575,23,4.643,4.06e-28,23,True
142,747,3,4.607,1.74e-04,0,True
380,742,2,4.579,2.88e-03,1,False
407,561,2,4.571,2.30e-03,0,True
315,850,3,4.558,2.26e-04,3,False
845,850,15,4.558,8.54e-18,0,False
350,374,4,4.548,1.90e-05,0,True
645,999,2,4.548,3.14e-03,3,True
407,436,11,4.528,5.86e-14,0,True
142,617,30,4.527,1.27e-35,29,True
422,435,3,4.509,2.27e-04,0,True
323,690,4,4.506,1.25e-05,4,True
336,630,2,4.504,3.28e-03,2,True
171,636,3,4.504,2.76e-04,0,True
091,831,2,4.504,3.34e-03,1,True
706,868,6,4.489,8.69e-08,6,True
436,803,11,4.472,9.10e-14,0,True
318,415,11,4.458,1.48e-14,0,True
111,165,2,4.419,3.73e-03,1,True
176,299,2,4.419,2.18e-03,0,True
320,920,14,4.399,3.46e-17,14,True
435,690,39,4.389,2.52e-45,39,True
579,741,2,4.385,2.28e-03,0,True
060,201,5,4.365,2.58e-07,5,True
060,891,2,4.365,2.34e-03,2,True
460,495,5,4.362,3.22e-06,5,True
090,347,8,4.352,2.00e-10,0,True
091,892,8,4.352,1.85e-09,0,True
518,527,2,4.349,3.89e-03,0,True
100,421,3,4.341,2.43e-04,0,True
590,732,2,4.339,2.43e-03,0,False
605,760,9,4.330,6.16e-11,9,True
463,495,3,4.326,4.02e-04,3,True
365,495,2,4.326,4.26e-03,0,True
156,851,3,4.311,3.21e-04,0,True
321,705,14,4.306,2.57e-18,0,True
335,491,3,4.292,4.20e-04,0,True
436,920,11,4.286,3.87e-13,0,True
176,347,9,4.267,8.67e-12,0,False
017,095,10,4.240,3.55e-11,0,True
061,845,21,4.236,1.19e-22,21,False
347,741,9,4.233,1.08e-11,9,True
031,121,2,4.232,2.82e-03,0,True
003,422,8,4.226,5.94e-11,8,False
003,423,6,4.226,2.19e-08,6,True
003,122,2,4.226,2.84e-03,2,True
003,421,5,4.226,4.18e-07,5,False
235,770,2,4.191,2.99e-03,2,True
526,550,6,4.185,3.48e-07,5,True
842,920,3,4.177,3.41e-04,0,False
519,742,3,4.164,5.47e-04,3,True
066,455,3,4.156,5.63e-04,3,True
071,407,2,4.156,4.51e-03,2,True
091,500,2,4.150,5.44e-03,2,False
317,335,2,4.122,5.56e-03,0,True
406,742,2,4.119,5.55e-03,1,True
016,853,2,4.119,5.55e-03,2,True
617,747,2,4.116,5.33e-03,0,True
861,919,2,4.105,3.36e-03,0,True
533,861,2,4.105,3.36e-03,2,True
470,806,2,4.100,4.87e-03,2,True
318,590,11,4.098,2.41e-13,0,True
140,420,2,4.097,5.17e-03,0,False
176,421,4,4.097,2.24e-05,4,True
235,321,14,4.091,2.18e-17,0,True
004,408,3,4.089,5.60e-04,3,True
575,679,5,4.082,7.29e-06,0,True
590,868,10,4.076,4.32e-12,0,False
415,436,11,4.070,2.05e-12,0,True
744,760,2,4.067,5.10e-03,2,False
013,840,19,4.060,1.19e-19,18,True
165,831,2,4.056,6.17e-03,2,True
615,703,3,4.046,6.62e-04,3,True
060,842,4,4.043,2.60e-05,0,True
095,595,5,4.043,9.93e-06,4,True
527,550,26,4.023,2.81e-26,26,True
243,595,2,3.994,6.62e-03,0,True
200,705,3,3.990,4.00e-04,3,True
413,892,15,3.990,5.38e-15,15,False
527,812,2,3.986,6.54e-03,0,False
233,807,2,3.971,5.25e-03,0,True
368,634,2,3.966,6.18e-03,2,True
368,871,2,3.966,6.18e-03,0,False
422,900,3,3.950,7.12e-04,0,False
019,156,2,3.948,6.54e-03,2,True
090,160,3,3.937,5.58e-04,2,True
480,850,6,3.930,1.88e-06,6,True
150,840,2,3.916,6.60e-03,0,False
322,920,2,3.914,6.28e-03,2,True
003,426,4,3.904,3.81e-05,4,True
167,706,6,3.904,1.57e-06,6,True
422,690,3,3.898,7.92e-04,0,True
552,760,4,3.897,8.50e-05,1,True
388,906,3,3.885,9.65e-04,3,True
260,368,3,3.873,8.34e-04,3,True
255,690,49,3.862,8.43e-48,0,True
520,919,2,3.862,4.72e-03,2,False
070,832,5,3.859,1.92e-05,0,True
001,720,2,3.848,6.21e-03,0,True
001,786,2,3.848,6.21e-03,0,True
241,850,2,3.848,8.06e-03,0,True
001,324,2,3.848,6.21e-03,0,True
365,460,2,3.848,8.16e-03,2,True
370,527,2,3.834,8.10e-03,0,True
048,817,12,3.827,1.23e-12,0,False
031,502,3,3.817,5.72e-04,3,True
158,806,16,3.814,2.32e-15,16,True
552,692,2,3.813,8.25e-03,0,False
480,595,5,3.813,2.24e-05,0,True
154,806,18,3.810,3.88e-17,18,True
330,741,2,3.800,6.63e-03,2,True
345,741,2,3.800,6.63e-03,2,True
572,741,4,3.800,7.10e-05,4,True
361,741,2,3.800,6.63e-03,2,True
156,924,3,3.796,1.05e-03,3,True
125,406,2,3.791,8.64e-03,2,False
125,190,2,3.791,8.64e-03,2,True
231,804,2,3.787,8.32e-03,1,True
165,900,10,3.780,9.35e-10,10,False
063,407,5,3.777,1.72e-05,5,False
832,904,8,3.776,7.22e-08,8,False
530,742,2,3.771,9.00e-03,2,True
500,741,15,3.768,3.43e-15,15,True
055,190,2,3.767,8.93e-03,0,False
501,520,29,3.765,2.25e-32,0,True
330,590,2,3.754,7.06e-03,0,False
134,590,2,3.754,7.06e-03,1,True
525,705,7,3.753,1.33e-07,0,True
504,920,4,3.744,1.29e-04,0,False
416,565,2,3.741,9.38e-03,0,True
095,231,8,3.736,7.49e-08,0,True
061,850,14,3.732,6.66e-13,0,False
595,632,4,3.721,2.06e-04,3,False
436,590,11,3.711,3.21e-11,0,True
055,555,4,3.703,2.11e-04,1,False
263,368,2,3.703,9.11e-03,2,True
368,572,2,3.703,9.11e-03,2,True
190,527,2,3.696,9.81e-03,0,False
151,243,3,3.690,1.36e-03,3,False
151,697,2,3.690,9.63e-03,2,False
482,838,2,3.688,1.01e-02,2,False
595,850,7,3.685,8.11e-07,5,True
155,806,3,3.685,1.22e-03,3,True
090,101,4,3.674,1.41e-04,0,True
090,326,3,3.674,1.08e-03,1,False
090,362,2,3.674,8.69e-03,0,True
090,572,3,3.674,1.08e-03,1,True
257,840,3,3.653,1.36e-03,3,True
552,840,3,3.653,1.36e-03,3,True
382,760,6,3.652,3.95e-06,6,True
255,422,3,3.652,1.30e-03,0,True
317,920,5,3.651,2.46e-05,3,False
706,923,12,3.648,6.57e-11,0,True
297,350,2,3.641,1.07e-02,2,True
060,692,43,3.641,6.98e-40,45,True
055,161,2,3.641,1.06e-02,2,True
831,892,4,3.641,2.36e-04,4,True
250,892,2,3.641,1.04e-02,1,False
482,752,6,3.633,6.62e-06,6,False
095,407,10,3.620,2.69e-09,0,False
611,820,3,3.615,1.08e-03,2,True
090,500,11,3.610,2.20e-10,0,True
315,760,4,3.608,2.12e-04,1,True
240,501,29,3.606,6.24e-31,0,False
235,903,2,3.606,8.64e-03,0,True
231,298,2,3.594,1.09e-02,0,False
202,920,2,3.592,1.02e-02,0,True
390,844,9,3.586,3.59e-09,9,True
350,460,5,3.585,4.94e-05,5,False
016,382,2,3.579,1.17e-02,1,True
407,746,3,3.571,1.60e-03,1,True
850,900,15,3.571,4.76e-13,15,False
067,900,2,3.558,1.13e-02,1,True
167,705,10,3.557,1.40e-09,10,False
233,272,2,3.556,1.02e-02,0,True
350,463,3,3.548,1.98e-03,3,False
136,140,3,3.544,1.79e-03,3,True
330,390,2,3.531,9.56e-03,0,True
367,861,2,3.520,9.70e-03,1,True
096,861,2,3.520,9.70e-03,2,True
463,798,9,3.518,2.90e-08,9,True
240,642,7,3.510,1.11e-07,7,True
297,413,2,3.498,1.30e-02,0,False
240,636,19,3.491,5.17e-19,19,True
845,900,15,3.490,1.19e-12,0,True
706,794,3,3.489,2.04e-03,2,True
806,845,18,3.488,4.16e-15,15,False
500,705,12,3.467,7.68e-11,12,False
354,798,5,3.448,5.53e-05,1,True
502,520,3,3.447,1.22e-03,0,False
001,543,2,3.433,1.20e-02,0,False
001,391,5,3.433,4.23e-05,0,True
001,502,2,3.433,1.20e-02,0,False
001,744,2,3.433,1.20e-02,0,True
017,575,15,3.397,3.89e-12,14,False
125,632,4,3.393,4.99e-04,4,True
081,741,2,3.385,1.28e-02,2,True
272,741,2,3.385,1.28e-02,0,False
001,500,11,3.369,1.34e-09,0,False
407,850,15,3.362,4.22e-12,15,False
220,689,2,3.362,9.44e-03,0,True
004,097,4,3.352,5.24e-04,0,True
233,804,3,3.333,2.33e-03,3,False
592,920,3,3.329,2.59e-03,0,False
460,503,7,3.315,4.61e-06,7,True
806,850,15,3.306,7.52e-12,0,False
060,920,71,3.296,6.53e-57,66,False
095,142,5,3.293,1.26e-04,0,True
061,407,25,3.292,4.89e-19,25,False
175,752,3,3.290,3.33e-03,3,True
240,643,3,3.288,1.69e-03,3,True
222,235,9,3.273,6.34e-08,3,True
017,679,3,3.273,3.31e-03,0,False
760,921,4,3.260,6.01e-04,1,False
235,555,12,3.252,4.42e-10,6,True
484,900,3,3.249,3.33e-03,2,True
033,321,14,3.242,9.32e-14,0,False
400,678,2,3.241,1.12e-02,2,True
400,829,3,3.241,1.18e-03,0,False
400,854,2,3.241,1.12e-02,1,True
400,712,4,3.241,1.24e-04,0,False
400,736,4,3.241,1.24e-04,0,True
178,400,2,3.241,1.12e-02,0,True
400,896,2,3.241,1.12e-02,0,True
495,615,4,3.238,7.48e-04,4,True
001,747,3,3.210,2.98e-03,1,True
060,592,4,3.195,5.61e-04,0,False
060,504,4,3.195,5.61e-04,0,False
705,851,3,3.183,3.15e-03,0,False
407,585,15,3.180,3.18e-11,6,False
032,578,5,3.179,1.61e-05,5,True
027,032,6,3.179,1.76e-06,6,True
025,032,3,3.179,1.34e-03,3,True
032,610,2,3.179,1.22e-02,0,False
032,059,2,3.179,1.22e-02,2,True
032,919,2,3.179,1.22e-02,0,False
032,205,2,3.179,1.22e-02,2,True
032,597,9,3.179,2.29e-09,9,False
032,901,2,3.179,1.22e-02,1,True
511,920,3,3.177,3.62e-03,0,False
741,851,3,3.163,3.28e-03,3,False
091,368,5,3.150,1.87e-04,4,False
060,603,3,3.143,3.41e-03,0,True
705,868,5,3.142,1.35e-04,5,False
156,435,14,3.131,2.91e-10,14,False
220,318,11,3.121,4.28e-10,11,True
100,415,44,3.103,4.60e-31,43,False
005,900,10,3.102,1.41e-07,10,True
241,803,3,3.100,4.40e-03,2,False
690,921,3,3.091,4.61e-03,3,False
090,792,4,3.089,8.81e-04,0,True
226,575,5,3.082,2.60e-04,1,True
095,617,4,3.066,1.18e-03,0,True
219,520,4,3.054,6.51e-04,1,True
001,821,5,3.054,1.93e-04,5,True
233,320,7,3.041,1.09e-05,6,False
231,585,10,3.033,2.42e-07,2,True
001,353,3,3.018,4.61e-03,2,False
491,817,6,2.997,5.39e-05,5,False
260,817,3,2.997,4.80e-03,0,True
380,705,3,2.990,4.87e-03,3,True
125,350,5,2.987,3.66e-04,5,True
104,615,3,2.987,6.01e-03,2,False
371,390,5,2.979,2.13e-04,2,True
027,400,5,2.978,7.10e-05,0,False
176,336,4,2.959,1.18e-03,4,False
400,525,9,2.952,6.98e-08,9,False
154,717,4,2.946,1.65e-03,0,False
034,700,130,2.938,4.69e-107,130,True
032,905,11,2.938,1.70e-09,11,False
090,545,3,2.937,5.79e-03,0,True
320,798,5,2.933,3.65e-04,1,False
001,480,12,2.930,1.58e-08,12,True
371,741,4,2.926,1.29e-03,1,True
590,645,9,2.924,1.02e-06,7,False
158,904,4,2.917,1.77e-03,4,True
060,269,4,2.906,1.36e-03,0,True
090,645,7,2.896,2.47e-05,0,False
240,603,4,2.895,9.93e-04,3,True
017,503,11,2.895,1.63e-07,11,False
388,717,5,2.894,4.96e-04,5,False
603,861,3,2.883,5.70e-03,3,False
001,595,16,2.878,1.06e-10,9,True
061,171,4,2.870,1.94e-03,4,True
033,711,15,2.857,2.02e-11,15,True
028,032,4,2.857,6.71e-04,4,True
595,717,4,2.851,2.12e-03,0,False
717,790,4,2.851,2.12e-03,3,True
001,250,3,2.848,6.68e-03,1,False
798,838,4,2.846,1.88e-03,4,True
154,388,4,2.841,2.17e-03,4,False
090,104,7,2.837,3.32e-05,0,False
003,156,37,2.836,2.86e-23,36,True
013,154,3,2.832,8.24e-03,0,False
066,090,5,2.826,4.93e-04,1,True
400,775,3,2.826,4.33e-03,3,True
742,920,11,2.819,2.30e-07,1,False
095,520,14,2.811,1.20e-09,14,False
504,741,3,2.800,7.33e-03,0,False
090,853,3,2.799,7.73e-03,0,False
463,503,3,2.793,8.70e-03,3,True
222,233,5,2.790,5.37e-04,5,True
061,142,11,2.781,3.73e-07,11,False
031,136,4,2.773,1.92e-03,4,False
035,061,4,2.767,2.54e-03,0,True
072,520,7,2.762,2.71e-05,6,True
061,806,18,2.762,5.66e-11,0,False
365,407,3,2.741,9.24e-03,0,False
679,840,3,2.736,9.40e-03,3,False
220,436,11,2.734,4.72e-08,0,True
806,900,21,2.724,2.06e-12,1,False
070,255,7,2.704,7.28e-05,7,False
100,175,5,2.699,8.41e-04,1,False
104,590,8,2.695,1.64e-05,0,False
595,617,5,2.691,9.47e-04,0,True
033,525,7,2.690,2.01e-05,0,False
055,090,15,2.674,4.95e-09,2,True
705,924,3,2.668,9.72e-03,3,False
360,705,3,2.668,9.72e-03,1,True
061,900,14,2.665,2.38e-08,0,False
231,555,3,2.655,1.13e-02,3,False
460,798,8,2.648,2.83e-05,6,True
031,592,3,2.647,9.84e-03,4,True
031,625,3,2.647,9.84e-03,2,False
136,861,4,2.646,2.66e-03,0,True
335,760,8,2.641,3.06e-05,8,False
001,354,4,2.625,3.10e-03,3,False
202,220,3,2.625,7.87e-03,1,True
705,845,16,2.624,2.00e-09,0,True
060,550,34,2.620,7.04e-19,29,False
142,595,5,2.597,1.27e-03,1,True
530,741,4,2.578,3.50e-03,2,False
390,590,76,2.570,6.16e-42,75,False
240,525,5,2.565,8.14e-04,0,False
098,400,5,2.563,5.53e-04,5,True
104,235,8,2.547,3.46e-05,0,False
515,520,4,2.540,3.31e-03,4,True
048,741,5,2.537,1.23e-03,5,False
240,772,4,2.533,3.16e-03,4,True
001,055,16,2.526,6.18e-09,14,False
595,706,6,2.520,5.37e-04,1,False
407,806,21,2.515,3.86e-11,0,False
352,400,3,2.504,9.98e-03,2,True
400,637,3,2.504,9.98e-03,0,True
028,400,3,2.504,9.98e-03,0,False
202,400,3,2.504,9.98e-03,3,False
070,520,14,2.499,3.78e-08,13,True
231,798,17,2.482,4.60e-09,13,False
031,171,8,2.477,5.25e-05,1,False
798,845,10,2.474,8.57e-06,0,False
016,390,15,2.469,2.46e-08,14,False
137,400,7,2.464,6.98e-05,7,True
416,840,7,2.461,2.30e-04,6,True
065,220,8,2.455,2.62e-05,8,True
002,502,4,2.452,1.11e-03,2,False
220,415,92,2.451,4.63e-50,91,True
741,920,39,2.451,1.48e-19,0,False
405,806,18,2.449,2.36e-09,0,False
151,416,5,2.427,2.16e-03,3,False
220,500,12,2.423,3.10e-07,1,False
388,585,4,2.418,6.32e-03,4,False
235,645,7,2.413,2.10e-04,0,False
407,900,16,2.388,3.73e-08,1,False
233,831,4,2.386,6.06e-03,1,False
520,921,5,2.376,1.78e-03,0,True
175,760,4,2.367,6.80e-03,3,False
002,501,29,2.356,8.34e-20,0,False
233,555,5,2.354,2.37e-03,4,True
440,760,7,2.351,3.64e-04,6,True
350,798,8,2.349,1.35e-04,0,False
240,482,16,2.345,1.82e-08,15,True
700,711,12,2.337,4.35e-07,0,True
033,705,105,2.328,7.67e-53,104,False
405,590,28,2.326,3.28e-13,28,False
388,527,4,2.323,7.96e-03,3,True
742,760,7,2.320,4.17e-04,3,False
235,845,15,2.316,1.30e-07,1,True
005,405,6,2.313,1.15e-03,6,False
004,390,25,2.301,7.79e-12,23,True
741,838,4,2.297,7.42e-03,3,False
575,595,4,2.293,8.53e-03,4,False
416,760,7,2.289,4.76e-04,0,True
033,706,48,2.283,3.75e-23,45,False
002,417,8,2.282,9.14e-06,8,True
156,255,14,2.274,7.57e-07,0,False
595,820,11,2.257,1.11e-05,9,True
055,527,4,2.249,9.53e-03,1,False
032,877,11,2.246,3.35e-06,10,True
090,171,5,2.241,3.49e-03,0,False
017,231,8,2.236,2.53e-04,8,True
003,645,6,2.226,1.30e-03,6,True
416,861,13,2.221,1.97e-06,7,False
003,900,27,2.213,6.05e-12,22,False
158,400,19,2.204,1.88e-09,19,True
055,705,13,2.199,2.88e-06,0,False
690,803,15,2.186,6.71e-07,0,True
016,140,5,2.186,4.46e-03,1,False
033,812,4,2.172,7.86e-03,3,False
415,824,5,2.162,4.48e-03,0,False
004,407,11,2.156,2.79e-05,11,False
384,806,4,2.146,1.18e-02,0,True
415,798,25,2.143,1.58e-10,23,False
035,090,5,2.138,4.82e-03,0,False
060,742,10,2.132,6.27e-05,10,False
002,285,4,2.130,4.74e-03,3,True
002,056,8,2.130,3.84e-05,8,True
803,920,19,2.128,3.68e-08,0,True
