Sign,DocFrequency,Degree,WeightedDegree,DegreeCentrality,Betweenness,PageRank,Community,FunctionalClass,IsBridge
095,29,11,39.475,0.035,0.0104,0.001282,C14,ROOT_OR_UNRESOLVED,False
853,11,2,6.918,0.006,0.0003,0.001265,C3,Unknown,False
924,10,3,14.053,0.009,0.0005,0.001242,C1,ROOT_OR_UNRESOLVED,False
625,9,2,9.026,0.006,0.0002,0.001224,C5,ROOT_OR_UNRESOLVED,False
250,9,3,15.452,0.009,0.0013,0.001204,C12,ROOT_OR_UNRESOLVED,False
192,3,1,4.703,0.003,0.0000,0.001184,C12,ROOT_OR_UNRESOLVED,False
711,21,5,23.486,0.016,0.0001,0.001163,C5,Unknown,False
111,14,1,4.419,0.003,0.0000,0.001145,C2,ROOT_OR_UNRESOLVED,False
880,10,1,1.937,0.003,0.0000,0.001132,C2,ROOT_OR_UNRESOLVED,False
468,10,2,11.259,0.006,0.0000,0.001101,C9,ROOT_OR_UNRESOLVED,False
824,29,4,19.008,0.013,0.0008,0.001095,C5,ROOT_OR_UNRESOLVED,False
812,9,3,10.824,0.009,0.0008,0.001080,C10,ROOT_OR_UNRESOLVED,False
794,12,3,17.001,0.009,0.0008,0.001080,C6,ROOT_OR_UNRESOLVED,False
354,14,3,10.814,0.009,0.0015,0.001074,C15,ROOT_OR_UNRESOLVED,False
317,12,5,21.374,0.016,0.0062,0.001060,C5,Unknown,False
365,16,3,10.914,0.009,0.0020,0.001055,C15,ROOT_OR_UNRESOLVED,False
018,6,1,7.089,0.003,0.0000,0.001049,C6,Unknown,False
056,10,5,31.964,0.016,0.0008,0.001043,C2,ROOT_OR_UNRESOLVED,False
236,25,2,2.798,0.006,0.0042,0.001037,C9,ROOT_OR_UNRESOLVED,False
371,11,2,5.904,0.006,0.0000,0.001029,C12,ROOT_OR_UNRESOLVED,False
467,9,3,15.111,0.009,0.0001,0.001024,C9,ROOT_OR_UNRESOLVED,False
243,12,3,12.344,0.009,0.0014,0.001019,C14,ROOT_OR_UNRESOLVED,False
921,14,5,19.886,0.016,0.0021,0.001009,C4,ROOT_OR_UNRESOLVED,False
482,41,7,19.701,0.022,0.0057,0.001001,C11,ROOT_OR_UNRESOLVED,False
752,53,5,18.494,0.016,0.0004,0.000999,C15,ROOT_OR_UNRESOLVED,False
703,12,1,4.046,0.003,0.0000,0.000986,C15,ROOT_OR_UNRESOLVED,False
269,11,2,9.257,0.006,0.0002,0.000975,C11,ROOT_OR_UNRESOLVED,False
156,97,7,21.836,0.022,0.0098,0.000953,C1,TERMINAL,False
903,3,1,3.606,0.003,0.0000,0.000950,C7,ROOT_OR_UNRESOLVED,False
315,11,3,14.139,0.009,0.0010,0.000937,C3,ROOT_OR_UNRESOLVED,False
890,11,5,31.414,0.016,0.0008,0.000936,C2,Unknown,False
260,8,3,8.643,0.009,0.0008,0.000920,C12,ROOT_OR_UNRESOLVED,False
417,9,5,32.572,0.016,0.0008,0.000918,C2,Unknown,False
637,5,1,2.504,0.003,0.0000,0.000917,C9,ROOT_OR_UNRESOLVED,False
511,10,3,15.925,0.009,0.0019,0.000913,C11,ROOT_OR_UNRESOLVED,False
310,3,1,6.548,0.003,0.0000,0.000911,C10,Unknown,False
923,43,3,6.795,0.009,0.0019,0.000911,C6,ROOT_OR_UNRESOLVED,False
151,87,7,26.252,0.022,0.0107,0.000909,C12,TERMINAL,False
597,9,4,23.025,0.013,0.0004,0.000909,C14,Unknown,False
380,8,4,22.720,0.013,0.0019,0.000907,C7,ROOT_OR_UNRESOLVED,False
222,17,3,7.142,0.009,0.0000,0.000907,C7,ROOT_OR_UNRESOLVED,False
838,17,6,17.670,0.019,0.0051,0.000899,C15,ROOT_OR_UNRESOLVED,False
072,15,3,15.185,0.009,0.0001,0.000876,C4,ROOT_OR_UNRESOLVED,False
527,63,12,39.536,0.038,0.0239,0.000874,C7,TERMINAL,False
518,7,1,4.349,0.003,0.0000,0.000870,C7,ROOT_OR_UNRESOLVED,False
502,4,5,17.833,0.016,0.0045,0.000867,C9,ROOT_OR_UNRESOLVED,False
323,7,1,4.506,0.003,0.0000,0.000846,C8,Unknown,False
391,10,5,27.600,0.016,0.0000,0.000845,C14,Unknown,False
849,8,2,11.882,0.006,0.0000,0.000821,C1,ROOT_OR_UNRESOLVED,False
257,9,1,3.653,0.003,0.0000,0.000817,C3,ROOT_OR_UNRESOLVED,False
370,10,1,3.834,0.003,0.0000,0.000812,C7,ROOT_OR_UNRESOLVED,False
746,9,1,3.571,0.003,0.0000,0.000802,C8,ROOT_OR_UNRESOLVED,False
406,11,3,12.940,0.009,0.0011,0.000793,C1,ROOT_OR_UNRESOLVED,False
063,13,2,9.751,0.006,0.0003,0.000789,C3,ROOT_OR_UNRESOLVED,False
603,7,4,13.682,0.013,0.0014,0.000787,C11,ROOT_OR_UNRESOLVED,False
821,13,5,25.443,0.016,0.0000,0.000773,C14,ROOT_OR_UNRESOLVED,False
150,5,3,14.462,0.009,0.0005,0.000772,C4,ROOT_OR_UNRESOLVED,False
382,16,2,7.231,0.006,0.0003,0.000770,C3,ROOT_OR_UNRESOLVED,False
408,9,1,4.089,0.003,0.0000,0.000770,C12,Unknown,False
465,6,2,11.421,0.006,0.0000,0.000760,C9,Unknown,False
226,34,4,7.631,0.013,0.0022,0.000755,C5,ROOT_OR_UNRESOLVED,False
027,6,3,7.516,0.009,0.0027,0.000748,C5,Unknown,False
436,17,10,42.795,0.032,0.0008,0.000729,C8,Unknown,False
067,7,1,3.558,0.003,0.0000,0.000726,C7,ROOT_OR_UNRESOLVED,False
096,3,1,3.520,0.003,0.0000,0.000724,C0,Unknown,False
263,6,1,3.703,0.003,0.0000,0.000721,C12,ROOT_OR_UNRESOLVED,False
353,8,2,7.865,0.006,0.0009,0.000718,C15,ROOT_OR_UNRESOLVED,False
519,16,2,10.882,0.006,0.0000,0.000716,C1,ROOT_OR_UNRESOLVED,False
572,6,3,11.176,0.009,0.0011,0.000714,C12,ROOT_OR_UNRESOLVED,False
942,3,3,19.378,0.009,0.0004,0.000708,C12,Unknown,False
636,22,4,10.731,0.013,0.0027,0.000706,C11,ROOT_OR_UNRESOLVED,False
322,4,1,3.914,0.003,0.0000,0.000706,C8,ROOT_OR_UNRESOLVED,False
472,5,3,15.977,0.009,0.0001,0.000700,C9,ROOT_OR_UNRESOLVED,False
844,13,1,3.586,0.003,0.0000,0.000699,C12,ROOT_OR_UNRESOLVED,False
352,5,1,2.504,0.003,0.0000,0.000685,C9,Unknown,False
747,7,5,22.303,0.016,0.0007,0.000682,C14,Unknown,False
201,5,1,4.365,0.003,0.0000,0.000680,C11,ROOT_OR_UNRESOLVED,False
272,4,2,6.941,0.006,0.0002,0.000680,C7,ROOT_OR_UNRESOLVED,False
552,9,3,11.364,0.009,0.0007,0.000678,C3,Unknown,False
578,5,3,14.831,0.009,0.0005,0.000673,C5,Unknown,False
028,5,2,5.361,0.006,0.0017,0.000672,C5,Unknown,False
321,15,5,22.948,0.016,0.0002,0.000670,C7,ROOT_OR_UNRESOLVED,False
504,9,4,15.117,0.013,0.0008,0.000666,C10,ROOT_OR_UNRESOLVED,False
687,4,1,4.898,0.003,0.0000,0.000665,C8,Unknown,False
689,2,1,3.362,0.003,0.0000,0.000660,C8,ROOT_OR_UNRESOLVED,False
326,6,2,8.402,0.006,0.0003,0.000659,C4,ROOT_OR_UNRESOLVED,False
634,5,1,3.966,0.003,0.0000,0.000658,C12,ROOT_OR_UNRESOLVED,False
543,4,2,9.566,0.006,0.0008,0.000656,C10,ROOT_OR_UNRESOLVED,False
851,7,5,24.986,0.016,0.0023,0.000647,C1,ROOT_OR_UNRESOLVED,False
268,4,1,4.652,0.003,0.0000,0.000644,C3,ROOT_OR_UNRESOLVED,False
792,12,2,4.184,0.006,0.0000,0.000643,C12,ROOT_OR_UNRESOLVED,False
579,2,2,13.348,0.006,0.0004,0.000640,C12,ROOT_OR_UNRESOLVED,False
776,11,1,6.188,0.003,0.0000,0.000620,C15,Unknown,False
244,5,1,5.904,0.003,0.0000,0.000608,C2,ROOT_OR_UNRESOLVED,False
097,20,4,15.580,0.013,0.0045,0.000607,C12,ROOT_OR_UNRESOLVED,False
420,5,2,9.939,0.006,0.0001,0.000606,C14,ROOT_OR_UNRESOLVED,False
533,2,2,10.510,0.006,0.0003,0.000604,C0,ROOT_OR_UNRESOLVED,False
337,13,2,8.657,0.006,0.0010,0.000601,C7,ROOT_OR_UNRESOLVED,False
555,23,6,23.676,0.019,0.0032,0.000600,C7,ROOT_OR_UNRESOLVED,False
121,2,1,4.232,0.003,0.0000,0.000592,C9,ROOT_OR_UNRESOLVED,False
