"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"595","31","8","3","20","0","0.2581","0.0968","0.6452","0","0.4682","-0.1613"
"790","30","10","8","12","0","0.3333","0.2667","0.4","0","0.4694","-0.0667"
"158","29","12","1","16","0","0.4138","0.0345","0.5517","0","0.2414","-0.3793"
"070","28","0","3","25","0","0","0.1071","0.8929","0","0.4026","0.1071"
"335","28","1","1","26","0","0.0357","0.0357","0.9286","0","0.527","0"
"460","28","0","2","26","0","0","0.0714","0.9286","0","0.5347","0.0714"
"742","27","2","3","22","0","0.0741","0.1111","0.8148","0","0.6384","0.037"
"226","26","15","4","7","0","0.5769","0.1538","0.2692","0","0.2788","-0.4231"
"384","23","1","4","18","0","0.0435","0.1739","0.7826","0","0.4719","0.1304"
"630","23","0","12","11","0","0","0.5217","0.4783","0","0.7291","0.5217"
"824","23","16","7","0","0","0.6957","0.3043","0","0","0.3043","-0.3913"
"236","22","8","3","11","0","0.3636","0.1364","0.5","0","0.3862","-0.2273"
"832","22","6","6","10","0","0.2727","0.2727","0.4545","0","0.4763","0"
"095","21","1","4","16","0","0.0476","0.1905","0.7619","0","0.552","0.1429"
"165","21","7","6","8","0","0.3333","0.2857","0.381","0","0.4448","-0.0476"
"171","21","0","13","8","0","0","0.619","0.381","0","0.8522","0.619"
"104","20","2","13","5","0","0.1","0.65","0.25","0","0.7717","0.55"
"500","20","0","1","19","0","0","0.05","0.95","0","0.7756","0.05"
"495","19","0","10","9","0","0","0.5263","0.4737","0","0.7226","0.5263"
"048","18","1","0","17","0","0.0556","0","0.9444","0","0.3194","-0.0556"
"091","18","0","17","1","0","0","0.9444","0.0556","0","0.9778","0.9444"
"175","18","0","9","9","0","0","0.5","0.5","0","0.7333","0.5"
"555","18","1","1","16","0","0.0556","0.0556","0.8889","0","0.3339","0"
"621","18","13","3","2","0","0.7222","0.1667","0.1111","0","0.213","-0.5556"
"745","18","0","7","11","0","0","0.3889","0.6111","0","0.7878","0.3889"
"035","17","4","2","11","0","0.2353","0.1176","0.6471","0","0.4933","-0.1176"
"645","17","1","1","15","0","0.0588","0.0588","0.8824","0","0.623","0"
"097","16","0","6","10","0","0","0.375","0.625","0","0.5799","0.375"
