"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"806","111","53","1","57","0","0.4775","0.009","0.5135","0","0.2582","-0.4685"
"798","107","28","1","78","0","0.2617","0.0093","0.729","0","0.3753","-0.2523"
"803","106","43","0","63","0","0.4057","0","0.5943","0","0.3042","-0.4057"
"100","98","3","2","93","0","0.0306","0.0204","0.949","0","0.632","-0.0102"
"255","98","36","2","60","0","0.3673","0.0204","0.6122","0","0.3267","-0.3469"
"405","93","1","34","58","0","0.0108","0.3656","0.6237","0","0.6197","0.3548"
"156","92","3","71","18","0","0.0326","0.7717","0.1957","0","0.8938","0.7391"
"368","91","5","29","57","0","0.0549","0.3187","0.6264","0","0.5382","0.2637"
"690","91","9","20","62","0","0.0989","0.2198","0.6813","0","0.6522","0.1209"
"760","90","1","1","88","0","0.0111","0.0111","0.9778","0","0.6654","0"
"840","88","21","2","65","0","0.2386","0.0227","0.7386","0","0.4007","-0.2159"
"550","87","36","4","47","0","0.4138","0.046","0.5402","0","0.3513","-0.3678"
"900","85","17","1","67","0","0.2","0.0118","0.7882","0","0.486","-0.1882"
"061","78","22","0","56","0","0.2821","0","0.7179","0","0.4072","-0.2821"
"140","74","31","4","39","0","0.4189","0.0541","0.527","0","0.3365","-0.3649"
"706","72","25","4","43","0","0.3472","0.0556","0.5972","0","0.3413","-0.2917"
"004","71","27","1","43","0","0.3803","0.0141","0.6056","0","0.4156","-0.3662"
"151","71","1","61","9","0","0.0141","0.8592","0.1268","0","0.9369","0.8451"
"231","70","22","1","47","0","0.3143","0.0143","0.6714","0","0.3498","-0.3"
"503","69","52","1","16","0","0.7536","0.0145","0.2319","0","0.1337","-0.7391"
"017","65","17","0","48","0","0.2615","0","0.7385","0","0.3508","-0.2615"
"617","63","12","40","11","0","0.1905","0.6349","0.1746","0","0.7202","0.4444"
"892","63","9","18","36","0","0.1429","0.2857","0.5714","0","0.5588","0.1429"
"615","60","6","2","52","0","0.1","0.0333","0.8667","0","0.3909","-0.0667"
"142","59","17","2","40","0","0.2881","0.0339","0.678","0","0.4624","-0.2542"
"575","56","19","1","36","0","0.3393","0.0179","0.6429","0","0.2936","-0.3214"
"435","54","1","3","50","0","0.0185","0.0556","0.9259","0","0.4864","0.037"
"692","54","43","2","9","0","0.7963","0.037","0.1667","0","0.1221","-0.7593"
"125","49","15","4","30","0","0.3061","0.0816","0.6122","0","0.3033","-0.2245"
"752","49","1","0","48","0","0.0204","0","0.9796","0","0.6547","-0.0204"
"845","48","0","0","48","0","0","0","1","0","0.4514","0"
"527","47","2","41","4","0","0.0426","0.8723","0.0851","0","0.9255","0.8298"
"585","47","0","2","45","0","0","0.0426","0.9574","0","0.5974","0.0426"
"055","46","11","1","34","0","0.2391","0.0217","0.7391","0","0.4602","-0.2174"
"005","42","23","1","18","0","0.5476","0.0238","0.4286","0","0.2882","-0.5238"
"904","42","5","2","35","0","0.119","0.0476","0.8333","0","0.55","-0.0714"
"850","41","9","3","29","0","0.2195","0.0732","0.7073","0","0.4679","-0.1463"
"016","40","18","2","20","0","0.45","0.05","0.5","0","0.342","-0.4"
"413","39","29","4","6","0","0.7436","0.1026","0.1538","0","0.1843","-0.641"
"154","38","0","29","9","0","0","0.7632","0.2368","0","0.9035","0.7632"
"416","38","23","6","9","0","0.6053","0.1579","0.2368","0","0.2919","-0.4474"
"717","37","13","1","23","0","0.3514","0.027","0.6216","0","0.3301","-0.3243"
"013","36","13","0","23","0","0.3611","0","0.6389","0","0.2385","-0.3611"
"388","36","9","1","26","0","0.25","0.0278","0.7222","0","0.4488","-0.2222"
"923","36","3","0","33","0","0.0833","0","0.9167","0","0.5853","-0.0833"
"440","34","10","1","23","0","0.2941","0.0294","0.6765","0","0.3809","-0.2647"
"350","33","4","1","28","0","0.1212","0.0303","0.8485","0","0.48","-0.0909"
"482","33","2","1","30","0","0.0606","0.0303","0.9091","0","0.5742","-0.0303"
"455","31","6","4","21","0","0.1935","0.129","0.6774","0","0.4172","-0.0645"
"501","31","29","0","2","0","0.9355","0","0.0645","0","0.039","-0.9355"
"595","31","3","8","20","0","0.0968","0.2581","0.6452","0","0.5318","0.1613"
"790","30","8","10","12","0","0.2667","0.3333","0.4","0","0.5306","0.0667"
"158","29","1","12","16","0","0.0345","0.4138","0.5517","0","0.7586","0.3793"
"070","28","3","0","25","0","0.1071","0","0.8929","0","0.5974","-0.1071"
"335","28","1","1","26","0","0.0357","0.0357","0.9286","0","0.473","0"
"460","28","2","0","26","0","0.0714","0","0.9286","0","0.4653","-0.0714"
"742","27","3","2","22","0","0.1111","0.0741","0.8148","0","0.3616","-0.037"
"226","26","4","15","7","0","0.1538","0.5769","0.2692","0","0.7212","0.4231"
"384","23","4","1","18","0","0.1739","0.0435","0.7826","0","0.5281","-0.1304"
